Streptomyces	Actinoplanes	Steroidobacter	Umezawaea	Lysobacter	Amycolatopsis	Galbitalea	Dactylosporangium	Kibdelosporangium	Polaromonas	Chryseolinea	Geobacter	Aquihabitans	Rhizocola	Kinneretia	Ilumatobacter	Arenimonas	Aquimonas	Chitinimonas	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Sanguibacter	Sulfurisoma	Polyangium
Streptomyces	1	0.976190476190476	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.862290908577547	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.850314645958414	0.850314645958414	0.904761904761905
Actinoplanes	0.976190476190476	1	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.880952380952381	0.976190476190476	0.802409595481884	0.976190476190476	0.880952380952381	0.833333333333333	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.880952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.833333333333333	0.850314645958414	0.850314645958414	0.833333333333333
Steroidobacter	0.904761904761905	0.928571428571429	1	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.814385858101016	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	1	0.952380952380953	0.952380952380953	0.922172221673209	0.922172221673209	0.80952380952381
Umezawaea	0.880952380952381	0.904761904761905	0.976190476190476	1	0.785714285714286	0.976190476190476	0.904761904761905	0.952380952380953	0.730552019767088	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.97007727214974	0.97007727214974	0.857142857142857
Lysobacter	0.904761904761905	0.952380952380953	0.857142857142857	0.785714285714286	1	0.857142857142857	0.833333333333333	0.928571428571429	0.778457070243618	0.976190476190476	0.833333333333333	0.761904761904762	0.738095238095238	0.857142857142857	0.976190476190476	0.761904761904762	0.833333333333333	0.80952380952381	0.761904761904762	0.833333333333333	0.857142857142857	0.857142857142857	0.761904761904762	0.718575757147955	0.718575757147955	0.666666666666667
Amycolatopsis	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	0.857142857142857	1	0.857142857142857	0.976190476190476	0.69462323190969	0.904761904761905	0.857142857142857	0.833333333333333	0.928571428571429	0.952380952380953	0.880952380952381	0.833333333333333	0.857142857142857	0.80952380952381	0.880952380952381	0.952380952380953	0.952380952380953	1	0.833333333333333	0.934148484292342	0.934148484292342	0.833333333333333
Galbitalea	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	1	0.904761904761905	0.850314645958414	0.904761904761905	1	0.952380952380953	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	1	0.952380952380953	0.928571428571429	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.898219696434944	0.898219696434944	0.80952380952381
Dactylosporangium	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	1	0.778457070243618	0.952380952380953	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.886243433815812	0.886243433815812	0.785714285714286
Kibdelosporangium	0.862290908577547	0.802409595481884	0.814385858101016	0.730552019767088	0.778457070243618	0.69462323190969	0.850314645958414	0.778457070243618	1	0.778457070243618	0.850314645958414	0.910195959054077	0.790433332862751	0.814385858101016	0.754504545005353	0.910195959054077	0.850314645958414	0.766480807624486	0.850314645958414	0.610789393575762	0.814385858101016	0.69462323190969	0.910195959054077	0.656626506024096	0.656626506024096	0.790433332862751
Polaromonas	0.952380952380953	0.976190476190476	0.904761904761905	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.778457070243618	1	0.904761904761905	0.80952380952381	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.826362120720149	0.826362120720149	0.761904761904762
