Umezawaea	Aquihabitans	Catellatospora	Povalibacter	Sanguibacter	Tahibacter	Sulfurisoma	Polyangium	Methylosinus	Armatimonadetes_gp5
Umezawaea	1	0.976190476190476	0.952380952380953	0.952380952380953	0.97007727214974	0.922172221673209	0.97007727214974	0.857142857142857	0.826362120720149	0.826362120720149
Aquihabitans	0.976190476190476	1	0.928571428571429	0.928571428571429	0.97007727214974	0.922172221673209	0.97007727214974	0.928571428571429	0.826362120720149	0.826362120720149
Catellatospora	0.952380952380953	0.928571428571429	1	1	0.97007727214974	0.946124746911475	0.97007727214974	0.80952380952381	0.754504545005353	0.922172221673209
Povalibacter	0.952380952380953	0.928571428571429	1	1	0.97007727214974	0.946124746911475	0.97007727214974	0.80952380952381	0.754504545005353	0.922172221673209
Sanguibacter	0.97007727214974	0.97007727214974	0.97007727214974	0.97007727214974	1	0.975903614457831	1	0.874267171196679	0.855421686746988	0.855421686746988
Tahibacter	0.922172221673209	0.922172221673209	0.946124746911475	0.946124746911475	0.975903614457831	1	0.975903614457831	0.826362120720149	0.831325301204819	0.807228915662651
Sulfurisoma	0.97007727214974	0.97007727214974	0.97007727214974	0.97007727214974	1	0.975903614457831	1	0.874267171196679	0.855421686746988	0.855421686746988
Polyangium	0.857142857142857	0.928571428571429	0.80952380952381	0.80952380952381	0.874267171196679	0.826362120720149	0.874267171196679	1	0.658694444052292	0.682646969290558
Methylosinus	0.826362120720149	0.826362120720149	0.754504545005353	0.754504545005353	0.855421686746988	0.831325301204819	0.855421686746988	0.658694444052292	1	0.686746987951807
Armatimonadetes_gp5	0.826362120720149	0.826362120720149	0.922172221673209	0.922172221673209	0.855421686746988	0.807228915662651	0.855421686746988	0.682646969290558	0.686746987951807	1
