Chondromyces	Phycicoccus	Kibdelosporangium	Geobacter	Selenomonas	Sporichthya	Ilumatobacter	Oscillochloris	Labilithrix	Gp3	Ardenticatena	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	1	0.922172221673209	0.952380952380953	0.904761904761905	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	1	1	0.922172221673209	0.952380952380953	0.904761904761905	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Kibdelosporangium	0.922172221673209	0.922172221673209	1	0.910195959054077	0.994029797388005	0.922172221673209	0.910195959054077	0.927710843373494	0.922172221673209	0.994029797388005	0.910195959054077	0.975903614457831	0.927710843373494	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Geobacter	0.952380952380953	0.952380952380953	0.910195959054077	1	0.880952380952381	0.952380952380953	1	0.934148484292342	0.952380952380953	0.880952380952381	1	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Selenomonas	0.904761904761905	0.904761904761905	0.994029797388005	0.880952380952381	1	0.904761904761905	0.880952380952381	0.922172221673209	0.904761904761905	1	0.880952380952381	0.97007727214974	0.922172221673209	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Sporichthya	1	1	0.922172221673209	0.952380952380953	0.904761904761905	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.952380952380953	0.910195959054077	1	0.880952380952381	0.952380952380953	1	0.934148484292342	0.952380952380953	0.880952380952381	1	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Oscillochloris	0.994029797388005	0.994029797388005	0.927710843373494	0.934148484292342	0.922172221673209	0.994029797388005	0.934148484292342	1	0.994029797388005	0.922172221673209	0.934148484292342	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	1	1	0.922172221673209	0.952380952380953	0.904761904761905	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Gp3	0.904761904761905	0.904761904761905	0.994029797388005	0.880952380952381	1	0.904761904761905	0.880952380952381	0.922172221673209	0.904761904761905	1	0.880952380952381	0.97007727214974	0.922172221673209	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.952380952380953	0.952380952380953	0.910195959054077	1	0.880952380952381	0.952380952380953	1	0.934148484292342	0.952380952380953	0.880952380952381	1	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Roseiflexus	0.97007727214974	0.97007727214974	0.975903614457831	0.958101009530607	0.97007727214974	0.97007727214974	0.958101009530607	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.975903614457831	1	1	1
Acidiphilium	0.994029797388005	0.994029797388005	0.927710843373494	0.934148484292342	0.922172221673209	0.994029797388005	0.934148484292342	1	0.994029797388005	0.922172221673209	0.934148484292342	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Aciditerrimonas	0.922172221673209	0.922172221673209	0.951807228915663	0.934148484292342	0.946124746911475	0.922172221673209	0.934148484292342	0.927710843373494	0.922172221673209	0.946124746911475	0.934148484292342	0.975903614457831	0.927710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.97007727214974	0.97007727214974	0.975903614457831	0.958101009530607	0.97007727214974	0.97007727214974	0.958101009530607	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.975903614457831	1	1	1
Sneathiella	0.97007727214974	0.97007727214974	0.975903614457831	0.958101009530607	0.97007727214974	0.97007727214974	0.958101009530607	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.975903614457831	1	1	1
Terrimonas	0.97007727214974	0.97007727214974	0.975903614457831	0.958101009530607	0.97007727214974	0.97007727214974	0.958101009530607	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.975903614457831	1	1	1
