Steroidobacter	Umezawaea	Bradyrhizobium	Amycolatopsis	Galbitalea	Dactylosporangium	Chryseolinea	Hyphomicrobium	Geobacter	Dongia	Aquihabitans	Rhizocola	Ilumatobacter	Arenimonas	Pseudolabrys	Chitinimonas	Thiomonas	Halobacteriovorax	Ardenticatena	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Umezawaea	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.761904761904762	0.952380952380953	0.778457070243618	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149	0.730552019767088	0.778457070243618	0.778457070243618	0.778457070243618
Bradyrhizobium	0.976190476190476	0.928571428571429	1	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	1	0.928571428571429	0.976190476190476	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Amycolatopsis	0.952380952380953	0.976190476190476	0.880952380952381	1	0.857142857142857	0.976190476190476	0.857142857142857	0.833333333333333	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.833333333333333	0.857142857142857	0.880952380952381	0.880952380952381	0.952380952380953	1	0.833333333333333	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.886243433815812	0.934148484292342	0.790433332862751	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Galbitalea	0.952380952380953	0.904761904761905	0.928571428571429	0.857142857142857	1	0.904761904761905	1	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	1	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Dactylosporangium	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	1	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.833333333333333	0.802409595481884	0.886243433815812	0.814385858101016	0.886243433815812	0.838338383339281	0.778457070243618	0.802409595481884	0.802409595481884	0.802409595481884
Chryseolinea	0.952380952380953	0.904761904761905	0.928571428571429	0.857142857142857	1	0.904761904761905	1	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	1	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.952380952380953	0.880952380952381	0.976190476190476	0.833333333333333	0.952380952380953	0.904761904761905	0.952380952380953	1	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.833333333333333	0.952380952380953	0.880952380952381	0.80952380952381	0.898219696434944	0.826362120720149	0.730552019767088	0.826362120720149	0.898219696434944	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Geobacter	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.880952380952381	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Dongia	0.976190476190476	0.928571428571429	1	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	1	0.928571428571429	0.976190476190476	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Aquihabitans	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.857142857142857	0.928571428571429	0.904761904761905	1	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.714285714285714	0.976190476190476	0.814385858101016	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149	0.766480807624486	0.814385858101016	0.814385858101016	0.814385858101016
Rhizocola	1	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Ilumatobacter	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.880952380952381	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.952380952380953	0.904761904761905	0.928571428571429	0.857142857142857	1	0.904761904761905	1	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	1	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Pseudolabrys	0.976190476190476	0.928571428571429	1	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	1	0.928571428571429	0.976190476190476	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
