g__Exophiala	Uliginosibacterium	Nitrincola	Tumebacillus	Gp22	Actinomycetospora	Oceanibacterium	Microlunatus	Acidiphilium	g__Ustilago
g__Exophiala	1	0.952380952380953	0.874267171196679	0.928571428571429	1	0.80952380952381	0.778457070243618	0.80952380952381	0.97007727214974	0.833333333333333
Uliginosibacterium	0.952380952380953	1	0.886243433815812	0.880952380952381	0.952380952380953	0.857142857142857	0.838338383339281	0.857142857142857	0.898219696434944	0.857142857142857
Nitrincola	0.874267171196679	0.886243433815812	1	0.886243433815812	0.874267171196679	0.850314645958414	0.855421686746988	0.790433332862751	0.885542168674699	0.634741918814027
Tumebacillus	0.928571428571429	0.880952380952381	0.886243433815812	1	0.928571428571429	0.833333333333333	0.814385858101016	0.738095238095238	0.874267171196679	0.690476190476191
Gp22	1	0.952380952380953	0.874267171196679	0.928571428571429	1	0.80952380952381	0.778457070243618	0.80952380952381	0.97007727214974	0.833333333333333
Actinomycetospora	0.80952380952381	0.857142857142857	0.850314645958414	0.833333333333333	0.80952380952381	1	0.994029797388005	0.666666666666667	0.706599494528823	0.5
Oceanibacterium	0.778457070243618	0.838338383339281	0.855421686746988	0.814385858101016	0.778457070243618	0.994029797388005	1	0.69462323190969	0.680722891566265	0.467074242146171
Microlunatus	0.80952380952381	0.857142857142857	0.790433332862751	0.738095238095238	0.80952380952381	0.666666666666667	0.69462323190969	1	0.802409595481884	0.785714285714286
Acidiphilium	0.97007727214974	0.898219696434944	0.885542168674699	0.874267171196679	0.97007727214974	0.706599494528823	0.680722891566265	0.802409595481884	1	0.826362120720149
g__Ustilago	0.833333333333333	0.857142857142857	0.634741918814027	0.690476190476191	0.833333333333333	0.5	0.467074242146171	0.785714285714286	0.826362120720149	1
