Bradyrhizobium	Conexibacter	Aquabacterium	Hyphomicrobium	Dongia	Niastella	Pseudolabrys	Variibacter	Thiomonas	Gp3	Ardenticatena	Chelativorans	Roseiflexus	Thermoleophilum	Acidiphilium	Ammoniphilus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Bradyrhizobium	1	0.976190476190476	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.785714285714286	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Conexibacter	0.976190476190476	1	0.952380952380953	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.785714285714286	0.952380952380953	0.857142857142857	0.898219696434944	0.80952380952381	0.922172221673209	0.718575757147955	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
Aquabacterium	0.928571428571429	0.952380952380953	1	0.857142857142857	0.928571428571429	0.857142857142857	0.928571428571429	0.952380952380953	0.857142857142857	0.785714285714286	0.880952380952381	0.928571428571429	0.874267171196679	0.880952380952381	0.898219696434944	0.778457070243618	0.802409595481884	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.976190476190476	0.928571428571429	0.857142857142857	1	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.80952380952381	0.952380952380953	0.880952380952381	0.898219696434944	0.714285714285714	0.850314645958414	0.718575757147955	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Dongia	1	0.976190476190476	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.785714285714286	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Niastella	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.904761904761905	1	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.934148484292342	0.833333333333333	0.886243433815812	0.826362120720149	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Pseudolabrys	1	0.976190476190476	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.785714285714286	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Variibacter	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.928571428571429	0.857142857142857	0.928571428571429	0.928571428571429	0.922172221673209	0.880952380952381	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	0.976190476190476	0.928571428571429	0.857142857142857	0.952380952380953	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	1	0.785714285714286	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.814385858101016	0.706599494528823	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Gp3	0.833333333333333	0.785714285714286	0.785714285714286	0.80952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	0.785714285714286	1	0.880952380952381	0.785714285714286	0.97007727214974	0.785714285714286	0.922172221673209	0.706599494528823	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
