Variovorax	Pseudoxanthomonas	Mycobacterium	Caulobacter	Rhodanobacter	Burkholderia	Luteimonas	Altererythrobacter	g__Chaetomium	g__Pseudogymnoascus	Actinosynnema	Microvirga	Chitinophaga	Nocardia	Reyranella	Sphingobacterium	Afipia	Methylobacterium	Pedomicrobium	g__Didymella	Chelatococcus	Oxalicibacterium
Variovorax	1	1	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.857142857142857	0.904761904761905	0.910195959054077
Pseudoxanthomonas	1	1	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.857142857142857	0.904761904761905	0.910195959054077
Mycobacterium	0.904761904761905	0.904761904761905	1	0.928571428571429	0.952380952380953	0.714285714285714	0.785714285714286	0.761904761904762	0.714285714285714	0.761904761904762	0.761904761904762	0.952380952380953	0.785714285714286	0.904761904761905	0.976190476190476	0.738095238095238	0.928571428571429	0.738095238095238	0.714285714285714	0.952380952380953	0.714285714285714	0.790433332862751
Caulobacter	0.880952380952381	0.880952380952381	0.928571428571429	1	0.80952380952381	0.738095238095238	0.738095238095238	0.833333333333333	0.714285714285714	0.785714285714286	0.833333333333333	0.833333333333333	0.80952380952381	0.785714285714286	0.976190476190476	0.642857142857143	0.833333333333333	0.738095238095238	0.714285714285714	0.952380952380953	0.738095238095238	0.718575757147955
Rhodanobacter	0.904761904761905	0.904761904761905	0.952380952380953	0.80952380952381	1	0.714285714285714	0.80952380952381	0.714285714285714	0.80952380952381	0.761904761904762	0.714285714285714	0.952380952380953	0.785714285714286	0.976190476190476	0.904761904761905	0.857142857142857	0.952380952380953	0.785714285714286	0.761904761904762	0.857142857142857	0.714285714285714	0.838338383339281
Burkholderia	0.904761904761905	0.904761904761905	0.714285714285714	0.738095238095238	0.714285714285714	1	0.80952380952381	0.952380952380953	0.761904761904762	0.904761904761905	0.857142857142857	0.80952380952381	0.880952380952381	0.80952380952381	0.761904761904762	0.80952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.642857142857143	0.952380952380953	0.922172221673209
Luteimonas	0.928571428571429	0.928571428571429	0.785714285714286	0.738095238095238	0.80952380952381	0.80952380952381	1	0.761904761904762	0.761904761904762	0.952380952380953	0.904761904761905	0.761904761904762	0.761904761904762	0.880952380952381	0.80952380952381	0.80952380952381	0.904761904761905	0.857142857142857	0.785714285714286	0.785714285714286	0.880952380952381	0.790433332862751
Altererythrobacter	0.904761904761905	0.904761904761905	0.761904761904762	0.833333333333333	0.714285714285714	0.952380952380953	0.761904761904762	1	0.761904761904762	0.904761904761905	0.80952380952381	0.80952380952381	0.80952380952381	0.785714285714286	0.80952380952381	0.80952380952381	0.857142857142857	0.928571428571429	0.952380952380953	0.690476190476191	0.857142857142857	0.922172221673209
g__Chaetomium	0.857142857142857	0.857142857142857	0.714285714285714	0.714285714285714	0.80952380952381	0.761904761904762	0.761904761904762	0.761904761904762	1	0.80952380952381	0.761904761904762	0.714285714285714	0.833333333333333	0.880952380952381	0.761904761904762	0.904761904761905	0.80952380952381	0.880952380952381	0.857142857142857	0.666666666666667	0.761904761904762	0.790433332862751
g__Pseudogymnoascus	0.952380952380953	0.952380952380953	0.761904761904762	0.785714285714286	0.761904761904762	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	1	0.904761904761905	0.761904761904762	0.785714285714286	0.857142857142857	0.80952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.738095238095238	0.904761904761905	0.874267171196679
