g__Lachnella	Agromyces	Arthrobacter	Chondromyces	Solirubrobacter	Phycicoccus	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Haliangium	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ohtaekwangia	Oscillochloris	Methyloceanibacter	Labilithrix	Uliginosibacterium	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Rubrobacter	Nakamurella	Acidiphilium	Armatimonadetes_gp5	g__Ustilago
g__Lachnella	1	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.838338383339281	0.886243433815812	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.880952380952381	0.857142857142857	0.952380952380953	0.857142857142857	0.904761904761905	0.886243433815812	0.898219696434944	0.857142857142857
Agromyces	0.904761904761905	1	0.928571428571429	0.928571428571429	1	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	1	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	1	0.928571428571429	0.833333333333333	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.898219696434944	0.922172221673209	0.666666666666667
Arthrobacter	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.880952380952381	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.880952380952381	0.976190476190476	0.826362120720149	0.898219696434944	0.928571428571429	0.904761904761905	0.833333333333333	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.898219696434944	0.922172221673209	0.761904761904762
Chondromyces	0.904761904761905	0.928571428571429	0.904761904761905	1	0.928571428571429	1	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.97007727214974	0.994029797388005	0.928571428571429	1	0.904761904761905	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.785714285714286	0.80952380952381	0.994029797388005	0.790433332862751	0.80952380952381
Solirubrobacter	0.904761904761905	1	0.928571428571429	0.928571428571429	1	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	1	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	1	0.928571428571429	0.833333333333333	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.898219696434944	0.922172221673209	0.666666666666667
Phycicoccus	0.904761904761905	0.928571428571429	0.904761904761905	1	0.928571428571429	1	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.97007727214974	0.994029797388005	0.928571428571429	1	0.904761904761905	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.785714285714286	0.80952380952381	0.994029797388005	0.790433332862751	0.80952380952381
Blastococcus	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.761904761904762	0.880952380952381	0.80952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.874267171196679	0.850314645958414	0.952380952380953	0.880952380952381	0.904761904761905	0.976190476190476	0.785714285714286	0.80952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.850314645958414	0.934148484292342	0.642857142857143
Gaiella	0.880952380952381	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	1	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.814385858101016	0.862290908577547	0.976190476190476	0.880952380952381	0.761904761904762	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.642857142857143
Conexibacter	0.904761904761905	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	0.976190476190476	1	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.880952380952381	0.857142857142857	0.952380952380953	0.850314645958414	0.922172221673209	0.952380952380953	0.928571428571429	0.785714285714286	0.928571428571429	0.857142857142857	0.952380952380953	0.904761904761905	0.785714285714286	0.857142857142857	0.922172221673209	0.874267171196679	0.738095238095238
g__Exophiala	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.904761904761905	1	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.946124746911475	0.97007727214974	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	1	0.833333333333333	0.857142857142857	0.97007727214974	0.838338383339281	0.833333333333333
