Variovorax	Pseudoxanthomonas	Luteimonas	g__Pseudogymnoascus	Actinosynnema	Nocardia	Sphingobacterium	g__Cladosporium	Afipia	Methylobacterium	Pedomicrobium	Chelatococcus	Oxalicibacterium
Variovorax	1	1	0.928571428571429	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.910195959054077
Pseudoxanthomonas	1	1	0.928571428571429	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.910195959054077
Luteimonas	0.928571428571429	0.928571428571429	1	0.952380952380953	0.904761904761905	0.880952380952381	0.80952380952381	0.690476190476191	0.904761904761905	0.857142857142857	0.785714285714286	0.880952380952381	0.790433332862751
g__Pseudogymnoascus	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.874267171196679
Actinosynnema	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	1	0.785714285714286	0.666666666666667	0.642857142857143	0.80952380952381	0.785714285714286	0.761904761904762	0.952380952380953	0.706599494528823
Nocardia	0.952380952380953	0.952380952380953	0.880952380952381	0.857142857142857	0.785714285714286	1	0.928571428571429	0.714285714285714	0.976190476190476	0.880952380952381	0.857142857142857	0.80952380952381	0.898219696434944
Sphingobacterium	0.880952380952381	0.880952380952381	0.80952380952381	0.857142857142857	0.666666666666667	0.928571428571429	1	0.833333333333333	0.904761904761905	0.952380952380953	0.928571428571429	0.738095238095238	0.934148484292342
g__Cladosporium	0.80952380952381	0.80952380952381	0.690476190476191	0.857142857142857	0.642857142857143	0.714285714285714	0.833333333333333	1	0.785714285714286	0.928571428571429	0.904761904761905	0.666666666666667	0.874267171196679
Afipia	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.976190476190476	0.904761904761905	0.785714285714286	1	0.904761904761905	0.880952380952381	0.833333333333333	0.934148484292342
Methylobacterium	0.928571428571429	0.928571428571429	0.857142857142857	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.928571428571429	0.904761904761905	1	0.976190476190476	0.833333333333333	0.946124746911475
Pedomicrobium	0.904761904761905	0.904761904761905	0.785714285714286	0.904761904761905	0.761904761904762	0.857142857142857	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	1	0.857142857142857	0.97007727214974
Chelatococcus	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.952380952380953	0.80952380952381	0.738095238095238	0.666666666666667	0.833333333333333	0.833333333333333	0.857142857142857	1	0.814385858101016
Oxalicibacterium	0.910195959054077	0.910195959054077	0.790433332862751	0.874267171196679	0.706599494528823	0.898219696434944	0.934148484292342	0.874267171196679	0.934148484292342	0.946124746911475	0.97007727214974	0.814385858101016	1
