Sphingopyxis	g__Sarocladium	Sphingobium	Luteimonas	Achromobacter	Ralstonia	g__Pseudogymnoascus	Nocardia	Sphingobacterium	Methylobacterium	Methylovirgula
Sphingopyxis	1	0.976190476190476	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953
g__Sarocladium	0.976190476190476	1	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.880952380952381
Sphingobium	0.952380952380953	0.976190476190476	1	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333
Luteimonas	0.833333333333333	0.880952380952381	0.904761904761905	1	0.738095238095238	0.904761904761905	0.952380952380953	0.880952380952381	0.80952380952381	0.857142857142857	0.690476190476191
Achromobacter	0.904761904761905	0.857142857142857	0.80952380952381	0.738095238095238	1	0.880952380952381	0.690476190476191	0.880952380952381	0.880952380952381	0.761904761904762	0.857142857142857
Ralstonia	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857
g__Pseudogymnoascus	0.833333333333333	0.857142857142857	0.904761904761905	0.952380952380953	0.690476190476191	0.833333333333333	1	0.857142857142857	0.857142857142857	0.952380952380953	0.738095238095238
Nocardia	0.904761904761905	0.857142857142857	0.833333333333333	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	1	0.928571428571429	0.880952380952381	0.880952380952381
Sphingobacterium	0.976190476190476	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.928571428571429	1	0.952380952380953	0.976190476190476
Methylobacterium	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.761904761904762	0.833333333333333	0.952380952380953	0.880952380952381	0.952380952380953	1	0.880952380952381
Methylovirgula	0.952380952380953	0.880952380952381	0.833333333333333	0.690476190476191	0.857142857142857	0.857142857142857	0.738095238095238	0.880952380952381	0.976190476190476	0.880952380952381	1
