dis_inter_heal	rank_dh
Promicromonospora	Promicromonospora	1
Phyllobacterium	Phyllobacterium	2
Pseudomonas	Pseudomonas	3
Rhizobium	Rhizobium	4
Flavobacterium	Flavobacterium	5
Sphingomonas	Sphingomonas	6
Variovorax	Variovorax	7
Pseudoxanthomonas	Pseudoxanthomonas	8
Streptomyces	Streptomyces	9
Chryseobacterium	Chryseobacterium	10
Lentzea	Lentzea	11
Nocardioides	Nocardioides	12
Actinoplanes	Actinoplanes	13
Herbaspirillum	Herbaspirillum	14
Mycobacterium	Mycobacterium	15
Kribbella	Kribbella	16
Massilia	Massilia	17
Devosia	Devosia	18
Microbacterium	Microbacterium	19
Stenotrophomonas	Stenotrophomonas	20
Mesorhizobium	Mesorhizobium	21
Caulobacter	Caulobacter	22
Aeromicrobium	Aeromicrobium	23
Agromyces	Agromyces	24
Steroidobacter	Steroidobacter	25
Arthrobacter	Arthrobacter	26
Chondromyces	Chondromyces	27
Umezawaea	Umezawaea	28
Pantoea	Pantoea	29
Rhodanobacter	Rhodanobacter	30
Shinella	Shinella	31
Solirubrobacter	Solirubrobacter	32
Bosea	Bosea	33
Bradyrhizobium	Bradyrhizobium	34
