OTUID,E05_fun,E04_fun,E03_fun,E00_fun
OTU_6,2293.494953,10.22494888,1995.518331,2051.098476
OTU_8,1545.740639,0,1812.666958,1695.856343
OTU_14,831.8065072,0,485.2170393,447.6022216
OTU_16,482.3071901,76.51282766,366.2833337,387.3559765
OTU_17,344.6882593,0,419.8796967,498.9029321
OTU_9,442.1514695,2583.507622,747.5743578,540.6160075
OTU_20,251.7974508,863.7699851,112.9850398,171.768089
OTU_24,372.2719075,0,334.4355095,318.4682554
OTU_10,337.4381148,1533.794618,487.5873329,562.8645386
OTU_22,219.9682243,0,261.1075463,244.646825
OTU_25,201.4678916,395.9901933,85.9393013,109.4395365
OTU_19,283.4086559,0,331.6941408,279.0839674
OTU_46,142.7636903,0,185.2581494,132.6318403
OTU_107,49.16420846,0,45.69434177,24.13937176
OTU_55,79.19423849,450.5077617,106.112856,103.1108712
OTU_36,131.9293265,301.4965607,84.20275371,84.59668269
OTU_49,72.69362022,150.7366611,69.87988427,65.84869545
OTU_58,39.33136676,0,35.39909533,46.39989396
OTU_43,142.1165048,0,178.8185389,165.2037729
OTU_66,67.19452404,288.8025191,39.11818405,41.71475827
OTU_194,39.33136676,30.67484663,23.75296912,5.390034426
OTU_74,123.0980069,0,79.53408824,63.50339129
OTU_48,73.04795686,0,48.13759961,72.17209351
OTU_139,103.0779869,20.44989775,52.30802393,48.03822289
OTU_96,37.34166233,0,47.68939105,56.94313116
OTU_50,117.9399076,220.6439394,74.26815881,28.11957638
OTU_21,55.37197791,461.714538,153.5937779,245.3661887
OTU_90,45.3619679,0,35.16560994,26.24698476
OTU_61,65.38198792,329.7023146,124.1360519,61.62757278
OTU_99,69.71573343,0,92.5217131,40.0669749
OTU_159,19.66568338,0,15.81967757,11.0118272
OTU_235,19.66568338,0,13.18983988,27.18446713
OTU_246,27.50882064,130.6701989,6.594919942,21.32333647
OTU_2,33.36225346,59.27565533,31.66749846,45.93034557
OTU_155,19.8428517,49.24242424,7.257851676,13.12369014
OTU_32,79.078558,0,96.51181165,91.39434115
OTU_52,29.85286171,251.4988846,50.74554804,43.58685548
OTU_86,27.68598896,277.0670664,67.90985129,88.58344572
OTU_44,51.21540072,435.7629206,56.50659158,76.62405229
OTU_39,63.39228349,18.93939394,108.1266675,104.7458687
OTU_28,103.9504888,0,45.94658938,113.8810217
OTU_60,30.03003003,0,50.34111799,44.52727002
OTU_141,15.68627451,0,19.11244698,24.13957143
OTU_29,130.6482954,217.0361591,123.0655631,72.17087272
OTU_145,45.71630454,0,29.24300284,28.58550043
OTU_106,0,38.63403978,38.02580597,23.19734473
OTU_205,31.37254902,10.41666667,4.618632885,15.23370859
OTU_170,43.54943178,212.1095929,30.99831265,61.62694908
OTU_47,35.70629453,0,84.32991986,108.9668601
OTU_132,10.01001001,49.80595836,9.663585076,14.06110595
OTU_72,40.04004004,20.44989775,46.80860911,95.84583976
OTU_161,0,0,3.299023489,25.78310486
OTU_191,0,0,15.38710418,27.18271961
OTU_174,23.52941176,48.85898866,10.32026274,18.0428261
OTU_241,10.01001001,9.46969697,9.013161488,17.10844133
OTU_218,0,0,5.278437582,10.07770676
OTU_237,0,29.91959472,3.299023489,8.200964094
OTU_221,20.02002002,89.96212121,9.448861905,11.95164846
OTU_198,0,0,23.96769229,21.79459814
OTU_120,0,121.0087842,1.755309812,29.05718995
OTU_178,10.01001001,18.93939394,19.77850575,29.9903235
OTU_157,7.843137255,61.73312883,12.30905794,10.31081711
OTU_185,10.01001001,0,8.577461072,33.04451202
OTU_219,0,120.44525,17.34775606,4.921606044
OTU_240,0,10.22494888,7.254724639,7.966041581
