ID	bacteria	spike	group	Group	sample01	sample02	sample03	sample04	sample05	mean
1	Act-101	E05	2:02:02	2	2.413793103	1.604204268	1.062263776	NA	NA	1.693420382
2	Act-135	E05	2:02:02	2	0.755821351	0.521286761	0.345136264	NA	NA	0.540748125
3	Act-140	E05	2:02:02	2	1.850108156	1.363202038	0.889198329	NA	NA	1.367502841
4	Bac-186	E05	2:02:02	2	4.981549815	3.221148742	2.012134474	NA	NA	3.404944344
5	Fir-11	E05	2:02:02	2	2.093141621	1.692324026	2.202108613	NA	NA	1.995858087
6	Pro-1203	E05	2:02:02	2	0.82580481	0.698587961	0.86831112	NA	NA	0.797567963
7	Pro-1204	E05	2:02:02	2	0.823259957	0.742116998	0.942908295	NA	NA	0.836095083
8	Pro-670	E05	2:02:02	2	0.480977224	0.352479032	0.513228566	NA	NA	0.44889494
9	Pro-672	E05	2:02:02	2	0.279933834	0.250557384	0.31927591	NA	NA	0.283255709
10	Act-101	E55	2:02:02	2	3.338145475	1.358817166	NA	NA	NA	2.34848132
11	Act-135	E55	2:02:02	2	1.092726263	0.476739993	NA	NA	NA	0.784733128
12	Act-140	E55	2:02:02	2	2.722931705	1.127298954	NA	NA	NA	1.925115329
13	Bac-186	E55	2:02:02	2	5.975569128	2.629642986	NA	NA	NA	4.302606057
14	Fir-11	E55	2:02:02	2	2.792892837	2.888568338	NA	NA	NA	2.840730587
15	Pro-1203	E55	2:02:02	2	1.118267629	1.146051208	NA	NA	NA	1.132159419
16	Pro-1204	E55	2:02:02	2	1.261521377	1.159033538	NA	NA	NA	1.210277457
17	Pro-670	E55	2:02:02	2	0.676290949	0.680851064	NA	NA	NA	0.678571007
18	Pro-672	E55	2:02:02	2	0.40755136	0.422646953	NA	NA	NA	0.415099157
19	Act-101	E04	2:02:02	2	2.011724138	1.0634853	1.006292606	NA	NA	1.360500682
20	Act-135	E04	2:02:02	2	0.7	0.367277375	0.36234924	NA	NA	0.476542205
21	Act-140	E04	2:02:02	2	1.590344828	0.862803579	0.843733613	NA	NA	1.098960673
22	Bac-186	E04	2:02:02	2	4.306206897	2.34426928	2.089145254	NA	NA	2.913207144
23	Fir-11	E04	2:02:02	2	1.652413793	1.128674904	2.152071316	NA	NA	1.644386671
24	Pro-1203	E04	2:02:02	2	0.70137931	0.485300383	0.906659675	NA	NA	0.69777979
25	Pro-1204	E04	2:02:02	2	0.719310345	0.522368982	0.934976403	NA	NA	0.72555191
26	Pro-670	E04	2:02:02	2	0.362758621	0.273966766	0.492920818	NA	NA	0.376548735
27	Pro-672	E04	2:02:02	2	0.237241379	0.157221986	0.310435239	NA	NA	0.234966201
28	Act-101	E0520	2:02:02	2	1.909646739	0.958687259	1.02346194	NA	NA	1.297265312
29	Act-135	E0520	2:02:02	2	0.722826087	0.374131274	0.390510949	NA	NA	0.49582277
30	Act-140	E0520	2:02:02	2	1.508152174	0.773745174	0.819082377	NA	NA	1.033659908
31	Bac-186	E0520	2:02:02	2	4.234375	2.155984556	2.172054223	NA	NA	2.854137926
32	Fir-11	E0520	2:02:02	2	1.894021739	1.147876448	2.281021898	NA	NA	1.774306695
33	Pro-1203	E0520	2:02:02	2	0.79076087	0.517374517	0.917622523	NA	NA	0.741919303
34	Pro-1204	E0520	2:02:02	2	0.832880435	0.556756757	1.010427529	NA	NA	0.800021573
35	Pro-670	E0520	2:02:02	2	0.440217391	0.274903475	0.564129301	NA	NA	0.426416723
36	Pro-672	E0520	2:02:02	2	0.25	0.176061776	0.362356621	NA	NA	0.262806133
