ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Act-101,E05,2:02:01,0.119113882,0.124505218,0.133488372,0.128102393,0.136535077,0.128348988
2,Act-135,E05,2:02:01,0.039964377,0.043181,0.045697674,0.04195882,0.047774705,0.043715315
3,Act-140,E05,2:02:01,0.099409997,0.098236776,0.101976744,0.106622148,0.110258989,0.103300931
4,Bac-186,E05,2:02:01,0.237003228,0.255847427,0.26,0.255982193,0.272567262,0.256280022
5,Fir-11,E05,2:02:01,0.311588556,0.296029747,0.278372093,0.276015582,0.260246417,0.284450479
6,Pro-1203,E05,2:02:01,0.064232439,0.066570709,0.060930233,0.065331107,0.060221272,0.063457152
7,Pro-1204,E05,2:02:01,0.068128688,0.06177282,0.065,0.06722315,0.060724164,0.064569764
8,Pro-670,E05,2:02:01,0.035956807,0.031186278,0.039186047,0.039065109,0.034825245,0.036043897
9,Pro-672,E05,2:02:01,0.024268062,0.022310184,0.015116279,0.019476906,0.016721147,0.019578515
10,Act-101,E55,2:02:01,0.120682061,0.128625209,0.127184526,0.115628333,0.121052632,0.122634552
11,Act-135,E55,2:02:01,0.038004153,0.046430563,0.04533864,0.040717736,0.041842105,0.04246664
12,Act-140,E55,2:02:01,0.100421569,0.102481874,0.106847441,0.107221281,0.110263158,0.105447065
13,Bac-186,E55,2:02:01,0.214119424,0.251533742,0.254431246,0.261371479,0.278486842,0.251988547
14,Fir-11,E55,2:02:01,0.303215252,0.273354713,0.285154549,0.28696907,0.268355263,0.283409769
15,Pro-1203,E55,2:02:01,0.076008306,0.066229782,0.055289508,0.06299015,0.058026316,0.063708812
16,Pro-1204,E55,2:02:01,0.077266721,0.06908812,0.066359848,0.067193676,0.064605263,0.068902726
17,Pro-670,E55,2:02:01,0.04341534,0.039947016,0.034765844,0.033753686,0.033684211,0.037113219
18,Pro-672,E55,2:02:01,0.026615491,0.022169548,0.024317433,0.024029111,0.023355263,0.024097369
19,Act-101,E04,2:02:01,0.124812481,0.127172919,0.135541447,0.128515742,0.13313739,0.129835996
20,Act-135,E04,2:02:01,0.036663666,0.042870213,0.04623862,0.047016492,0.047589269,0.044075652
21,Act-140,E04,2:02:01,0.095169517,0.091033852,0.096190704,0.099730135,0.103370646,0.097098971
22,Bac-186,E04,2:02:01,0.251905191,0.290158149,0.273298994,0.269565217,0.28791195,0.2745679
23,Fir-11,E04,2:02:01,0.303510351,0.271729186,0.269345951,0.270044978,0.260146332,0.27495536
24,Pro-1203,E04,2:02:01,0.064746475,0.061952686,0.060014375,0.061049475,0.055781377,0.060708878
25,Pro-1204,E04,2:02:01,0.067086709,0.061756633,0.061990896,0.068185907,0.062285035,0.064261036
26,Pro-670,E04,2:02:01,0.03330333,0.034570644,0.035996646,0.033703148,0.030454631,0.03360568
27,Pro-672,E04,2:02:01,0.022442244,0.018625016,0.021082894,0.021949025,0.019198299,0.020659496
28,Act-101,E0520,2:02:01,0.118482591,0.120272017,0.122468993,NA,NA,0.120407867
29,Act-135,E0520,2:02:01,0.043997921,0.04462429,0.047072397,NA,NA,0.045231536
30,Act-140,E0520,2:02:01,0.100525434,0.103242848,0.102970868,NA,NA,0.102246384
31,Bac-186,E0520,2:02:01,0.27686356,0.259933682,0.289991347,NA,NA,0.275596196
32,Fir-11,E0520,2:02:01,0.270916335,0.274714775,0.262417075,NA,NA,0.269349395
33,Pro-1203,E0520,2:02:01,0.060915757,0.067273647,0.056763773,NA,NA,0.061651059
34,Pro-1204,E0520,2:02:01,0.068364224,0.069802731,0.061378714,NA,NA,0.066515223
35,Pro-670,E0520,2:02:01,0.035452393,0.035856798,0.035131237,NA,NA,0.035480143
36,Pro-672,E0520,2:02:01,0.024250823,0.023942,0.021747909,NA,NA,0.023313577
37,Act-101,E05,1:01:01,0.110715228,0.130298273,0.119558736,NA,NA,0.120190746
38,Act-135,E05,1:01:01,0.037212985,0.043956044,0.045617174,NA,NA,0.042262067
39,Act-140,E05,1:01:01,0.09408815,0.122291994,0.098240906,NA,NA,0.104873683
40,Bac-186,E05,1:01:01,0.201108472,0.2566719,0.230322004,NA,NA,0.229367458
41,Fir-11,E05,1:01:01,0.262206387,0.208634223,0.24090638,NA,NA,0.237248997
42,Pro-1203,E05,1:01:01,0.10398522,0.089010989,0.085867621,NA,NA,0.09295461
43,Pro-1204,E05,1:01:01,0.104776986,0.083045526,0.099284436,NA,NA,0.095702316
44,Pro-670,E05,1:01:01,0.05476379,0.042857143,0.049344067,NA,NA,0.048988333
45,Pro-672,E05,1:01:01,0.031010821,0.022605965,0.0307096,NA,NA,0.028108796
46,Act-101,E55,1:01:01,0.109570511,0.125139933,0.120789597,NA,NA,0.118500014
47,Act-135,E55,1:01:01,0.038214406,0.04493843,0.03900987,NA,NA,0.040720902
48,Act-140,E55,1:01:01,0.096043287,0.12697905,0.108569638,NA,NA,0.110530658
49,Bac-186,E55,1:01:01,0.20784579,0.256516872,0.223562588,NA,NA,0.229308417
50,Fir-11,E55,1:01:01,0.257828881,0.208539901,0.224580918,NA,NA,0.230316567
51,Pro-1203,E55,1:01:01,0.09895164,0.081560851,0.097524675,NA,NA,0.092679055
52,Pro-1204,E55,1:01:01,0.102062902,0.087398049,0.101519662,NA,NA,0.096993537
53,Pro-670,E55,1:01:01,0.053432533,0.042939389,0.054128153,NA,NA,0.050166692
54,Pro-672,E55,1:01:01,0.035847142,0.025827603,0.0300799,NA,NA,0.030584882
55,Act-101,E04,1:01:01,0.115418558,0.134953538,0.119915899,NA,NA,0.123429332
56,Act-135,E04,1:01:01,0.037443268,0.042959257,0.040962807,NA,NA,0.040455111
57,Act-140,E04,1:01:01,0.091401916,0.116440315,0.094903212,NA,NA,0.100915148
58,Bac-186,E04,1:01:01,0.21318709,0.281200858,0.252229392,NA,NA,0.248872447
59,Fir-11,E04,1:01:01,0.250693394,0.183631165,0.227144204,NA,NA,0.220489588
60,Pro-1203,E04,1:01:01,0.10186586,0.081129378,0.090190676,NA,NA,0.091061971
61,Pro-1204,E04,1:01:01,0.10426122,0.088348821,0.094540709,NA,NA,0.095716917
62,Pro-670,E04,1:01:01,0.053139183,0.043030736,0.048865366,NA,NA,0.048345095
63,Pro-672,E04,1:01:01,0.032463439,0.028091494,0.031175234,NA,NA,0.030576722
64,Act-101,E0520,1:01:01,0.108714712,0.123583412,0.113018868,NA,NA,0.115105664
65,Act-135,E0520,1:01:01,0.040329651,0.041595442,0.038679245,NA,NA,0.040201446
66,Act-140,E0520,1:01:01,0.089017476,0.12345679,0.098176101,NA,NA,0.103550122
67,Bac-186,E0520,1:01:01,0.221170144,0.276859766,0.24918239,NA,NA,0.249070767
