ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Act-101,E05,2:02:01,0.103994557,0.094924554,0.107571214,0.111888792,0.095953349,0.102866493
2,Act-135,E05,2:02:01,0.034891632,0.032921811,0.036825337,0.036648197,0.033574837,0.034972363
3,Act-140,E05,2:02:01,0.086791719,0.074897119,0.082177661,0.093127248,0.077487189,0.082896187
4,Bac-186,E05,2:02:01,0.206920012,0.195061728,0.20952024,0.223583163,0.191553278,0.205327684
5,Fir-11,E05,2:02:01,0.272038099,0.225697302,0.224325337,0.241080976,0.182894504,0.229207244
6,Pro-1203,E05,2:02:01,0.056079308,0.050754458,0.04910045,0.057062312,0.042321965,0.051063699
7,Pro-1204,E05,2:02:01,0.059480999,0.047096479,0.05238006,0.058714883,0.042675384,0.052069561
8,Pro-670,E05,2:02:01,0.03139275,0.023776863,0.031577961,0.034120735,0.024474289,0.02906852
9,Pro-672,E05,2:02:01,0.021187676,0.017009602,0.012181409,0.017011762,0.011751193,0.015828328
10,Act-101,E55,2:02:01,0.567623557,0.374391234,0.640463514,0.552955296,0.451866405,0.517460001
11,Act-135,E55,2:02:01,0.17875111,0.135146104,0.228311932,0.194719472,0.156188605,0.178623445
12,Act-140,E55,2:02:01,0.472329091,0.298295455,0.538051989,0.512751275,0.411591356,0.446603833
13,Bac-186,E55,2:02:01,1.007102693,0.732142857,1.281240213,1.249924992,1.03953831,1.061989813
14,Fir-11,E55,2:02:01,1.426161586,0.795657468,1.435953649,1.372337234,1.001719057,1.206365799
15,Pro-1203,E55,2:02:01,0.35750222,0.192775974,0.278421547,0.301230123,0.216601179,0.269306209
16,Pro-1204,E55,2:02:01,0.363421131,0.201095779,0.334168494,0.321332133,0.241159136,0.292235335
17,Pro-670,E55,2:02:01,0.204202427,0.116274351,0.175070467,0.161416142,0.125736739,0.156540025
18,Pro-672,E55,2:02:01,0.125184966,0.064529221,0.122455371,0.114911491,0.087180747,0.102852359
19,Act-101,E04,2:02:01,0.797851937,0.490176322,0.878493789,0.825182903,0.648887534,0.728118497
20,Act-135,E04,2:02:01,0.234369007,0.165239295,0.299689441,0.301886792,0.231941481,0.246625203
21,Act-140,E04,2:02:01,0.608362102,0.350881612,0.623447205,0.640354255,0.503809814,0.545370998
22,Bac-186,E04,2:02:01,1.610280015,1.118387909,1.771350932,1.730843281,1.403230722,1.526818572
23,Fir-11,E04,2:02:01,1.940161105,1.047355164,1.745729814,1.733923758,1.267906126,1.547015193
24,Pro-1203,E04,2:02:01,0.413885692,0.238790932,0.388975155,0.391990759,0.271868333,0.341102174
25,Pro-1204,E04,2:02:01,0.428845416,0.238035264,0.401785714,0.437812861,0.303565986,0.362009048
26,Pro-670,E04,2:02:01,0.212888377,0.13324937,0.233307453,0.216403543,0.148430357,0.18885582
27,Pro-672,E04,2:02:01,0.143459916,0.071788413,0.136645963,0.140931844,0.093569034,0.117279034
28,Act-101,E0520,2:02:01,1.050691244,1.446923597,1.096024781,NA,NA,1.197879874
29,Act-135,E0520,2:02:01,0.390168971,0.536849222,0.421270005,NA,NA,0.449429399
30,Act-140,E0520,2:02:01,0.891449053,1.242055443,0.921528136,NA,NA,1.018344211
31,Bac-186,E0520,2:02:01,2.455197133,3.127112914,2.595250387,NA,NA,2.725853478
32,Fir-11,E0520,2:02:01,2.402457757,3.304935767,2.348477026,NA,NA,2.685290183
33,Pro-1203,E0520,2:02:01,0.540194572,0.809330629,0.508002065,NA,NA,0.619175755
34,Pro-1204,E0520,2:02:01,0.6062468,0.839756592,0.549303046,NA,NA,0.665102146
35,Pro-670,E0520,2:02:01,0.314388121,0.431372549,0.314403717,NA,NA,0.353388129
36,Pro-672,E0520,2:02:01,0.215053763,0.288032454,0.194630872,NA,NA,0.232572363
37,Act-101,E05,1:01:01,0.071746195,0.064331111,0.063833174,NA,NA,0.066636827
38,Act-135,E05,1:01:01,0.024114931,0.021702062,0.024355301,NA,NA,0.023390765
39,Act-140,E05,1:01:01,0.060971438,0.060378236,0.052451449,NA,NA,0.057933708
40,Bac-186,E05,1:01:01,0.130323243,0.126724539,0.122970392,NA,NA,0.126672725
41,Fir-11,E05,1:01:01,0.169916196,0.103007286,0.128621458,NA,NA,0.133848313
42,Pro-1203,E05,1:01:01,0.067384984,0.043946675,0.045845272,NA,NA,0.05239231
43,Pro-1204,E05,1:01:01,0.067898067,0.041001395,0.053008596,NA,NA,0.053969353
