ID	fungi	spike	group	Group	sample01	sample02	sample03	sample04	sample05	mean
1	Asco-AF1	E05	2:02:02	1	6.22684396	6.58452381	7.216482165	6.428060129	NA	6.613977516
2	Asco-AF105	E05	2:02:02	1	10.6773497	11.1702381	11.43911439	11.42925316	NA	11.17898884
3	Basi-AF78	E05	2:02:02	1	6.763268553	7.511904762	7.782287823	7.485087091	NA	7.385637057
4	Asco-AF1	E55	2:02:02	1	3.562744586	3.532081377	3.851195273	3.522584034	NA	3.617151317
5	Asco-AF105	E55	2:02:02	1	5.686929298	5.84246218	5.887724953	5.93907563	NA	5.839048015
6	Basi-AF78	E55	2:02:02	1	4.207670232	4.07876891	4.175127585	4.097163866	NA	4.139682648
7	Asco-AF1	E04	2:02:02	1	2.761553398	2.772497078	2.908591605	2.612151318	NA	2.76369835
8	Asco-AF105	E04	2:02:02	1	4.489320388	4.501363459	4.483719106	4.515475736	NA	4.497469672
9	Basi-AF78	E04	2:02:02	1	3.253592233	3.266458901	3.229501765	3.192204815	NA	3.235439429
10	Asco-AF1	E0520	2:02:02	1	2.232727273	2.196996997	2.119021135	2.163845224	NA	2.178147657
11	Asco-AF105	E0520	2:02:02	1	3.463333333	3.48048048	3.165183537	3.625453446	NA	3.433612699
12	Basi-AF78	E0520	2:02:02	1	2.780909091	2.718618619	2.453837597	2.665961306	NA	2.654831653
13	Asco-AF1	E00	2:02:02	1	0	0	0	0	NA	0
14	Asco-AF105	E00	2:02:02	1	0	0	0	0	NA	0
15	Basi-AF78	E00	2:02:02	1	0	0	0	0	NA	0
16	Asco-AF1	E05	1:01:01	2	5.139994106	4.746570122	5.540333299	NA	NA	5.142299176
17	Asco-AF105	E05	1:01:01	2	8.768051872	8.351753049	9.279214804	NA	NA	8.799673241
18	Basi-AF78	E05	1:01:01	2	5.195009333	5.125762195	5.467743585	NA	NA	5.262838371
19	Asco-AF1	E55	1:01:01	2	2.572840482	2.423127464	2.639386189	NA	NA	2.545118045
20	Asco-AF105	E55	1:01:01	2	4.230875667	3.920780927	4.219161912	NA	NA	4.123606169
21	Basi-AF78	E55	1:01:01	2	2.907689267	2.77829923	2.797560496	NA	NA	2.827849664
22	Asco-AF1	E04	1:01:01	2	1.835575888	1.765455028	1.861939296	NA	NA	1.820990071
23	Asco-AF105	E04	1:01:01	2	3.045209903	3.045370125	3.108514639	NA	NA	3.066364889
24	Basi-AF78	E04	1:01:01	2	2.091227126	2.049084638	1.98656997	NA	NA	2.042293911
25	Asco-AF1	E0520	1:01:01	2	1.417996808	1.332126524	1.543295502	NA	NA	1.431139611
26	Asco-AF105	E0520	1:01:01	2	2.274142059	2.19378811	2.478142077	NA	NA	2.315357415
27	Basi-AF78	E0520	1:01:01	2	1.718475658	1.618902439	1.70470786	NA	NA	1.680695319
28	Asco-AF1	E00	1:01:01	2	0	0	0	NA	NA	0
29	Asco-AF105	E00	1:01:01	2	0	0	0	NA	NA	0
30	Basi-AF78	E00	1:01:01	2	0	0	0	NA	NA	0
31	Asco-AF1	E05	2:02:01	3	5.217632689	5.826567832	5.013468376	4.738175676	5.084033613	5.175975637
32	Asco-AF105	E05	2:02:01	3	9.182767044	9.949405812	8.60359875	8.350929054	8.716871364	8.960714405
33	Basi-AF78	E05	2:02:01	3	8.493226738	9.079891752	8.301907122	8.186233108	8.114630468	8.435177837
34	Asco-AF1	E55	2:02:01	3	2.635859519	2.815319549	2.403120388	2.422840161	2.724953618	2.600418647
35	Asco-AF105	E55	2:02:01	3	4.572550832	4.633458647	4.025722117	4.032264912	4.609461967	4.374691695
36	Basi-AF78	E55	2:02:01	3	4.481053604	4.472274436	4.062829433	4.121417958	4.405844156	4.308683917
37	Asco-AF1	E04	2:02:01	3	1.967532468	2.129491525	1.850871918	1.80613165	1.858970454	1.922599603
38	Asco-AF105	E04	2:02:01	3	3.358441558	3.555932203	3.003006615	3.058010219	3.102040816	3.215486282
39	Basi-AF78	E04	2:02:01	3	3.292207792	3.356610169	3.052916416	3.039975954	3.062442888	3.160830644
40	Asco-AF1	E0520	2:02:01	3	1.616497462	1.696708464	1.296816866	1.403196758	1.416374012	1.485918713
41	Asco-AF105	E0520	2:02:01	3	2.694162437	2.754702194	2.098181067	2.313147231	2.249122037	2.421862993
42	Basi-AF78	E0520	2:02:01	3	2.708121827	2.787356322	2.228193468	2.452723998	2.336698859	2.502618895
43	Asco-AF1	E00	2:02:01	3	0	0	0	0	0	0
44	Asco-AF105	E00	2:02:01	3	0	0	0	0	0	0
45	Basi-AF78	E00	2:02:01	3	0	0	0	0	0	0
