No	Site	Type	Genotype	Micro	Mean	Mean2	Error
1	Ah	dry	MH63	Bac	2.930597894	3.46464365	1.16538872
2	Ah	dry	MH63	Fun	0.534045756	0.534045756	0.324304781
3	Ah	dry	WYJ7DEP1	Bac	1.41975483	1.888851009	0.37873216
4	Ah	dry	WYJ7DEP1	Fun	0.469096179	0.469096179	0.175755303
5	Ah	wet	MH63	Bac	1.073532771	1.6973182	0.277272114
6	Ah	wet	MH63	Fun	0.623785429	0.623785429	0.342610188
7	Ah	wet	WYJ7DEP1	Bac	1.173253452	1.574667718	0.419748444
8	Ah	wet	WYJ7DEP1	Fun	0.401414266	0.401414266	0.127987716
9	Hn	dry	MH63	Bac	4.156496895	5.121638537	2.329023353
10	Hn	dry	MH63	Fun	0.965141642	0.965141642	0.425194271
11	Hn	dry	WYJ7DEP1	Bac	7.62315987	9.362590125	2.718655555
12	Hn	dry	WYJ7DEP1	Fun	1.739430255	1.739430255	0.585860482
13	Hn	wet	MH63	Bac	1.936145463	2.427048237	0.481639712
14	Hn	wet	MH63	Fun	0.490902774	0.490902774	0.130100783
15	Hn	wet	WYJ7DEP1	Bac	1.756636049	2.428811108	0.512372799
16	Hn	wet	WYJ7DEP1	Fun	0.672175059	0.672175059	0.407721971
