Sample	load	ratio
D6303_1_kneaddata	4.006242549	0.528242125
D6314_1_kneaddata	6.000342013	0.886810586
D6315_1_kneaddata	6.034925811	0.466079575
W6306_1_kneaddata	1.592601425	0.278944521
W6308_1_kneaddata	1.595008015	0.230998938
W6312_1_kneaddata	1.739952138	0.27719935
DWYJ03_1_kneaddata	7.925550431	1.420392352
DWYJ12_1_kneaddata	5.695791618	0.924025388
DWYJ15_1_kneaddata	7.823354666	0.925893436
WWYJ08_1_kneaddata	1.342566612	0.275438305
WWYJ12_1_kneaddata	1.781134754	0.388602668
WWYJ13_1_kneaddata	1.982763378	0.39023057
