	TABS1	TABS2	TABS3	TABS4	TABS5	TAD1	TAD10	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH1	TAH10	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
TABS1	0.0	0.2439	0.2575	0.2982	0.2958	0.9168	0.7056	0.6762	0.7721	0.6643	0.9219	0.836	0.7059	0.7241	0.7024	0.1422	0.2354	0.2695	0.2915	0.2838	0.9157	0.6511	0.9239	0.698	0.6956	0.6322	0.6252	0.694	0.7461	0.6712	0.6821	0.6485	0.74	0.8031	0.7727	0.6619	0.6249	0.705	0.7401	0.6574
TABS2	0.2439	0.0	0.2207	0.2399	0.2662	0.9136	0.689	0.6647	0.7618	0.6348	0.9187	0.8143	0.6825	0.7195	0.6869	0.2472	0.1379	0.2339	0.2364	0.2619	0.9125	0.6222	0.9214	0.679	0.6865	0.6251	0.6229	0.7007	0.7207	0.6512	0.6696	0.6439	0.721	0.788	0.7627	0.6631	0.6235	0.7047	0.7145	0.6432
TABS3	0.2575	0.2207	0.0	0.2066	0.1838	0.9325	0.7626	0.7339	0.8173	0.7066	0.9329	0.8772	0.7506	0.7615	0.7508	0.2606	0.2212	0.1374	0.1918	0.1883	0.9305	0.6909	0.9354	0.7408	0.744	0.6959	0.6691	0.7544	0.7797	0.7147	0.7378	0.7142	0.7841	0.8316	0.8025	0.7113	0.673	0.7621	0.7731	0.7102
TABS4	0.2982	0.2399	0.2066	0.0	0.2174	0.9088	0.7262	0.6903	0.7869	0.674	0.9145	0.8507	0.716	0.739	0.7198	0.2948	0.2396	0.2072	0.1631	0.2343	0.9062	0.6597	0.9182	0.712	0.7198	0.6594	0.6357	0.7196	0.7376	0.676	0.6924	0.6671	0.7487	0.7999	0.77	0.6675	0.63	0.7261	0.7272	0.6711
TABS5	0.2958	0.2662	0.1838	0.2174	0.0	0.9257	0.7631	0.7338	0.8159	0.7094	0.9267	0.8723	0.7515	0.7597	0.7501	0.2993	0.2478	0.1846	0.1918	0.1672	0.9242	0.6993	0.9315	0.7431	0.7455	0.6976	0.6802	0.7556	0.7836	0.7281	0.7363	0.7112	0.7911	0.8309	0.8054	0.7221	0.6825	0.7622	0.7747	0.7186
TAD1	0.9168	0.9136	0.9325	0.9088	0.9257	0.0	0.8764	0.8734	0.8726	0.8797	0.1382	0.8892	0.8696	0.5776	0.8755	0.9185	0.9123	0.9315	0.9133	0.9271	0.0284	0.8814	0.1174	0.8693	0.8743	0.8772	0.8782	0.8777	0.8811	0.8785	0.8766	0.882	0.8792	0.8895	0.8857	0.883	0.878	0.8789	0.8813	0.8786
TAD10	0.7056	0.689	0.7626	0.7262	0.7631	0.8764	0.0	0.456	0.3955	0.419	0.7876	0.4797	0.4456	0.5196	0.4105	0.7124	0.6856	0.7628	0.7279	0.7662	0.8702	0.4253	0.8136	0.4387	0.3877	0.4802	0.4466	0.4509	0.4434	0.4686	0.4832	0.5254	0.3743	0.4935	0.4267	0.4509	0.4435	0.4672	0.4354	0.4623
TAD2	0.6762	0.6647	0.7339	0.6903	0.7338	0.8734	0.456	0.0	0.4666	0.2583	0.8407	0.464	0.3008	0.4684	0.2757	0.6819	0.6568	0.7306	0.696	0.7418	0.8681	0.2705	0.8538	0.3402	0.318	0.4967	0.45	0.4923	0.5326	0.4647	0.464	0.4764	0.4964	0.603	0.5405	0.4619	0.427	0.4741	0.5188	0.4512
TAD3	0.7721	0.7618	0.8173	0.7869	0.8159	0.8726	0.3955	0.4666	0.0	0.437	0.794	0.4839	0.4735	0.5575	0.3897	0.7768	0.7554	0.8161	0.7822	0.8153	0.8679	0.4455	0.8156	0.4761	0.3861	0.629	0.5432	0.609	0.5847	0.5528	0.6114	0.657	0.5842	0.5789	0.3869	0.4834	0.5458	0.6083	0.5814	0.5528
TAD4	0.6643	0.6348	0.7066	0.674	0.7094	0.8797	0.419	0.2583	0.437	0.0	0.8387	0.4116	0.3183	0.4317	0.2468	0.6686	0.6316	0.7034	0.6726	0.7157	0.874	0.1124	0.8519	0.3368	0.2831	0.5074	0.4586	0.4964	0.508	0.4752	0.4757	0.5211	0.4731	0.555	0.5357	0.4872	0.4518	0.4979	0.4988	0.4787
