"TAD1"	"TAD2"	"TAD3"	"TAD4"	"TAD5"	"TAD6"	"TAD7"	"TAD8"	"TAD9"	"TAD10"	"TAH1"	"TAH2"	"TAH3"	"TAH4"	"TAH5"	"TAH6"	"TAH7"	"TAH8"	"TAH9"	"TAH10"	"TABS1"	"TABS2"	"TABS3"	"TABS4"	"TABS5"	"TAE0BS1"	"TAE0BS2"	"TAE0BS3"	"TAE0BS4"	"TAE0BS5"	"TAE0D1"	"TAE0D4"	"TAE0D5"	"TAE0D7"	"TAE0D9"	"TAE0H6"	"TAE0H7"	"TAE0H8"	"TAE0H9"	"TAE0H10"
"bacOTU_1"	7.96388028895769	0.00175131348511384	0.0218112849691797	0.00118483412322275	12.0666666666667	0.000873362445414847	0.0702028081123245	7.26847290640394	0	0	0	0.00248138957816377	0	0.000455788514129444	0	0	0	0	0	0	0.0056390977443609	0.00909090909090909	0.00560747663551402	0.0170212765957447	0.00806451612903226	2	3	4	5	1	8513	11	7943	55	1	3	5	3	3	3
"bacOTU_8"	0.110423116615067	0.450087565674256	0.0440967283072546	0.0302132701421801	0.085	0.0707423580786026	0.265210608424337	0.187192118226601	0.12598013591218	0.0767263427109974	0.635948905109489	0.746898263027295	0.0300084530853762	0.0569735642661805	0.120772946859903	0.0978835978835979	0.38423645320197	0.558419243986254	0.0307145842039281	1.67883211678832	0.056390977443609	0.096969696969697	0.0579439252336449	0.280851063829787	0.143145161290323	43	38	29	61	39	135	47	43	151	234	187	368	297	206	461
"bacOTU_5"	0.101135190918473	0.877408056042032	0.11284969179706	0.316943127962085	0.175	0.543231441048035	0.981279251170047	1.55911330049261	0.194458964976477	0.0583972719522592	0.328467153284672	0.270471464019851	0.103550295857988	0.195077484047402	0.014170692431562	0.0299823633156966	0.11576354679803	0.163230240549828	0.0114918512327622	0.148418491484185	0.037593984962406	0.0484848484848485	0.0149532710280374	0.0723404255319149	0.0161290322580645	22	24	6	24	8.5	79	593	85	700	506	122	186	94	97	85
"bacOTU_3"	0.0732714138286894	3.42031523642732	0.395922238027501	0.931279620853081	0.625	1.15109170305677	1.60842433697348	1.92857142857143	0.708311552535285	0.196504688832055	0.24543795620438	0.498759305210918	0.0815722738799662	0.0802187784867821	0.197745571658615	0.198412698412698	0.335796387520525	0.513745704467354	0.0428332636857501	0.489051094890511	0.0357142857142857	0.0818181818181818	0.00373831775700935	0.293617021276596	0.0564516129032258	14	23	5	55	9.5	89	1843	382	957	1364	433	373	279	329	150
"bacOTU_10"	0.0515995872033024	0.399299474605954	0.0189663347558084	0.07760663507109	0.0283333333333333	0.0471615720524017	0.549141965678627	0.288177339901478	0.0721380031364349	0.0298380221653879	0.177007299270073	0.372208436724566	0.00718512256973795	0.00774840474020055	0.0151368760064412	0.0255731922398589	0.206075533661741	0.0945017182130584	0.00961136648558295	0.413625304136253	0.0977443609022556	0.2	0.0392523364485981	0.170212765957447	0.0544354838709677	60	61	27	34	11	68	167	16	376	150	66	237	52	99	111
"bacOTU_28"	0.04437564499484	0.201401050788091	0.027027027027027	0.0740521327014218	0.0183333333333333	0.0200873362445415	0.305772230889236	0.45320197044335	0.0397281756403555	0.0230179028132992	0.218978102189781	0.377171215880893	0.0164835164835165	0.0273473108477666	0.0180354267310789	0.0299823633156966	0.14696223316913	0.297250859106529	0.00877559548683661	0.313868613138686	0.0394736842105263	0.0393939393939394	0.0560747663551402	0.14468085106383	0.0403225806451613	28	11	33	37	10	53	219	16	304	153	147	324	248	118	240
"bacOTU_9"	0.04437564499484	0.373029772329247	0.0905642484589853	0.105450236966825	0.04	0.432314410480349	0.24804992199688	0.332512315270936	0.122843700993204	0.174765558397272	0.206204379562044	1.04714640198511	0.291208791208791	0.109845031905196	0.0553945249597423	0.0568783068783069	0.171592775041051	0.634020618556701	0.0202674467195988	0.274939172749392	0.0488721804511278	0.184848484848485	0.0280373831775701	0.131914893617021	0.0403225806451613	42	61	17	37	11.5	51	246	23	221	373	230	309	438	223	167
"bacOTU_4"	0.0412796697626419	0.355516637478109	0.125651967757231	0.173578199052133	0.145	0.291703056768559	0.305772230889236	0.41871921182266	0.16466283324621	0.202472293265132	0.303832116788321	1.54838709677419	0.82967032967033	0.195077484047402	0.0454106280193237	0.126102292768959	0.282430213464696	0.981099656357388	0.0286251567070623	0.581508515815085	0.0958646616541353	0.163636363636364	0.0672897196261682	0.191489361702128	0.0786290322580645	66	69	39	66	23.5	42	368	88	245	458	465	516	691	286	391
"bacOTU_13"	0.0330237358101135	0.148861646234676	0.0303461356092935	0.0456161137440758	0.0166666666666667	0.122270742358079	0.407176287051482	0.226600985221675	0.0282279142707789	0.0174765558397272	0.107664233576642	0.344913151364764	0.0266272189349112	0.00638103919781222	0.0128824476650564	0.0149911816578483	0.106732348111658	0.0824742268041237	0.00522356874216465	0.160583941605839	0.0338345864661654	0.0393939393939394	0.0186915887850467	0.0680851063829787	0.0201612903225806	21	18	16	15	3	33	95	12	329	72	66	171	52	67	94
"bacOTU_27"	0.0330237358101135	0.0823117338003503	0.0184921763869132	0.300947867298578	0.0133333333333333	0.149344978165939	0.427457098283931	0.083743842364532	0.0162049137480397	0.111679454390452	0.166058394160584	0.875930521091811	0.084530853761623	0.0364630811303555	0.00998389694041868	0.0101410934744268	0.166666666666667	0.218213058419244	0.0117007939824488	0.608272506082725	0.0582706766917293	0.421212121212121	0.0448598130841121	0.0936170212765957	0.0544354838709677	22	116	22	22	10	36	552	12	254	35	26	231	154	126	257
"bacOTU_6"	0.0288957688338493	0.0788091068301226	0.936936936936937	0.023696682464455	0.696666666666667	0.232314410480349	0.0951638065522621	0.0665024630541872	0.0397281756403555	0.214833759590793	0.0228102189781022	0.364764267990074	0.112848689771767	0.72971741112124	0.222544283413849	0.0705467372134039	0.0640394088669951	0.257731958762887	0.0194316757208525	0.141119221411192	0.037593984962406	0.0181818181818182	0.00934579439252336	0.0340425531914894	0.0181451612903226	15	8	9	9	2.5	35	42	370	74	105	219	91	165	200	75
"bacOTU_7"	0.0257997936016512	0.409807355516637	0.0478899952584163	0.191943127962085	0.118333333333333	0.215720524017467	0.372854914196568	0.667487684729064	0.175640355462624	0.0421994884910486	0.0328467153284672	1.00496277915633	0.162299239222316	0.097538742023701	0.0731078904991948	0.142857142857143	0.0935960591133005	1.39518900343643	0.0273715002089427	0.4330900243309	0.0131578947368421	0.00909090909090909	0.0149532710280374	0.0340425531914894	0.00604838709677419	2	7	6	9	1	32	354	54	217	296	270	91	733	214	110
"bacOTU_70"	0.0247678018575851	0.152364273204904	0.0227596017069701	0.0983412322274882	0.0233333333333333	0.0244541484716157	0.134165366614665	0.317733990147783	0.0778881338212232	0.0507246376811594	0.114963503649635	0.265508684863524	0.025781910397295	0.0182315405651778	0.0360708534621578	0.0445326278659612	0.0689655172413793	0.231958762886598	0.0158796489761805	0.240875912408759	0.507518796992481	0.906060606060606	0.549532710280374	0.821276595744681	0.479838709677419	284	350	319	254	134	23	185	11	98	202	158	97	135	140	140
"bacOTU_20"	0.0237358101135191	0.201401050788091	0.045045045045045	0.0473933649289099	0.02	0.232314410480349	0.0390015600624025	0.0714285714285714	0.0737062205959226	0.0775788576300085	0.0182481751824818	0.196029776674938	0.00549450549450549	0.01640838650866	0.00901771336553945	0.0149911816578483	0.0328407224958949	0.084192439862543	0.00961136648558295	0.0267639902676399	0.0037593984962406	0.00606060606060606	0.00373831775700935	0.0170212765957447	0.00604838709677419	6	3	2	8	0	26	93	12	31	193	43	63	47	93	15
"bacOTU_22"	0.0237358101135191	0.148861646234676	0.126600284495021	0.0770142180094787	0.0733333333333333	0.0986899563318777	0.19188767550702	0.224137931034483	0.0622059592263461	0.0643648763853368	0.0328467153284672	0.186104218362283	0.0215553677092139	0.0278030993618961	0.00740740740740741	0.02336860670194	0.0188834154351396	0.163230240549828	0.00668616798997075	0.0705596107055961	0.0131578947368421	0.00909090909090909	0	0.0127659574468085	0.00604838709677419	7	6	1	2	1.5	15	119	33	129	145	58	29	97	71	43
"bacOTU_19"	0.0206398348813209	0.129597197898424	0.0275011853959222	0.0444312796208531	0.0216666666666667	0.0375545851528384	0.287051482059282	0.396551724137931	0.0277051751176163	0.0315430520034101	0.293795620437956	0.362282878411911	0.0519864750633981	0.0259799453053783	0.007085346215781	0.0185185185185185	0.19376026272578	0.0670103092783505	0.00731299623903051	0.37712895377129	0.0695488721804511	0.1	0.0280373831775701	0.0936170212765957	0.0564516129032258	44	39	27	25	16	14	65	8	193	72	56	264	39	62	192
"bacOTU_32"	0.0185758513931889	0.145359019264448	0.0189663347558084	0.0361374407582938	0.0233333333333333	0.124017467248908	0.171606864274571	0.221674876847291	0.0250914793518035	0.0196078431372549	0.0921532846715328	0.315136476426799	0.115807269653424	0.121695533272562	0.00676328502415459	0.0286596119929453	0.183908045977011	0.115120274914089	0.00898453823652319	0.18978102189781	0.037593984962406	0.121212121212121	0.0280373831775701	0.119148936170213	0.0181451612903226	15	34	20	40	5.5	23	84	17	155	86	124	343	90	93	142
"bacOTU_53"	0.0185758513931889	0.0595446584938704	0.0146989094357515	0.0231042654028436	0.00666666666666667	0.0104803493449782	0.0717628705148206	0.105911330049261	0.0297961317302666	0.010230179028133	0.0273722627737226	0.0223325062034739	0.00084530853761623	0.000911577028258888	0.00225442834138486	0.00617283950617284	0.0303776683087028	0.00859106529209622	0.000626828249059758	0.0559610705596107	0.349624060150376	0.548484848484848	0.336448598130841	0.71063829787234	0.393145161290323	223	201	192	179	110	21	39	4	54	79	16	43	4	8	25
"bacOTU_26"	0.0175438596491228	0.290718038528897	0.0165955429113324	0.028436018957346	0.0716666666666667	0.0200873362445415	0.196567862714509	0.157635467980296	0.0355462624150549	0.0221653878942881	0.216240875912409	0.15136476426799	0.0346576500422654	0.0278030993618961	0.00966183574879227	0.027336860670194	0.217569786535304	0.0927835051546392	0.0108650229837025	0.583941605839416	0.0676691729323308	0.1	0.0878504672897196	0.187234042553191	0.092741935483871	39	33	49	40	19	23	71	35	107	55	45	193	43	62	137
"bacOTU_11"	0.0165118679050568	0.113835376532399	0.0289236605026079	0.0207345971563981	0.015	0.0104803493449782	0.182527301092044	0.0394088669950739	0.0135912179822269	0.0336743393009378	0.0885036496350365	0.431761786600496	0.0262045646661031	0.0109389243391067	0.0190016103059581	0.041005291005291	0.261904761904762	0.383161512027491	0.0125365649811952	0.635036496350365	0.0037593984962406	0.0303030303030303	0	0.0553191489361702	0	1	8	3	9	0.5	22	35	11	101	32	84	300	217	133	171
"bacOTU_48"	0.0134158926728586	0.113835376532399	0.0303461356092935	0.0272511848341232	0.00833333333333333	0.0497816593886463	0.102964118564743	0.105911330049261	0.029273392577104	0.0119352088661552	0.0218978102189781	0.176178660049628	0.0486052409129332	0.0528714676390155	0.0112721417069243	0.0251322751322751	0.0648604269293925	0.147766323024055	0.00961136648558295	0.102189781021898	0.0112781954887218	0.0151515151515152	0.00747663551401869	0.051063829787234	0.0100806451612903	7	6	4	14	1	16	50	7	67	84	96	101	100	80	52
"bacOTU_16"	0.0113519091847265	0.101576182136602	0.111427216690375	0.0734597156398104	0.0483333333333333	0.0733624454148472	0.0390015600624025	0.211822660098522	0.119184526921066	0.0323955669224211	0.00456204379562044	0.121588089330025	0.203719357565511	0.0300820419325433	0.00289855072463768	0.0141093474426808	0.000821018062397373	0.166666666666667	0.00814876723777685	0.024330900243309	0.0093984962406015	0.0666666666666667	0.00560747663551402	0.025531914893617	0.00604838709677419	8	25	3	1	1	14	161	34	34	368	48	4	118	67	10
"bacOTU_25"	0.0113519091847265	0.0963222416812609	0.0128022759601707	0.0201421800947867	0.0116666666666667	0.0462882096069869	0.135725429017161	0.123152709359606	0.0156821745948772	0.0200341005967604	0.121350364963504	0.392059553349876	0.0228233305156382	0.0364630811303555	0.029951690821256	0.0339506172839506	0.101806239737274	0.283505154639175	0.0154617634768074	0.184914841849148	0.0169172932330827	0.0212121212121212	0.00560747663551402	0.0468085106382979	0.0141129032258065	10	6	3	10	2.5	13	49	5	122	53	135	173	181	146	112
"bacOTU_139"	0.0103199174406605	0.0175131348511384	0.000474158368895211	0.000592417061611374	0	0.000873362445414847	0.0140405616224649	0.0123152709359606	0.00209095661265029	0	0.000912408759124088	0	0	0	0.000322061191626409	0	0.00164203612479475	0	0	0.0024330900243309	0	0	0.00186915887850467	0.00425531914893617	0	0	1	0	0	0	12	0	0	6	3	0	1	0	0	0
"bacOTU_50"	0.0103199174406605	0.0700525394045534	0.0085348506401138	0.0183649289099526	0.01	0.0157205240174672	0.12792511700468	0.118226600985222	0.0151594354417146	0.0179028132992327	0.123175182481752	0.203473945409429	0.0126796280642434	0.0186873290793072	0.00869565217391304	0.0167548500881834	0.0509031198686371	0.168384879725086	0.00793982448809026	0.0778588807785888	0.018796992481203	0.0484848484848485	0.0205607476635514	0.0468085106382979	0.0221774193548387	12	21	8	12	5.5	11	30	5	93	33	69	94	97	74	42
"bacOTU_206"	0.00928792569659443	0.0455341506129597	0.00568990042674253	0.0124407582938389	0.00666666666666667	0.109170305676856	0.113884555382215	0.083743842364532	0.00888656560376372	0.00554134697357204	0.010036496350365	0.104218362282878	0.00084530853761623	0.00319051959890611	0.00161030595813205	0.00837742504409171	0.00656814449917898	0.128865979381443	0.00752193898871709	0.0267639902676399	0.0150375939849624	0.0787878787878788	0.0317757009345794	0.0893617021276596	0.0141129032258065	9	28	13	24	2	12	34	3	124	34	36	7	91	80	15
"bacOTU_44"	0.00928792569659443	0.110332749562172	0.00900900900900901	0.028436018957346	0.015	0.0375545851528384	0.0842433697347894	0.12807881773399	0.0496602195504443	0.0170502983802217	0.0875912408759124	0.116625310173697	0.0114116652578191	0.0483135824977211	0.00611916264090177	0.0127865961199295	0.0303776683087028	0.0481099656357388	0.00605933974091099	0.0632603406326034	0.0093984962406015	0.0151515151515152	0.00186915887850467	0.0170212765957447	0.00604838709677419	4	6	3	3	2.5	7	50	5	51	128	42	43	29	71	31
"bacOTU_12"	0.00722394220846233	0.103327495621716	0.0730203888098625	0.0817535545023697	0.0216666666666667	0.19825327510917	0.078003120124805	0.118226600985222	0.0857292211186618	0.0370843989769821	0.041970802919708	0.181141439205955	0.00760777683854607	0.0159525979945305	0.0151368760064412	0.0414462081128748	0.00410509031198686	0.214776632302405	0.0254910154617635	0.0316301703163017	0.0338345864661654	0.172727272727273	0.0261682242990654	0.0468085106382979	0.0282258064516129	13	75	14	21	3.5	6	135	25	65	276	258	13	158	306	76
"bacOTU_208"	0.00722394220846233	0.0332749562171629	0.00806069227121859	0.00592417061611374	0.005	0.00524017467248908	0.0764430577223089	0.0443349753694581	0.0104547830632514	0.00298380221653879	0.0136861313868613	0.0173697270471464	0.00126796280642434	0.00455788514129444	0.00547504025764895	0.0154320987654321	0.00738916256157635	0.0309278350515464	0.000626828249059758	0.024330900243309	0.0018796992481203	0.00909090909090909	0.011214953271028	0.0297872340425532	0.0100806451612903	2	4	4	6	2	10	7	2	46	14	34	4	16	9	7
"bacOTU_23"	0.00722394220846233	0.129597197898424	0.0744428639165481	0.0462085308056872	0.015	0.0174672489082969	0.0904836193447738	0.199507389162562	0.0559330893883952	0.062233589087809	0.0145985401459854	0.0223325062034739	0.000422654268808115	0.00182315405651778	0.00161030595813205	0.00440917107583774	0.0188834154351396	0.0257731958762887	0.00104471374843293	0.0267639902676399	0.0488721804511278	0.0515151515151515	0.0411214953271028	0.0638297872340425	0.0262096774193548	31	22	24	23	8.5	6	109	6	82	185	24	33	21	19	24
"bacOTU_29"	0.00722394220846233	0.0280210157618214	0.00189663347558084	0.00118483412322275	0.105	0.00960698689956332	0.0031201248049922	0.600985221674877	0.003659174072138	0.133418584825234	0.00182481751824818	0.359801488833747	0.00169061707523246	0.123974475843209	0.0247987117552335	0.0573192239858906	0.000821018062397373	0.132302405498282	0.000626828249059758	0.024330900243309	0.0018796992481203	0	0	0	0	0	0	0	0	0	5	2	49	2	7	150	2	68	4	12
"bacOTU_40"	0.00722394220846233	0.0805604203152364	0.0113798008534851	0.0278436018957346	0.01	0.0148471615720524	0.106084243369735	0.160098522167488	0.0156821745948772	0.0255754475703325	0.102189781021898	0.1712158808933	0.00633981403212172	0.012306289881495	0.00837359098228663	0.0163139329805996	0.0714285714285714	0.0515463917525773	0.00647722524028416	0.131386861313869	0.0996240601503759	0.13030303030303	0.0542056074766355	0.2	0.0705645161290323	65	48	36	44	18	7	50	5	79	40	45	94	24	44	67
"bacOTU_35"	0.00619195046439629	0.129597197898424	0.0165955429113324	0.0260663507109005	0.005	0.0165938864628821	0.0608424336973479	0.0886699507389163	0.0564558285415578	0.00596760443307758	0.00547445255474453	0.0148883374689826	0.00591715976331361	0.0118505013673655	0.00740740740740741	0.00881834215167548	0.000821018062397373	0.0240549828178694	0.00376096949435855	0.048661800486618	0.0037593984962406	0.0151515151515152	0	0.00425531914893617	0.00403225806451613	3	5	4	1	2.5	5	46	5	28	92	19	1	10	31	10
"bacOTU_102"	0.00515995872033024	0.0140105078809107	0.000948316737790422	0.00118483412322275	0.00166666666666667	0.000873362445414847	0.0093603744149766	0.00738916256157635	0.00575013068478829	0.00554134697357204	0.0182481751824818	0.0148883374689826	0.00211327134404058	0.000455788514129444	0	0	0.00738916256157635	0.00171821305841924	0.000208942749686586	0.0194647201946472	0	0	0	0	0	0	0	0	0	0	7	3	1	11	19	0	16	2	1	18
