funOTUID	Kindom	Phylum	Class	Order	Family	Genus	Species
funOTU_1	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_14	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_11	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_25	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella	Holtermanniella_takashimae_SH526070.07FU
funOTU_19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Unassigned	Unassigned
funOTU_17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_dichromosporum_SH217330.07FU
funOTU_36	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unassigned	Unassigned
funOTU_37	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_28	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium_erectum_SH195308.07FU
funOTU_30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unassigned	Unassigned	Unassigned
funOTU_21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unassigned	Unassigned
funOTU_9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_fujikuroi_SH631251.07FU
funOTU_29	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Unassigned	Unassigned
funOTU_13	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_42	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_22	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
funOTU_41	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unassigned	Unassigned	Unassigned
funOTU_35	Fungi	Ascomycota	Dothideomycetes	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_18	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_38	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_12	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_5	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
funOTU_4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Unassigned	Unassigned
funOTU_27	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_purpureogenus_SH209381.07FU
