TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAD6	TAD2	TAD3	TAD4	TAH6	TAH8	TAH10	species	ID
bacOTU_1	49.1373662371697	0	0	0	0	1.31492439184747	0	1.15553501271089	1.08365843086259	59.8179453836151	2.46578720256442	0	0	0	bac	bacOTU_1
bacOTU_8	185.630050229308	305.60486938879	241.513484502885	800.873262093531	95.519978474371	164.365548980934	560.203167015237	93.5983360295817	278.500216731686	120.936280884265	62.8775736653927	294.781569512681	352.609308885755	734.980826587133	bac	bacOTU_8
bacOTU_5	686.831185848439	471.722039056556	183.818596538307	413.650465356774	329.611193327055	562.787639710717	65.7305049297879	718.742777906171	542.912873862159	309.492847854356	659.598076685982	90.293453724605	103.070413366605	64.9765658287175	bac	bacOTU_5
bacOTU_3	1125.79165756715	1718.23484656353	618.542868643499	309.088819947145	259.652899233149	231.426692965155	917.239318792949	1522.99514675295	2116.38491547464	1085.82574772432	1938.10874121563	597.530208471651	324.400564174894	214.103110353643	bac	bacOTU_3
bacOTU_10	384.363398121861	174.993659650013	93.9219106400107	222.911639664484	22.8709807614691	22.353714661407	70.2121302659098	62.3988906863878	247.074122236671	52.0156046814044	161.509061767969	77.0150046474572	59.6723445806662	181.082232637409	bac	bacOTU_10
bacOTU_28	214.020528499672	96.3733198072534	72.4540453508654	275.766976904516	52.4687205704292	78.8954635108481	83.6570062742755	26.5773052923504	124.620719549198	74.1222366710013	154.111700160276	90.293453724605	187.696647499186	137.409458883681	bac	bacOTU_28
bacOTU_9	173.618694038	297.996449404007	550.114048034349	259.680569918419	926.947396744249	316.89677843524	256.946519270989	571.989831291888	230.819245773732	248.374512353706	219.455061028233	171.291993095206	400.347184550288	120.36642522369	bac	bacOTU_9
bacOTU_4	214.020528499672	399.442049201116	637.327250771501	382.626680455016	2640.92560204493	562.787639710717	210.636390797729	385.948694245436	219.982661465106	344.603381014304	361.237825175687	379.763643606427	619.50743191928	254.580315296123	bac	bacOTU_4
bacOTU_13	284.996724175584	68.4757798630484	55.0114048034349	135.585430311387	84.7571639983856	18.4089414858646	59.7550044816253	161.774901779524	92.1109666233203	83.2249674902471	94.9328072987301	45.1467268623025	52.0776825431268	70.3025138474649	bac	bacOTU_13
bacOTU_27	299.191963310767	39.3101699213797	351.536294109754	209.123290819258	269.070361899637	105.193951347798	46.3101284732596	197.596487173561	50.9319462505418	50.7152145643693	626.309949451362	30.5404328774399	137.788868395356	266.297400937367	bac	bacOTU_27
