Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Rhizobium	Bacteria_Lentzea	Bacteria_Pseudoxanthomonas	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Microbacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Sphingopyxis	Bacteria_Aeromicrobium	Bacteria_Caulobacter	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Agromyces	Bacteria_Rhodanobacter	Bacteria_Galbitalea	Bacteria_Pantoea	Bacteria_Shinella	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Cellulomonas	Bacteria_Lysobacter	Bacteria_Bradyrhizobium	Bacteria_Rudaibacter	Bacteria_Glycomyces	Bacteria_Burkholderia	Bacteria_Altererythrobacter	Bacteria_Bacillus	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas	Bacteria_Phycicoccus	Bacteria_Sphingobium	Bacteria_Gaiella	Bacteria_Blastococcus	Bacteria_Ideonella	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Gibberella	Fungi_Holtermanniella	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	1	0.125481497540186	0.858719397316216	0.710794603098106	0.0940464102278238	0.925613621184763	0.88794267480577	0.199201663713634	0.893187084233256	0.825577199091719	0.951772718389917	0.14148395879761	0.716858699973159	0.49498499903334	0.825577199091719	0.254464937368849	0.518234821858932	0.0461503538373085	0.975397933562137	0.393199189500515	0.176150114993686	0.788463748251948	0.686452903907526	0.651032087150952	0.934060685487822	0.716858699973159	0.825577199091719	0.562389899531208	0.195675993499517	0.946938950381995	0.296363734338025	0.982481954856489	0.500779483429349	0.909058733531504	0.467453776473784	0.574001905030699	0.0723336256295041	0.72956949826498	0.382154767279539	0.0281648181253193	0.325100942358479	0.376643449198304	0.0845069631716317	0.282196753299616	0.195675993499517	0.580639245050396	0.291528518950716	0.639112084319568	0.568194791566265	0.48422751052388	0.017364829634493	0.277701831573744	0.249868136892332	0.951772718389917	0.475341736881909
Bacteria_Pseudomonas	1	3.508982358555e-101	0.982481954856489	0.398818588867066	0.674745457047258	0.723266997331624	0.592653003782415	0.206784175014452	0.686452903907526	0.825577199091719	0.946938950381995	0.592653003782415	0.62747520052	0.210744227660173	0.340930712447786	0.814422657918142	0.315393742892455	0.741009909830922	0.543651438041876	0.592653003782415	0.263942183535463	0.199201663713634	0.422684021409274	0.651032087150952	0.345817494613917	0.893187084233256	0.978521880995215	0.592653003782415	0.957017405039455	0.310211575016583	0.62747520052	0.8642879719522	0.135006333984157	0.775950835786617	0.645134393389827	0.60433029407011	0.842971324457609	0.814422657918142	0.592653003782415	0.868057430756853	0.770299747530591	0.530732368463313	0.325100942358479	0.70483651486842	0.934060685487822	0.555889714171534	0.273041488382844	0.108003246637666	0.506983478439588	0.808890401084413	0.699081408631839	0.837342128943072	0.928995266608936	0.770299747530591	0.97064899513953	0.994132895177158
Bacteria_Phyllobacterium	0.0148339554059769	0.959699764598947	3.508982358555e-101	0.42771371901637	0.196071678434199	0.0141039284064895	0.909462117094591	0.46196109406483	0.814422657918142	0.72956949826498	0.46196109406483	0.946938950381995	0.14148395879761	0.161035251724237	0.512687395444465	0.444980252130736	0.518234821858932	0.770299747530591	0.41117936126401	0.680633022208848	0.46196109406483	0.119784775018205	0.716858699973159	0.330153368328734	0.699081408631839	0.814422657918142	0.489996681484848	0.734771213285192	0.788463748251948	0.621741465752592	0.84736656425544	0.434088047163297	0.788463748251948	0.878443717846841	0.236611808943093	0.858719397316216	0.764349680299261	0.467453776473784	0.84736656425544	0.434088047163297	0.263942183535463	0.934060685487822	0.657237683407255	0.306019262021714	0.580639245050396	0.249868136892332	0.88794267480577	0.20310789508682	0.990377337910614	0.788463748251948	0.473279911606715	0.0952932131535264	0.308284456820055	0.434088047163297	0.668714338721161	0.350588955576505
Bacteria_Variovorax	0.703901001626162	0.151511936790394	0.674745457047258	3.508982358555e-101	0.398818588867066	0.674745457047258	0.325100942358479	0.0165227130429715	0.734771213285192	0.674745457047258	0.994132895177158	0.978521880995215	0.645134393389827	0.110727354277199	0.978521880995215	0.982481954856489	0.621741465752592	0.592653003782415	0.680633022208848	0.825577199091719	0.108003246637666	0.330153368328734	0.633791183334279	0.621741465752592	0.70483651486842	1	0.951772718389917	0.734771213285192	0.808890401084413	0.574001905030699	0.858719397316216	0.70483651486842	0.422684021409274	0.651032087150952	0.105110895418861	0.633791183334279	0.439749642548631	0.633791183334279	0.934060685487822	0.868057430756853	0.674745457047258	0.723266997331624	0.315393742892455	0.72956949826498	0.699081408631839	0.710794603098106	0.84736656425544	0.366338219960941	0.549746548655824	0.610024967747275	0.734771213285192	0.97064899513953	0.694462647207096	0.752938628725751	0.660886682778761	0.612631214207778
Bacteria_Flavobacterium	0.474813964522169	0.42771371901637	0.455897909574048	0.151511936790394	3.508982358555e-101	0.633791183334279	0.473279911606715	0.639112084319568	0.710794603098106	0.966692976815308	0.975397933562137	0.651032087150952	0.361429799968352	0.78246370027202	0.0770329333906854	0.978521880995215	0.46196109406483	0.909058733531504	0.904241605699298	0.291528518950716	0.489996681484848	0.957017405039455	0.710794603098106	0.146939810614432	0.842971324457609	0.70483651486842	0.296363734338025	0.46196109406483	0.62747520052	0.467453776473784	0.78246370027202	0.80326768861546	0.97064899513953	0.674745457047258	0.429039302482332	0.793540805260555	0.858719397316216	0.398818588867066	0.512687395444465	0.942482821021865	0.946938950381995	0.942482821021865	0.898558934335662	0.80326768861546	0.615995948048528	0.842971324457609	0.393199189500515	0.978521880995215	0.674745457047258	0.904241605699298	0.587078573836507	0.45884280496347	0.168432749846746	0.335302515373548	0.173407999082665	0.161981059802535
Bacteria_Rhizobium	0.00823037146363898	0.491048701605223	0.122479879934679	0.42771371901637	0.375950515973805	3.508982358555e-101	0.435392673515537	0.455897909574048	0.161035251724237	0.489996681484848	0.88794267480577	0.942482821021865	0.00550180692369559	0.310211575016583	0.439749642548631	0.84736656425544	0.439749642548631	0.429039302482332	0.0921142365264233	0.84736656425544	0.416731232796209	0.18395282064152	0.994132895177158	0.176150114993686	0.518234821858932	0.455897909574048	0.990377337910614	0.882394328881457	0.990377337910614	0.770299747530591	0.674745457047258	0.518234821858932	0.97064899513953	0.78246370027202	0.788463748251948	0.909058733531504	0.928995266608936	0.0618283085529048	0.793540805260555	0.306019262021714	0.518234821858932	0.60433029407011	0.320337802628774	0.19248917747445	0.19248917747445	0.325100942358479	0.909058733531504	0.25886949678006	0.882394328881457	0.651032087150952	0.325100942358479	0.000756875107380345	0.0687495377206437	0.361429799968352	0.506983478439588	0.0406545845892362
Bacteria_Lentzea	0.829812095442519	0.327789306841173	0.961786747269332	0.101360571193473	0.210923793414752	0.680633022208848	3.508982358555e-101	0.518234821858932	0.966692976815308	0.473279911606715	0.710794603098106	0.966692976815308	0.858719397316216	0.957017405039455	0.868057430756853	0.893187084233256	0.775950835786617	0.84736656425544	0.651032087150952	0.858719397316216	0.310211575016583	0.837342128943072	0.853566345283938	0.574001905030699	0.232267581279223	0.277701831573744	0.680633022208848	0.473279911606715	0.416731232796209	0.873265748388933	0.549746548655824	0.615995948048528	0.387275866422876	0.429039302482332	0.223083915645025	0.639112084319568	0.858719397316216	0.8642879719522	0.764349680299261	0.543651438041876	0.72956949826498	0.904241605699298	0.223083915645025	0.770299747530591	0.320337802628774	0.723266997331624	0.961786747269332	0.825577199091719	0.825577199091719	0.296363734338025	0.108003246637666	0.939577904012878	0.742045009907367	0.615995948048528	0.969806558006193	0.791808493860249
Bacteria_Pseudoxanthomonas	0.761334126190767	0.0411585803869344	0.200945350816293	0.000173147717507171	0.383128341839342	0.196071678434199	0.253940016323671	3.508982358555e-101	0.88794267480577	0.393199189500515	0.928995266608936	0.770299747530591	0.543651438041876	0.131974422230748	0.873265748388933	0.966692976815308	0.555889714171534	0.746552799308115	0.568194791566265	0.925613621184763	0.144622157071254	0.144622157071254	0.350588955576505	0.70483651486842	0.878443717846841	0.942482821021865	0.798332810141206	0.473279911606715	0.668714338721161	0.376643449198304	0.798332810141206	0.986463880282425	0.524834735041651	0.668714338721161	0.214827519665637	0.282196753299616	0.236611808943093	0.657237683407255	0.668714338721161	0.961786747269332	0.814422657918142	0.70483651486842	0.335302515373548	0.587078573836507	0.798332810141206	0.978521880995215	0.500779483429349	0.179777931253	0.223083915645025	0.376643449198304	0.938258976626611	0.839699868741576	0.308284456820055	0.978521880995215	0.734771213285192	0.580639245050396
Bacteria_Sphingomonas	0.0380216562635579	0.443140934823514	0.629620441872815	0.507540962933674	0.474813964522169	0.0249362279425826	0.919489908382186	0.761334126190767	3.508982358555e-101	0.780754552309047	0.657135668186951	0.914730488127389	0.18395282064152	0.758271344621851	0.467453776473784	0.966692976815308	0.574001905030699	0.942482821021865	0.0441135382647112	0.88794267480577	0.301370697774613	0.393199189500515	0.858719397316216	0.48422751052388	0.978521880995215	0.957017405039455	0.639112084319568	0.88794267480577	0.928995266608936	0.41117936126401	0.8642879719522	0.928995266608936	0.798332810141206	0.878443717846841	0.8642879719522	0.48422751052388	0.562389899531208	0.0115267324866036	0.393199189500515	0.80326768861546	0.467453776473784	0.146939810614432	0.868057430756853	0.119784775018205	0.310211575016583	0.975397933562137	0.48422751052388	0.315393742892455	0.752938628725751	0.60433029407011	0.957017405039455	0.0207943584831617	0.0180500879415	0.315393742892455	0.530732368463313	0.198317030073788
Bacteria_Nocardioides	0.771028565288177	0.647916329466507	0.499263033238545	0.42771371901637	0.919489908382186	0.226471759070724	0.210923793414752	0.147466655311326	0.898558934335662	3.508982358555e-101	0.00508632646897725	0.195675993499517	0.598221084907835	0.387275866422876	0.439749642548631	0.254464937368849	0.241122980552353	0.41117936126401	0.957017405039455	0.562389899531208	0.512687395444465	0.651032087150952	0.0511692619220679	0.957017405039455	0.144622157071254	0.0281648181253193	0.263942183535463	0.0200401063972234	0.315393742892455	0.0890992024161229	0.716858699973159	0.0794141136496404	0.434088047163297	0.277701831573744	0.97064899513953	0.0115267324866036	0.00958741689945997	0.966692976815308	0.168023087285698	0.0359434414449479	0.574001905030699	0.898558934335662	0.478937088560883	0.592653003782415	0.793540805260555	0.8642879719522	0.0940464102278238	0.72956949826498	0.00550180692369559	0.000980284759531429	0.102423568487092	0.989921406880978	0.375950515973805	0.710794603098106	0.882394328881457	0.779573332866204
