Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Rhizobium	Bacteria_Lentzea	Bacteria_Pseudoxanthomonas	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Microbacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Sphingopyxis	Bacteria_Aeromicrobium	Bacteria_Caulobacter	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Agromyces	Bacteria_Rhodanobacter	Bacteria_Galbitalea	Bacteria_Pantoea	Bacteria_Shinella	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Cellulomonas	Bacteria_Lysobacter	Bacteria_Bradyrhizobium	Bacteria_Rudaibacter	Bacteria_Glycomyces	Bacteria_Burkholderia	Bacteria_Altererythrobacter	Bacteria_Bacillus	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas	Bacteria_Phycicoccus	Bacteria_Sphingobium	Bacteria_Gaiella	Bacteria_Blastococcus	Bacteria_Ideonella	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Gibberella	Fungi_Holtermanniella	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.492229911805465	0.000775123607347176	0.0183781571842214	0.0011641879143758	3.48490738453112e-05	0.00552640354164834	0.00595485388498987	3.48490738453112e-05	0.037972497154847	0.141852513155784	0.0298854142636468	0.000775123607347176	0.00552640354164834	0.00177288975901231	0.011467750243021	0.00448048882561051	0.0051354685510767	0.000529075002604376	0.0311113319893593	0.0251737719924897	0.0102839795770816	0.0364908926489928	0.00390156055564873	0.0351220383065559	0.163377365582414	0.110839157500743	0.21475046794517	0.023095433871532	0.00676071288486461	0.145391474254577	0.604516555452056	0.798140991157347	0.0298854142636468	0.0091167747819784	0.0134937168782876	0.044296345031918	0.000309534518266675	0.0127911364457487	0.950560880316968	0.00158323900094992	0.00278537609530615	0.0410460218187235	0.000529075002604376	0.00636116403166896	0.00358298593575039	0.0298854142636468	0.0311113319893593	0.00969797135363165	0.0192527541886967	0.73580068962497	0.00194038732958705	0.0149958877680442	0.000957934762711171	0.236688237630802	0.00143493208246466
Bacteria_Pseudomonas	0.327789306841173	3.508982358555e-101	0.441848038011424	0.105212687947292	0.51749878839086	0.202515697829971	0.376297679846032	0.113936293434968	0.284756377187673	0.981229244781314	0.83882188996179	0.818363853404788	0.159557800948806	0.0474562466626487	0.831990188574578	0.556621428925473	0.898797982329978	0.400088219294645	0.411807899449271	0.59062471992666	0.099560307426525	0.0563914601015033	0.825134615724489	0.530644547807417	0.218933458706558	0.618498023397286	0.73580068962497	0.693909059455583	0.359016363714213	0.898797982329978	0.347902709696266	0.798140991157347	0.0867370268326864	0.492229911805465	0.159557800948806	0.95656482083662	0.944014557647344	0.275185575602026	0.818363853404788	0.864845825363433	0.353290443630285	0.260237252631363	0.265469339533979	0.638739421422432	0.388114349141532	0.300062158133445	0.852181273319461	0.0134937168782876	0.83882188996179	0.944014557647344	0.858449151660776	0.284756377187673	0.728757902664878	0.523607125387765	0.707124000632841	0.310664122855
Bacteria_Phyllobacterium	7.49473606456831e-06	0.277316780368384	3.508982358555e-101	0.0298854142636468	0.0108435913850764	0.0011641879143758	0.0410460218187235	0.00809002414328814	0.00194038732958705	0.163377365582414	0.305411286845479	0.044296345031918	0.00448048882561051	0.00158323900094992	0.0127911364457487	0.00758323043229656	0.0192527541886967	0.0192527541886967	0.00358298593575039	0.0201997786104016	0.0221018969692914	0.00636116403166896	0.0364908926489928	0.0149958877680442	0.099560307426525	0.347902709696266	0.31602494431525	0.417628662945413	0.0619395845101583	0.0311113319893593	0.128922384514616	0.73580068962497	0.925292703858496	0.0474562466626487	0.00194038732958705	0.0599931780175928	0.218933458706558	0.0051354685510767	0.0211166663100899	0.898797982329978	0.00713358469527424	0.0108435913850764	0.174683649481353	0.00254148735080605	0.026250230210994	0.0134937168782876	0.0748999358926067	0.0351220383065559	0.0410460218187235	0.119827376482266	0.898797982329978	0.0337848948935404	0.0526767473542031	0.015827625553998	0.387867092764928	0.0127911364457487
Bacteria_Variovorax	0.00163551114354076	0.0284325221487085	0.0036660678988014	3.508982358555e-101	0.012108307383986	0.0032874094626005	0.00636116403166896	1.04190901799015e-06	0.015827625553998	0.394128942518775	0.337069914945598	0.182326524302151	0.0251737719924897	0.0051354685510767	0.0660371752327372	0.132164123293937	0.223398307838288	0.122984725956258	0.0324039044546325	0.09691717033207	0.00158323900094992	0.0251737719924897	0.359016363714213	0.0599931780175928	0.0748999358926067	0.388114349141532	0.155855858472196	0.511225384303479	0.0793532893233589	0.210677605834757	0.275185575602026	0.424005937449876	0.569668550724544	0.0458039583824066	0.000957934762711171	0.300062158133445	0.435829945467724	0.0174956427211766	0.132164123293937	0.56306491388201	0.0793532893233589	0.0298854142636468	0.011467750243021	0.155855858472196	0.174683649481353	0.0241761251567017	0.326381343745354	0.039507292135469	0.19853407995345	0.364577449328012	0.550081950535226	0.116701144812944	0.210677605834757	0.0491999023001121	0.358850296231653	0.0410460218187235
Bacteria_Flavobacterium	1.63152802865443e-05	0.354860363650609	0.000689645393951437	0.000829329629136992	3.508982358555e-101	0.000775123607347176	0.00143493208246466	0.00595485388498987	0.00448048882561051	0.026250230210994	0.0892107341772045	0.0324039044546325	0.00303576896173648	0.0183781571842214	0.000119791229643272	0.0091167747819784	0.00595485388498987	0.0201997786104016	0.0364908926489928	0.0192527541886967	0.108026787379289	0.0793532893233589	0.0410460218187235	0.000529075002604376	0.00713358469527424	0.0221018969692914	0.0298854142636468	0.0682212552657647	0.0426043587750822	0.0149958877680442	0.19853407995345	0.21475046794517	0.604516555452056	0.00143493208246466	0.00419280702680215	0.0337848948935404	0.0660371752327372	0.0032874094626005	0.00809002414328814	0.485726323563713	0.037972497154847	0.0241761251567017	0.00713358469527424	0.0221018969692914	0.0149958877680442	0.00809002414328814	0.0221018969692914	0.108026787379289	0.0108435913850764	0.050971211058854	0.270227404205763	0.0619395845101583	0.0793532893233589	0.0298854142636468	0.0735473890105346	0.00859179932960257
Bacteria_Rhizobium	2.27367515562602e-08	0.081250980755495	1.63152802865443e-05	9.13693584651998e-05	7.49473606456831e-06	3.508982358555e-101	0.0048073740800481	0.000529075002604376	1.76163549616448e-05	0.0842600105254845	0.155855858472196	0.0474562466626487	2.49593676893185e-05	0.000849834515824652	0.0032874094626005	0.0102839795770816	0.0241761251567017	0.00713358469527424	0.000849834515824652	0.0274631492325748	0.0134937168782876	0.00254148735080605	0.0599931780175928	0.00234169539502875	0.0201997786104016	0.148954040102792	0.110839157500743	0.31602494431525	0.0426043587750822	0.023095433871532	0.119827376482266	0.537144258588473	0.56306491388201	0.012108307383986	0.00194038732958705	0.0491999023001121	0.108026787379289	0.000108107422827701	0.0183781571842214	0.918942417140251	0.00713358469527424	0.00358298593575039	0.0251737719924897	0.00390156055564873	0.00758323043229656	0.0048073740800481	0.0771344011375856	0.00758323043229656	0.0251737719924897	0.0818260075271296	0.791263109413687	0.0051354685510767	0.026250230210994	0.0032874094626005	0.143137179095776	0.000237258583935889
Bacteria_Lentzea	0.000219365827727103	0.216028925341955	0.00612776678882009	0.000275244270695421	2.32364778216327e-05	0.000173147717507171	3.508982358555e-101	0.00713358469527424	0.0183781571842214	0.0682212552657647	0.241525376061741	0.218933458706558	0.015827625553998	0.0426043587750822	0.00552640354164834	0.148954040102792	0.0867370268326864	0.099560307426525	0.044296345031918	0.152427720254968	0.0241761251567017	0.105212687947292	0.270227404205763	0.050971211058854	0.0474562466626487	0.099560307426525	0.0748999358926067	0.210677605834757	0.0410460218187235	0.110839157500743	0.472952446749615	0.453993751810936	0.511225384303479	0.0221018969692914	0.00636116403166896	0.163377365582414	0.13861383284122	0.0337848948935404	0.174683649481353	0.576416063054634	0.0351220383065559	0.125932563290432	0.0149958877680442	0.0867370268326864	0.125932563290432	0.000957934762711171	0.186263261856035	0.119827376482266	0.113936293434968	0.09691717033207	0.145391474254577	0.0563914601015033	0.250870630357305	0.0286430361448415	0.260237252631363	0.0682212552657647
Bacteria_Pseudoxanthomonas	0.000246007977972205	0.0322871037701236	0.000422077185192351	8.15733350897868e-11	0.000246007977972205	3.88050412879978e-06	0.000342269833035693	3.508982358555e-101	0.00448048882561051	0.321142763030681	0.260237252631363	0.119827376482266	0.00758323043229656	0.00143493208246466	0.0337848948935404	0.0563914601015033	0.13529465652665	0.0599931780175928	0.012108307383986	0.0545197868447622	0.00254148735080605	0.00969797135363165	0.236907665535444	0.0241761251567017	0.0660371752327372	0.353290443630285	0.163377365582414	0.479008444697416	0.0818260075271296	0.141852513155784	0.178329845410351	0.453993751810936	0.576416063054634	0.023095433871532	0.000268305465561927	0.218933458706558	0.370393800145114	0.0051354685510767	0.0704564615117724	0.652637827366439	0.0545197868447622	0.012108307383986	0.0174956427211766	0.0771344011375856	0.0944353317983161	0.0174956427211766	0.246158546246825	0.0221018969692914	0.13529465652665	0.310664122855	0.707124000632841	0.0704564615117724	0.13861383284122	0.0311113319893593	0.289807789826389	0.0134937168782876
Bacteria_Sphingomonas	2.27367515562602e-08	0.139595129372145	3.80552502266473e-05	0.00128089845093553	0.000153235570905647	7.07230300920423e-09	0.00163551114354076	0.000153235570905647	3.508982358555e-101	0.039507292135469	0.0867370268326864	0.0166378811392472	0.000237258583935889	0.00158323900094992	0.0048073740800481	0.00676071288486461	0.012108307383986	0.00358298593575039	0.000268305465561927	0.0174956427211766	0.0192527541886967	0.00358298593575039	0.0192527541886967	0.00419280702680215	0.0166378811392472	0.132164123293937	0.0682212552657647	0.223398307838288	0.0286430361448415	0.00448048882561051	0.0892107341772045	0.417628662945413	0.604516555452056	0.0221018969692914	0.0134937168782876	0.011467750243021	0.0324039044546325	3.48490738453112e-05	0.00713358469527424	0.811882761187788	0.00358298593575039	0.0011641879143758	0.0410460218187235	0.000309534518266675	0.00129199916442009	0.011467750243021	0.0298854142636468	0.0134937168782876	0.00636116403166896	0.0251737719924897	0.831990188574578	0.000775123607347176	0.015827625553998	0.00278537609530615	0.17460235521899	0.000268305465561927
Bacteria_Nocardioides	0.0054165502195917	0.969769876154569	0.05769884126896	0.23180969720616	0.00297899488680274	0.0198464219701811	0.0141039284064895	0.168432749846746	0.00576349921805083	3.508982358555e-101	0.0599931780175928	0.026250230210994	0.0892107341772045	0.182326524302151	0.0091167747819784	0.0426043587750822	0.00552640354164834	0.0102839795770816	0.116701144812944	0.0526767473542031	0.453993751810936	0.479008444697416	0.0108435913850764	0.0337848948935404	0.0201997786104016	0.015827625553998	0.0091167747819784	0.0166378811392472	0.0251737719924897	0.00358298593575039	0.321142763030681	0.102338025735181	0.550081950535226	0.0458039583824066	0.250870630357305	0.00158323900094992	0.000108107422827701	0.0727045649058905	0.0241761251567017	0.270227404205763	0.0727045649058905	0.0842600105254845	0.102338025735181	0.0127911364457487	0.012108307383986	0.0337848948935404	0.0048073740800481	0.485726323563713	0.00129199916442009	0.000202565458252829	0.13529465652665	0.0640238077989479	0.0599931780175928	0.110839157500743	0.178289275714649	0.0892107341772045
Bacteria_Actinoplanes	0.046219234478573	0.751672517350277	0.15563079458596	0.181910259045814	0.0217765176190428	0.0536636637808059	0.107693037546398	0.121172536021878	0.0207943584831617	0.0114575415400789	3.508982358555e-101	0.00419280702680215	0.159557800948806	0.337069914945598	0.023095433871532	0.0142088505521567	0.0201997786104016	0.102338025735181	0.359016363714213	0.00809002414328814	0.764103162750185	0.56306491388201	0.0127911364457487	0.0324039044546325	0.0842600105254845	0.0640238077989479	0.00254148735080605	0.00809002414328814	0.223398307838288	0.0298854142636468	0.0174956427211766	0.00809002414328814	0.550081950535226	0.00713358469527424	0.492229911805465	0.0324039044546325	0.0324039044546325	0.0682212552657647	0.0149958877680442	0.0324039044546325	0.31602494431525	0.178329845410351	0.09691717033207	0.116701144812944	0.0142088505521567	0.388114349141532	0.011467750243021	0.764103162750185	0.0174956427211766	0.116701144812944	0.241525376061741	0.178329845410351	0.441848038011424	0.498617196834129	0.0432212586786142	0.13861383284122
Bacteria_Streptomyces	0.0036660678988014	0.722897325279118	0.00691068298451918	0.0687495377206437	0.00419023296029814	0.00777025135866845	0.0923573749481227	0.0350666602167099	0.00139141108906305	0.00297899488680274	0.000135244780132769	3.508982358555e-101	0.0727045649058905	0.0563914601015033	0.0166378811392472	0.000775123607347176	0.000849834515824652	0.0149958877680442	0.13861383284122	0.000119791229643272	0.347902709696266	0.260237252631363	6.96158902796166e-05	0.0091167747819784	0.0134937168782876	0.099560307426525	0.00595485388498987	0.0108435913850764	0.0211166663100899	0.000600270684288271	0.026250230210994	0.0274631492325748	0.962954322495059	0.0192527541886967	0.186263261856035	0.000420011022609151	0.00969797135363165	0.00969797135363165	8.4192118102252e-05	0.202515697829971	0.0410460218187235	0.0166378811392472	0.0867370268326864	0.00595485388498987	0.00106678339778369	0.186263261856035	0.000119791229643272	0.441848038011424	0.000202565458252829	0.0183781571842214	0.498617196834129	0.0682212552657647	0.0771344011375856	0.206415461560961	0.199919407485534	0.0545197868447622
Bacteria_Chryseobacterium	7.49473606456831e-06	0.0556545171611585	0.000153235570905647	0.00277438381763881	7.96719525272489e-05	1.30274897903432e-08	0.00128089845093553	0.000380467678534635	7.9874621138185e-07	0.0217765176190428	0.0556545171611585	0.0155928314211756	3.508982358555e-101	0.0032874094626005	0.0051354685510767	0.0091167747819784	0.0410460218187235	0.0091167747819784	0.0032874094626005	0.0458039583824066	0.0526767473542031	0.00234169539502875	0.0545197868447622	0.00234169539502875	0.0192527541886967	0.099560307426525	0.155855858472196	0.353290443630285	0.0944353317983161	0.039507292135469	0.113936293434968	0.583398924455611	0.359016363714213	0.0127911364457487	0.0108435913850764	0.0771344011375856	0.132164123293937	0.000268305465561927	0.0311113319893593	0.969032131909511	0.0134937168782876	0.0174956427211766	0.0545197868447622	0.00552640354164834	0.00552640354164834	0.0149958877680442	0.102338025735181	0.00448048882561051	0.039507292135469	0.125932563290432	0.878468502050077	0.00552640354164834	0.0426043587750822	0.00758323043229656	0.0818016319373006	0.000119791229643272
Bacteria_Herbaspirillum	0.000219365827727103	0.00777025135866845	2.75180639551293e-05	0.000195136547063199	0.00163551114354076	9.19297475884227e-06	0.00650995669471544	2.32364778216327e-05	2.75180639551293e-05	0.0687495377206437	0.181910259045814	0.0102884466195942	9.13693584651998e-05	3.508982358555e-101	0.0619395845101583	0.0183781571842214	0.0918362339845372	0.0102839795770816	0.012108307383986	0.0241761251567017	0.0048073740800481	0.00234169539502875	0.0619395845101583	0.0251737719924897	0.0166378811392472	0.279839600334962	0.202515697829971	0.550081950535226	0.0142088505521567	0.0563914601015033	0.113936293434968	0.511225384303479	0.597654975646038	0.0582162171447346	0.00106678339778369	0.0793532893233589	0.194383942076021	0.00303576896173648	0.039507292135469	0.898797982329978	0.00676071288486461	0.00194038732958705	0.0599931780175928	0.0108435913850764	0.015827625553998	0.0102839795770816	0.152427720254968	0.00390156055564873	0.0491999023001121	0.155855858472196	0.91236415661674	0.00222703231375422	0.0660371752327372	0.037972497154847	0.482069255003379	0.0134937168782876
Bacteria_Massilia	3.24337314334681e-05	0.742045009907367	0.000907310111684977	0.0134020067121818	2.09458019366857e-07	9.13693584651998e-05	0.000219365827727103	0.00447373445090621	0.000173147717507171	0.000516454747570588	0.00239886807267334	0.00139141108906305	0.000195136547063199	0.0120795391759058	3.508982358555e-101	0.0032874094626005	0.00106678339778369	0.0174956427211766	0.0337848948935404	0.0091167747819784	0.227544600732519	0.13861383284122	0.0134937168782876	0.000600270684288271	0.0274631492325748	0.0201997786104016	0.0174956427211766	0.0364908926489928	0.0867370268326864	0.00713358469527424	0.105212687947292	0.178329845410351	0.757283446138603	0.000420011022609151	0.0298854142636468	0.0192527541886967	0.0324039044546325	0.00809002414328814	0.00636116403166896	0.411807899449271	0.0582162171447346	0.0582162171447346	0.0274631492325748	0.012108307383986	0.00758323043229656	0.0142088505521567	0.00809002414328814	0.236907665535444	0.0048073740800481	0.0311113319893593	0.331595978366506	0.0127274535112337	0.105212687947292	0.0410460218187235	0.0244850263190136	0.0108435913850764
Bacteria_Devosia	0.000756875107380345	0.397702945903273	0.000380467678534635	0.0411585803869344	0.000516454747570588	0.000627350129480357	0.0498392334714206	0.0102884466195942	0.000307265031812509	0.00650995669471544	0.00108110819418584	7.49473606456831e-06	0.000516454747570588	0.00163551114354076	9.13693584651998e-05	3.508982358555e-101	0.000849834515824652	0.00194038732958705	0.0640238077989479	0.000202565458252829	0.331595978366506	0.0842600105254845	0.000479101767751246	0.000171973545181249	0.0274631492325748	0.0867370268326864	0.050971211058854	0.0918362339845372	0.0771344011375856	0.00859179932960257	0.00448048882561051	0.13861383284122	0.757283446138603	0.00254148735080605	0.0660371752327372	0.0108435913850764	0.0619395845101583	0.00448048882561051	0.000600270684288271	0.460325673078267	0.050971211058854	0.0108435913850764	0.0660371752327372	0.00595485388498987	0.000529075002604376	0.0842600105254845	0.00448048882561051	0.167115257827262	0.00194038732958705	0.0793532893233589	0.83882188996179	0.0180500879415	0.0217765176190428	0.116701144812944	0.0628441641631688	0.0108435913850764
Bacteria_Kribbella	0.000153235570905647	0.839699868741576	0.00176986864214427	0.0952932131535264	0.000246007977972205	0.00258116530821885	0.0207943584831617	0.0427972893094504	0.000829329629136992	0.000219365827727103	0.00191296360097856	9.19297475884227e-06	0.00612776678882009	0.0227936871264143	1.35582106247888e-05	9.19297475884227e-06	3.508982358555e-101	0.00419280702680215	0.0640238077989479	0.0032874094626005	0.400088219294645	0.241525376061741	0.000849834515824652	0.00129199916442009	0.039507292135469	0.0704564615117724	0.0286430361448415	0.0221018969692914	0.0324039044546325	0.000849834515824652	0.050971211058854	0.170712212813168	0.987160727753298	0.0174956427211766	0.141852513155784	0.000529075002604376	0.00809002414328814	0.012108307383986	0.000775123607347176	0.447810496854907	0.0251737719924897	0.0166378811392472	0.0619395845101583	0.00254148735080605	0.00234169539502875	0.0563914601015033	0.000145109331975892	0.400088219294645	0.000171973545181249	0.0048073740800481	0.498617196834129	0.0102884466195942	0.00650995669471544	0.0563914601015033	0.133204601752864	0.0324039044546325
Bacteria_Mycobacterium	0.000195136547063199	0.237225438237234	0.00176986864214427	0.0365218225548373	0.00191296360097856	0.000342269833035693	0.0260631933763629	0.0114575415400789	0.000104446873277133	0.000627350129480357	0.0272283567088619	0.00117758302348883	0.000516454747570588	0.000627350129480357	0.00150948887823503	3.80552502266473e-05	0.000135244780132769	3.508982358555e-101	0.0183781571842214	0.012108307383986	0.178329845410351	0.0682212552657647	0.011467750243021	0.00234169539502875	0.037972497154847	0.190453201721072	0.102338025735181	0.260237252631363	0.0192527541886967	0.0183781571842214	0.0298854142636468	0.394128942518775	0.537144258588473	0.0351220383065559	0.0748999358926067	0.00809002414328814	0.0221018969692914	0.00713358469527424	0.0149958877680442	0.750179814118734	0.015827625553998	0.00143493208246466	0.0582162171447346	0.00254148735080605	0.00194038732958705	0.012108307383986	0.026250230210994	0.0771344011375856	0.00390156055564873	0.0192527541886967	0.825134615724489	0.00222703231375422	0.00108110819418584	0.0286430361448415	0.20381341535118	0.00713358469527424
