Bacteria_Promicromonospora	Bacteria_Pseudomonas	Fungi_Scytalidium	Bacteria_Variovorax	Fungi_Acremonium	Bacteria_Flavobacterium	Bacteria_Lentzea	Bacteria_Rhizobium	Bacteria_Phyllobacterium	Bacteria_Pseudoxanthomonas	Bacteria_Actinoplanes	Bacteria_Nocardioides	Bacteria_Sphingomonas	Bacteria_Streptomyces	Fungi_Gibberella	Fungi_Holtermanniella	Bacteria_Devosia	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Chryseobacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Kribbella	Bacteria_Microbacterium	Bacteria_Pantoea	Bacteria_Steroidobacter	Bacteria_Mycobacterium	Bacteria_Arthrobacter	Bacteria_Galbitalea	Bacteria_Umezawaea	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Shinella	Bacteria_Caulobacter	Bacteria_Chondromyces	Bacteria_Agromyces	Bacteria_Rudaibacter	Bacteria_Rhodanobacter	Bacteria_Sorangium	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Altererythrobacter	Bacteria_Cellulomonas	Bacteria_Bradyrhizobium	Bacteria_Lysobacter	Fungi_Bipolaris	Bacteria_Ideonella	Bacteria_Burkholderia	Bacteria_Blastococcus	Bacteria_Glycomyces	Bacteria_Sphingobium	Bacteria_Bacillus	Bacteria_Phycicoccus	Bacteria_Gaiella	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas
TAD7	1132.34330639877	68.7923127320375	2244	214.020528499672	680	655.164883162263	277.353133872025	542.69491155274	686.831185848439	173.618694038	195.457523476742	227.123826162918	284.996724175584	381.087573706049	76	14	216.204411443547	184.53810875737	335.226031884691	494.649486787509	240.227123826163	27.2985367984276	384.363398121861	73.160078619786	4.36776588774842	110.286088665648	80.8036689233457	65.5164883162262	29.4824197423018	127.757152216641	153.963747543132	28.3904782703647	94.9989080585281	145.228215767635	124.48132780083	110.286088665647	13.1032976632453	16.3791220790566	216.204411443547	44.7696003494213	63.332605372352	21.8388294387421	54.5970735968552	78.6197859794715	58.9648394846036	64	16.3791220790566	29.4824197423018	29.4824197423018	42.5857174055471	14.1952391351823	64.4245468442892	32.7582441581131	41.4937759336099	50.2293077091068	19.6549464948679
TAD9	1823.48465635303	100.177529799645	187	399.442049201116	1177	249.80978950038	452.700989094598	384.225209231549	471.722039056556	297.996449404007	311.945219376109	257.418209485164	428.607659142784	273.903119452194	443	0	205.427339589146	196.550849606898	121.734719756531	76.0841998478316	103.981739792037	289.11995942176	176.261729647477	237.129089525742	12.6806999746386	79.8884098402232	54.527009890946	39.3101699213797	17.752979964494	32.9698199340604	82.4245498351509	148.364189703272	38.0420999239158	65.9396398681207	48.1866599036266	73.5480598529039	7.60841998478316	12.6806999746386	68.4757798630484	38.0420999239158	68.4757798630484	53.2589398934822	35.5059599289881	41.8463099163074	114.126299771747	35	8.87648998224702	74.8161298503678	38.0420999239158	136.951559726097	58.3312198833375	88.7648998224702	32.9698199340604	25.3613999492772	16.4849099670302	6.3403499873193
TAD10	627.9350597075	678.92123976922	1146	637.327250771501	447	496.444384811485	233.463035019456	415.93988997719	183.818596538307	550.114048034349	254.930900308601	166.375955990876	464.242586877767	178.45163021602	75	9	165.034214410305	257.614383469744	110.02280960687	352.878035690326	120.756742251442	101.97236012344	95.2636522205823	124.781966993157	597.075003354353	127.4654501543	61.7201127062928	61.7201127062927	88.5549443177244	105.997584865155	65.7453374480075	144.908090701731	63.0618542868644	156.983764926875	45.6192137394337	46.9609553200053	26.8348316114317	17.4426405474306	26.8348316114316	44.2774721588622	56.3531463840065	56.3531463840064	41.5939889977191	81.8462364148665	132.832416476587	60	14.7591573862874	107.339326445727	21.4678652891453	18.7843821280021	61.7201127062928	33.5435395142896	30.8600563531464	22.8096068697169	48.3026969005769	2.68348316114316
TAH1	310.23784901758	31.023784901758	114	382.626680455016	6	298.747558313226	67.7927151556935	353.900953694128	413.650465356774	259.680569918419	807.767436516144	307.939790876709	279.214064115822	445.823279328967	134	350	414.799494427209	135.585430311387	318.281052510629	4.59611628174193	395.266000229806	5.74514535217741	224.060668734919	58.6004825922096	3.44708721130644	91.9223256348385	60.8985407330805	80.4320349304837	302.194645524532	111.455819832242	240.147075721016	16.0864069860967	152.820866367919	158.566011720096	118.349994254855	94.2203837757095	190.73882569229	172.354360565322	16.0864069860967	47.1101918878548	64.3456279443869	57.4514535217742	41.3650465356774	132.13834310008	33.3218430426289	54	24.1296104791451	40.2160174652418	31.023784901758	6.89417442261289	5.74514535217741	48.2592209582903	78.1339767896128	39.0669883948064	41.3650465356774	3.44708721130645
TAH3	259.652899233149	360.554284945513	6	2640.92560204493	4	513.924391228306	641.732813130634	320.193730660568	329.611193327055	926.947396744249	103.59208933136	123.772366473833	181.622494282255	199.112067805731	63	1	118.39095923584	369.971747612	59.1954796179201	2.69070361899636	187.003901520248	648.459572178125	22.8709807614691	30.9430916184582	6.72675904749092	106.282792950357	26.9070361899637	45.7419615229382	73.9943495224001	83.4118121888874	29.59773980896	20.1802771424728	72.6489977129019	25.5616843804655	40.3605542849455	30.9430916184583	44.39660971344	9.41746266648729	84.7571639983856	134.535180949818	26.9070361899637	79.3757567603928	9.41746266648729	24.2163325709673	24.2163325709673	0	45.7419615229383	44.39660971344	20.1802771424728	18.8349253329746	6.72675904749091	4.03605542849455	6.72675904749092	13.4535180949818	0	13.4535180949818
TAH4	231.426692965155	2166.99539776463	1	562.787639710717	16	194.608809993426	390.532544378698	316.89677843524	562.787639710717	316.89677843524	176.199868507561	293.228139381986	194.608809993425	173.570019723866	72	7	266.929651545037	356.344510190664	94.6745562130177	44.7074293228139	97.3044049967127	86.7850098619329	23.6686390532545	52.5969756738987	529.91452991453	223.537146614069	60.4865220249836	155.161078238001	98.6193293885602	31.5581854043392	82.8402366863906	161.735700197239	105.193951347798	53.9119000657462	30.2432610124918	28.9283366206443	61.8014464168311	18.4089414858646	40.7626561472715	131.492439184747	23.6686390532545	88.0999342537804	17.0940170940171	36.8178829717292	28.9283366206443	3	43.3925049309665	22.353714661407	26.2984878369494	34.1880341880342	135.437212360289	7.88954635108482	7.88954635108481	21.0387902695595	2.62984878369494	9.20447074293228
TAH5	918.73319390499	1048.70032865253	11	210.636390797729	57	126.979384523454	451.150283836271	288.317896623842	65.7305049297879	256.946519270989	646.847923513594	510.905288317897	276.366895727517	165.82013743651	32	5	183.746638780998	38.8407529130565	103.077382730804	1.49387511204063	71.7060053779504	13.4448760083657	71.7060053779504	97.1018822826412	121.003884075292	182.252763668957	70.2121302659097	212.13026590977	98.5957573946818	88.1386316103974	67.2243800418285	37.3468778010158	140.42426053182	13.4448760083657	119.51000896325	62.7427547057066	153.869136540186	46.3101284732596	59.7550044816253	32.8652524648939	67.2243800418285	125.485509411414	62.7427547057066	43.3223782491784	37.3468778010159	0	121.003884075291	50.7917538093816	76.1876307140723	34.3591275769346	25.3958769046907	13.4448760083657	13.4448760083657	32.8652524648939	2.98775022408127	17.9265013444876
TAD6	1528.7728218165	308.527848393806	203	385.948694245436	476	420.614744626761	290.039288190433	709.498497804483	718.742777906171	571.989831291888	95.9094060550035	94.7538710422926	264.617517910793	65.8654957245205	684	331	134.042061474463	187.196672059164	187.196672059164	509.590940605501	64.7099607118096	97.0649410677143	62.3988906863878	299.283568292119	16.1774901779524	28.8883753177721	724.520452969725	16.1774901779524	4.62214005084354	13.8664201525306	15.0219551652415	358.215853940375	61.2433556736769	136.353131499885	2.31107002542177	16.1774901779524	6.93321007626532	278.483938063323	12.7108851398197	85.5095909406055	13.8664201525306	31.1994453431939	6.93321007626532	23.1107002542177	41.5992604575919	226	2.31107002542177	45.0658654957245	10.399815114398	21.9551652415068	78.5763808643401	17.3330251906633	4.62214005084354	8.08874508897623	24.2662352669286	190.663277097296
TAD2	2132.63979193758	53.0992631122671	37	219.982661465106	1838	321.84655396619	285.002167316862	363.025574338968	542.912873862159	230.819245773732	292.5877763329	446.467273515388	234.07022106632	338.101430429128	142	0	196.142175986129	170.134373645427	164.716081491114	165.799739921977	105.114867793671	62.8521889900303	249.241439098396	80.1907238838318	23.8404854789771	104.031209362809	88.8599913307325	140.875596012137	55.2665799739922	70.4377980060685	143.042912873862	49.8482878196793	60.6848721283052	75.8560901603815	138.708279150412	136.540962288687	30.3424360641525	24.9241439098396	138.708279150412	57.4338968357174	78.0234070221067	20.5895101863893	94.2782834850455	53.099263112267	42.2626788036411	19	14.0875596012137	31.4260944950151	39.0117035110533	80.1907238838318	14.0875596012137	47.680970957954	48.7646293888167	54.1829215431296	59.6012136974426	19.5058517555267
TAD3	1128.73862158648	2572.17165149545	288	344.603381014304	1098	185.955786736021	211.963589076723	472.041612483746	309.492847854356	248.374512353706	137.841352405721	136.540962288686	486.345903771131	114.43433029909	215	9	109.232769830949	256.176853055916	101.430429128739	250.975292587776	92.3276983094928	305.591677503251	52.0156046814044	236.67100130039	9.10273081924577	63.7191157347204	65.0195058517556	31.2093628088426	24.7074122236671	79.3237971391417	62.4187256176853	139.141742522757	35.110533159948	39.0117035110533	14.3042912873862	57.2171651495449	15.6046814044213	28.6085825747724	36.4109232769831	33.8101430429129	40.3120936280884	31.2093628088426	39.0117035110533	35.110533159948	46.814044213264	41	9.10273081924577	57.2171651495448	26.0078023407022	45.5136540962289	52.0156046814044	49.4148244473342	11.703511053316	19.5058517555266	59.8179453836151	18.2054616384915
