Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Rhizobium	Bacteria_Lentzea	Bacteria_Pseudoxanthomonas	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Microbacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Sphingopyxis	Bacteria_Aeromicrobium	Bacteria_Caulobacter	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Agromyces	Bacteria_Rhodanobacter	Bacteria_Galbitalea	Bacteria_Pantoea	Bacteria_Shinella	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Cellulomonas	Bacteria_Lysobacter	Bacteria_Bradyrhizobium	Bacteria_Rudaibacter	Bacteria_Glycomyces	Bacteria_Burkholderia	Bacteria_Altererythrobacter	Bacteria_Bacillus	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas	Bacteria_Phycicoccus	Bacteria_Sphingobium	Bacteria_Gaiella	Bacteria_Blastococcus	Bacteria_Ideonella	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Gibberella	Fungi_Holtermanniella	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	1	0.136759202345371	0.855758776883927	0.705990429525549	0.105161074715847	0.923298422858972	0.883682353467399	0.203949081875067	0.889165738994914	0.821509135620294	0.94936927918274	0.153327954166256	0.711641716060751	0.495252291491454	0.821509135620294	0.257566898234707	0.516562500137385	0.0534064858295263	0.975210546003353	0.395357076289713	0.184364967853732	0.784916091921552	0.683800722444319	0.648815541337243	0.930477287440464	0.711641716060751	0.821509135620294	0.560556339583485	0.200230728234891	0.943874015816276	0.300941133378563	0.982576955440308	0.500658061451297	0.906442101334776	0.466700863200086	0.572694268188768	0.0820974722398267	0.725338132568428	0.384286150112852	0.0324706857271295	0.328375089679335	0.378908352516031	0.0952324802705977	0.286216315240511	0.200230728234891	0.577854599547112	0.296369066509905	0.636152811321768	0.566449474950843	0.484056273917876	0.0197317294898757	0.281361327454863	0.252950988769879	0.94936927918274	0.474951776240075
Bacteria_Pseudomonas	1	3.508982358555e-101	0.982576955440308	0.401038337612488	0.671260127232503	0.718378492226758	0.587968278519916	0.212346705282313	0.683800722444319	0.821509135620294	0.943874015816276	0.587968278519916	0.624803418962795	0.216664824649758	0.344564525421144	0.809763908511248	0.318062283198275	0.736616204287644	0.542404482194295	0.587968278519916	0.267293913905716	0.203949081875067	0.424645209365944	0.648815541337243	0.349711040542327	0.889165738994914	0.9779118886243	0.587968278519916	0.955153184954841	0.313271315073932	0.624803418962795	0.861878084757272	0.147046253156729	0.771474928896612	0.642525566123944	0.599717578622658	0.839067752454378	0.809763908511248	0.587968278519916	0.863993936350016	0.766057157930207	0.529880313716455	0.328375089679335	0.699619854043498	0.930477287440464	0.555434560948709	0.276186736798318	0.119949380155305	0.506996333096614	0.80536884128167	0.696418551678806	0.833086644573862	0.925883182585155	0.766057157930207	0.970361198064865	0.996299682375185
Bacteria_Phyllobacterium	0.0148339554059769	0.959699764598947	3.508982358555e-101	0.42771371901637	0.196071678434199	0.0141039284064895	0.909462117094591	0.460809420685057	0.809763908511248	0.725338132568428	0.460809420685057	0.943874015816276	0.153327954166256	0.168639145343066	0.510673055998336	0.445523125106184	0.516562500137385	0.766057157930207	0.412759792471274	0.677406891732555	0.460809420685057	0.131279480344266	0.711641716060751	0.333538819978382	0.696418551678806	0.809763908511248	0.489950950242857	0.731431437262249	0.784916091921552	0.618331147253776	0.843316076654186	0.43688172077767	0.784916091921552	0.875256826090627	0.242257983990888	0.855758776883927	0.759584145365067	0.466700863200086	0.843316076654186	0.43688172077767	0.267293913905716	0.930477287440464	0.654655771911852	0.308480631666501	0.577854599547112	0.252950988769879	0.883682353467399	0.208018664794675	0.991763249043596	0.784916091921552	0.473059830421011	0.0952932131535264	0.308284456820055	0.43688172077767	0.66474671622581	0.353503348997766
Bacteria_Variovorax	0.703901001626162	0.151511936790394	0.671260127232503	3.508982358555e-101	0.401038337612488	0.671260127232503	0.328375089679335	0.018650788089507	0.731431437262249	0.671260127232503	0.996299682375185	0.9779118886243	0.642525566123944	0.122667445131909	0.9779118886243	0.982576955440308	0.618331147253776	0.587968278519916	0.677406891732555	0.821509135620294	0.119949380155305	0.333538819978382	0.631582389302713	0.618331147253776	0.699619854043498	1	0.94936927918274	0.731431437262249	0.80536884128167	0.572694268188768	0.855758776883927	0.699619854043498	0.424645209365944	0.648815541337243	0.116778720199023	0.631582389302713	0.442095423343169	0.631582389302713	0.930477287440464	0.863993936350016	0.671260127232503	0.718378492226758	0.318062283198275	0.725338132568428	0.696418551678806	0.705990429525549	0.843316076654186	0.370050616402826	0.549080931265391	0.606012133194186	0.731431437262249	0.970361198064865	0.694462647207096	0.74883416141216	0.6580259638835	0.60862805357967
Bacteria_Flavobacterium	0.474813964522169	0.42771371901637	0.454195735871895	0.151511936790394	3.508982358555e-101	0.631582389302713	0.473059830421011	0.636152811321768	0.705990429525549	0.965857388756032	0.975210546003353	0.648815541337243	0.365341053988133	0.778054798123122	0.0874586585776779	0.9779118886243	0.460809420685057	0.906442101334776	0.90112446812186	0.296369066509905	0.489950950242857	0.955153184954841	0.705990429525549	0.153327954166256	0.839067752454378	0.699619854043498	0.300941133378563	0.460809420685057	0.624803418962795	0.466700863200086	0.778054798123122	0.799125320876174	0.970361198064865	0.671260127232503	0.431417993581192	0.790395710461977	0.855758776883927	0.401038337612488	0.510673055998336	0.940021721232858	0.943874015816276	0.940021721232858	0.894796199776229	0.799125320876174	0.611975058872256	0.839067752454378	0.395357076289713	0.9779118886243	0.671260127232503	0.90112446812186	0.584372595707037	0.45884280496347	0.168432749846746	0.338829191641575	0.181588068697094	0.169246024787898
Bacteria_Rhizobium	0.00823037146363898	0.491048701605223	0.134308944685631	0.42771371901637	0.375950515973805	3.508982358555e-101	0.435392673515537	0.454195735871895	0.168639145343066	0.489950950242857	0.883682353467399	0.940021721232858	0.00611322542024967	0.313271315073932	0.442095423343169	0.843316076654186	0.442095423343169	0.431417993581192	0.103006929697668	0.843316076654186	0.418885986712828	0.19199054257232	0.996299682375185	0.184364967853732	0.516562500137385	0.454195735871895	0.991763249043596	0.877588297086102	0.991763249043596	0.766057157930207	0.671260127232503	0.516562500137385	0.970361198064865	0.778054798123122	0.784916091921552	0.906442101334776	0.925883182585155	0.0712853305064292	0.790395710461977	0.308480631666501	0.516562500137385	0.599717578622658	0.322984346762531	0.198334229991364	0.198334229991364	0.328375089679335	0.906442101334776	0.261903194369774	0.877588297086102	0.648815541337243	0.328375089679335	0.000756875107380345	0.0687495377206437	0.365341053988133	0.506824651161399	0.0470805718917039
Bacteria_Lentzea	0.829812095442519	0.327789306841173	0.959963102662115	0.101360571193473	0.210923793414752	0.677406891732555	3.508982358555e-101	0.516562500137385	0.965857388756032	0.473059830421011	0.705990429525549	0.965857388756032	0.855758776883927	0.955153184954841	0.863993936350016	0.889165738994914	0.771474928896612	0.843316076654186	0.648815541337243	0.855758776883927	0.313271315073932	0.833086644573862	0.850001727754698	0.572694268188768	0.238065924102641	0.281361327454863	0.677406891732555	0.473059830421011	0.418885986712828	0.869227755454161	0.549080931265391	0.611975058872256	0.389746602007121	0.431417993581192	0.228532935159603	0.636152811321768	0.855758776883927	0.861878084757272	0.759584145365067	0.542404482194295	0.725338132568428	0.90112446812186	0.228532935159603	0.766057157930207	0.322984346762531	0.718378492226758	0.959963102662115	0.821509135620294	0.821509135620294	0.300941133378563	0.119949380155305	0.939577904012878	0.742045009907367	0.611975058872256	0.968791880088413	0.788288832749454
Bacteria_Pseudoxanthomonas	0.761334126190767	0.0411585803869344	0.200945350816293	0.000173147717507171	0.383128341839342	0.196071678434199	0.253940016323671	3.508982358555e-101	0.883682353467399	0.395357076289713	0.925883182585155	0.766057157930207	0.542404482194295	0.143665754002636	0.869227755454161	0.965857388756032	0.555434560948709	0.741801070590123	0.566449474950843	0.923298422858972	0.153327954166256	0.153327954166256	0.353503348997766	0.699619854043498	0.875256826090627	0.940021721232858	0.794660687195855	0.473059830421011	0.66474671622581	0.378908352516031	0.794660687195855	0.987334418935545	0.523574358104115	0.66474671622581	0.22025573950073	0.286216315240511	0.242257983990888	0.654655771911852	0.66474671622581	0.959963102662115	0.809763908511248	0.699619854043498	0.338829191641575	0.584372595707037	0.794660687195855	0.9779118886243	0.500658061451297	0.188454093443415	0.228532935159603	0.378908352516031	0.934915907504318	0.839699868741576	0.308284456820055	0.9779118886243	0.731431437262249	0.577854599547112
Bacteria_Sphingomonas	0.0380216562635579	0.443140934823514	0.629620441872815	0.507540962933674	0.474813964522169	0.0249362279425826	0.919489908382186	0.761334126190767	3.508982358555e-101	0.780754552309047	0.657135668186951	0.911964044499276	0.19199054257232	0.753428861482897	0.466700863200086	0.965857388756032	0.572694268188768	0.940021721232858	0.0511258582086674	0.883682353467399	0.306023517462338	0.395357076289713	0.855758776883927	0.484056273917876	0.9779118886243	0.955153184954841	0.636152811321768	0.883682353467399	0.925883182585155	0.412759792471274	0.861878084757272	0.925883182585155	0.794660687195855	0.875256826090627	0.861878084757272	0.484056273917876	0.560556339583485	0.0125735516811414	0.395357076289713	0.799125320876174	0.466700863200086	0.153327954166256	0.863993936350016	0.131279480344266	0.313271315073932	0.975210546003353	0.484056273917876	0.318062283198275	0.74883416141216	0.599717578622658	0.955153184954841	0.0207943584831617	0.0180500879415	0.318062283198275	0.5297111353274	0.202837479802632
Bacteria_Nocardioides	0.771028565288177	0.647916329466507	0.499263033238545	0.42771371901637	0.919489908382186	0.226471759070724	0.210923793414752	0.147466655311326	0.894796199776229	3.508982358555e-101	0.00508632646897725	0.200230728234891	0.59285258319185	0.389746602007121	0.442095423343169	0.257566898234707	0.246651159975166	0.412759792471274	0.955153184954841	0.560556339583485	0.510673055998336	0.648815541337243	0.0592146271495598	0.955153184954841	0.153327954166256	0.0324706857271295	0.267293913905716	0.0228404128161995	0.318062283198275	0.0996915057719242	0.711641716060751	0.0898890997810149	0.43688172077767	0.281361327454863	0.970361198064865	0.0125735516811414	0.0106380384961884	0.965857388756032	0.176069019162916	0.0414492673947897	0.572694268188768	0.894796199776229	0.478146213497858	0.587968278519916	0.790395710461977	0.861878084757272	0.105161074715847	0.725338132568428	0.00611322542024967	0.000766146588862711	0.114397523516054	0.989921406880978	0.375950515973805	0.705990429525549	0.877588297086102	0.775160565296873
