	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
TABS1	0.0	0.6071	0.4414	0.5412	0.4339	0.9437	0.8776	0.8853	0.9173	0.89	0.9016	0.9278	0.8776	0.8384	0.8394	0.0696	0.6028	0.4391	0.5427	0.4485	0.8798	0.8915	0.9049	0.8704	0.8375	0.753	0.8179	0.883	0.9064	0.8946	0.7577	0.8371	0.8875	0.9029	0.9074	0.886	0.8162	0.8907	0.9083	0.8907
TABS2	0.6071	0.0	0.5661	0.6167	0.55	0.9378	0.9195	0.9434	0.9207	0.9227	0.9222	0.9546	0.9306	0.9066	0.9248	0.6085	0.0616	0.5551	0.6186	0.5483	0.9247	0.9211	0.9186	0.9247	0.9203	0.7853	0.836	0.9321	0.9121	0.9329	0.7877	0.8656	0.8932	0.9482	0.9519	0.9196	0.8419	0.9404	0.9141	0.933
TABS3	0.4414	0.5661	0.0	0.5338	0.4083	0.9419	0.9039	0.9456	0.9244	0.912	0.9045	0.93	0.9387	0.9037	0.9119	0.4476	0.5638	0.0784	0.5259	0.4102	0.9076	0.9109	0.9037	0.9333	0.9119	0.794	0.8298	0.9176	0.9022	0.939	0.7959	0.8655	0.8954	0.9573	0.9578	0.9286	0.8364	0.9263	0.9027	0.9344
TABS4	0.5412	0.6167	0.5338	0.0	0.5093	0.9327	0.9208	0.9416	0.906	0.917	0.9104	0.9487	0.9243	0.898	0.9123	0.54	0.608	0.5307	0.0682	0.5119	0.9246	0.9163	0.9079	0.9188	0.9096	0.7791	0.7526	0.924	0.8924	0.9226	0.7811	0.6556	0.8232	0.8885	0.9458	0.883	0.7535	0.931	0.8925	0.9188
TABS5	0.4339	0.55	0.4083	0.5093	0.0	0.9315	0.8888	0.938	0.908	0.9054	0.9058	0.9401	0.9234	0.859	0.9017	0.4333	0.542	0.4044	0.5108	0.0759	0.8943	0.9064	0.9018	0.9146	0.9014	0.7533	0.8463	0.8894	0.9154	0.9357	0.7544	0.821	0.8691	0.9363	0.9554	0.9263	0.8469	0.9019	0.9211	0.932
TAD10	0.9437	0.9378	0.9419	0.9327	0.9315	0.0	0.7167	0.5343	0.4205	0.385	0.5208	0.4792	0.6665	0.6267	0.4217	0.9443	0.9399	0.9439	0.9289	0.9331	0.7081	0.3788	0.5153	0.6648	0.4235	0.758	0.719	0.9299	0.7364	0.874	0.7472	0.8263	0.8749	0.6646	0.868	0.8778	0.7182	0.9344	0.733	0.8704
TAD1	0.8776	0.9195	0.9039	0.9208	0.8888	0.7167	0.0	0.8147	0.7392	0.6057	0.61	0.732	0.5605	0.6239	0.7575	0.8723	0.9249	0.9008	0.9195	0.8915	0.0609	0.6102	0.6033	0.5539	0.7494	0.7965	0.7406	0.8351	0.8463	0.9059	0.7899	0.8353	0.8702	0.8848	0.8949	0.9207	0.7281	0.8434	0.8442	0.908
TAD2	0.8853	0.9434	0.9456	0.9416	0.938	0.5343	0.8147	0.0	0.3888	0.346	0.661	0.2929	0.7222	0.6646	0.3781	0.8817	0.9472	0.9432	0.9419	0.9382	0.8009	0.3499	0.6606	0.717	0.373	0.8764	0.901	0.9207	0.7974	0.8884	0.8734	0.9044	0.9027	0.6663	0.8603	0.8915	0.9002	0.9243	0.7974	0.8889
TAD3	0.9173	0.9207	0.9244	0.906	0.908	0.4205	0.7392	0.3888	0.0	0.4122	0.6044	0.4026	0.5825	0.608	0.3875	0.9177	0.9251	0.9237	0.9051	0.9081	0.7327	0.3985	0.5989	0.5748	0.3909	0.7473	0.7418	0.898	0.7086	0.7468	0.7496	0.8461	0.8469	0.5402	0.8622	0.7278	0.7395	0.9047	0.7062	0.746
TAD4	0.89	0.9227	0.912	0.917	0.9054	0.385	0.6057	0.346	0.4122	0.0	0.4392	0.279	0.5862	0.5701	0.4696	0.8921	0.9293	0.9086	0.9141	0.9059	0.6119	0.0301	0.4388	0.5808	0.4813	0.8018	0.6993	0.8824	0.7105	0.8636	0.7968	0.8802	0.8546	0.655	0.8649	0.8749	0.6835	0.8862	0.7085	0.861
TAD5	0.9016	0.9222	0.9045	0.9104	0.9058	0.5208	0.61	0.661	0.6044	0.4392	0.0	0.5949	0.6526	0.6326	0.5928	0.9029	0.927	0.9038	0.9095	0.9056	0.627	0.4419	0.0504	0.6552	0.5869	0.8598	0.7654	0.9208	0.7803	0.9278	0.8547	0.901	0.8998	0.7116	0.9171	0.9273	0.7505	0.9217	0.7768	0.9249
TAD6	0.9278	0.9546	0.93	0.9487	0.9401	0.4792	0.732	0.2929	0.4026	0.279	0.5949	0.0	0.7753	0.7039	0.4273	0.9278	0.9612	0.9327	0.9464	0.9385	0.717	0.2844	0.5967	0.7729	0.4394	0.8002	0.8638	0.8698	0.7323	0.9188	0.8002	0.8581	0.8531	0.7022	0.8948	0.9279	0.8558	0.8765	0.7267	0.9155
TAD7	0.8776	0.9306	0.9387	0.9243	0.9234	0.6665	0.5605	0.7222	0.5825	0.5862	0.6526	0.7753	0.0	0.3197	0.677	0.8716	0.9308	0.9339	0.9231	0.9248	0.5793	0.5786	0.6447	0.0277	0.6636	0.8091	0.673	0.9187	0.8098	0.732	0.8064	0.8609	0.8605	0.7137	0.7719	0.7399	0.6609	0.923	0.8108	0.7291
TAD8	0.8384	0.9066	0.9037	0.898	0.859	0.6267	0.6239	0.6646	0.608	0.5701	0.6326	0.7039	0.3197	0.0	0.5768	0.8324	0.9098	0.8993	0.901	0.8633	0.6345	0.566	0.6263	0.318	0.5711	0.7398	0.7377	0.8615	0.756	0.7563	0.7288	0.7856	0.8314	0.6495	0.7488	0.787	0.726	0.8735	0.7566	0.7547
TAD9	0.8394	0.9248	0.9119	0.9123	0.9017	0.4217	0.7575	0.3781	0.3875	0.4696	0.5928	0.4273	0.677	0.5768	0.0	0.8341	0.9293	0.9115	0.9084	0.9018	0.7497	0.4657	0.5916	0.6731	0.0387	0.8347	0.8505	0.8891	0.7624	0.7842	0.8313	0.902	0.8822	0.58	0.772	0.8062	0.8416	0.8954	0.7626	0.7795
