id	microbialload	site	Condition	Genotype	type
Bac2DMH6301	3.666198448	Ah	dry	MH63	Bac
Bac2DMH6302	4.235622696	Ah	dry	MH63	Bac
Bac2DMH6304	1.499022696	Ah	dry	MH63	Bac
Bac2DMH6305	1.98208943	Ah	dry	MH63	Bac
Bac2DMH6306	1.636228363	Ah	dry	MH63	Bac
Bac2DMH6307	4.603795962	Ah	dry	MH63	Bac
Bac2DMH6308	3.684221876	Ah	dry	MH63	Bac
Bac2DMH6312	2.137603682	Ah	dry	MH63	Bac
Bac2DWYJ01	0.973452166	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ02	0.985906286	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ03	1.428693681	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ04	1.739241125	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ05	1.839443481	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ06	1.281314488	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ07	2.277150608	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ08	1.890917693	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ09	0.941339443	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ10	1.256012358	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ11	1.471005158	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ12	1.019014386	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ13	1.153759774	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ14	1.520981744	Ah	dry	WYJ7DEP1	Bac
Bac2DWYJ15	1.518090059	Ah	dry	WYJ7DEP1	Bac
Bac2WMH6301	1.598366684	Ah	wet	MH63	Bac
Bac2WMH6302	0.958987665	Ah	wet	MH63	Bac
Bac2WMH6303	1.097367487	Ah	wet	MH63	Bac
Bac2WMH6305	0.762008251	Ah	wet	MH63	Bac
Bac2WMH6306	0.723357615	Ah	wet	MH63	Bac
Bac2WMH6307	1.498950792	Ah	wet	MH63	Bac
Bac2WMH6309	0.929187567	Ah	wet	MH63	Bac
Bac2WMH6310	1.205553507	Ah	wet	MH63	Bac
Bac2WMH6311	0.87229616	Ah	wet	MH63	Bac
Bac2WMH6312	1.08925198	Ah	wet	MH63	Bac
Bac2WWYJ01	1.763642435	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ02	1.311366021	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ03	0.804786515	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ05	0.739405002	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ06	1.008808207	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ07	2.054057077	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ08	1.188974203	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ09	0.777672563	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ12	0.744785579	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ13	1.467727646	Ah	wet	WYJ7DEP1	Bac
Bac2WWYJ15	1.044562727	Ah	wet	WYJ7DEP1	Bac
BacDMH6301	2.013006257	Hn	dry	MH63	Bac
BacDMH6302	10.31896212	Hn	dry	MH63	Bac
BacDMH6303	4.006242549	Hn	dry	MH63	Bac
BacDMH6304	1.839358788	Hn	dry	MH63	Bac
BacDMH6305	3.694122976	Hn	dry	MH63	Bac
BacDMH6306	2.935255296	Hn	dry	MH63	Bac
BacDMH6307	4.366305239	Hn	dry	MH63	Bac
BacDMH6308	5.090218083	Hn	dry	MH63	Bac
BacDMH6309	2.721126267	Hn	dry	MH63	Bac
BacDMH6310	2.184562604	Hn	dry	MH63	Bac
BacDMH6311	2.064178741	Hn	dry	MH63	Bac
BacDMH6312	1.967089597	Hn	dry	MH63	Bac
BacDMH6313	7.111757078	Hn	dry	MH63	Bac
BacDMH6314	6.000342013	Hn	dry	MH63	Bac
BacDMH6315	6.034925811	Hn	dry	MH63	Bac
BacDWYJ01	12.39351326	Hn	dry	WYJ7DEP1	Bac
BacDWYJ03	7.925550431	Hn	dry	WYJ7DEP1	Bac
BacDWYJ04	8.087297718	Hn	dry	WYJ7DEP1	Bac
