id	microbialload	site	Condition	Genotype	type
Bac2DMH6301	4.386828046	Ah	dry	MH63	BACFUN
Bac2DMH6302	4.656951487	Ah	dry	MH63	BACFUN
Bac2DMH6304	2.062172327	Ah	dry	MH63	BACFUN
Bac2DMH6305	2.226197026	Ah	dry	MH63	BACFUN
Bac2DMH6306	1.944409289	Ah	dry	MH63	BACFUN
Bac2DMH6307	5.003273527	Ah	dry	MH63	BACFUN
Bac2DMH6308	3.996987153	Ah	dry	MH63	BACFUN
Bac2DMH6312	3.440330347	Ah	dry	MH63	BACFUN
Bac2DWYJ01	1.295767804	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ02	1.440296446	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ03	2.127221701	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ04	2.337500528	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ05	2.554352103	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ06	2.12827483	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ07	2.857679005	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ08	2.274141962	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ09	1.376091127	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ10	1.607254702	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ11	1.688637265	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ12	1.267524715	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ13	1.509492126	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ14	1.893606649	Ah	dry	WYJ7DEP1	BACFUN
Bac2DWYJ15	1.974924172	Ah	dry	WYJ7DEP1	BACFUN
Bac2WMH6301	2.191104815	Ah	wet	MH63	BACFUN
Bac2WMH6302	1.636486942	Ah	wet	MH63	BACFUN
Bac2WMH6303	1.32010318	Ah	wet	MH63	BACFUN
Bac2WMH6305	1.271019489	Ah	wet	MH63	BACFUN
Bac2WMH6306	0.974802359	Ah	wet	MH63	BACFUN
Bac2WMH6307	2.885237552	Ah	wet	MH63	BACFUN
Bac2WMH6309	1.658437455	Ah	wet	MH63	BACFUN
Bac2WMH6310	1.410471898	Ah	wet	MH63	BACFUN
Bac2WMH6311	1.667936473	Ah	wet	MH63	BACFUN
Bac2WMH6312	1.957581834	Ah	wet	MH63	BACFUN
Bac2WWYJ01	2.206027642	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ02	1.748394249	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ03	1.124384266	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ05	1.1346197	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ06	1.417845838	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ07	2.817333963	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ08	1.55916312	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ09	1.047646974	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ12	1.016761168	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ13	1.870275082	Ah	wet	WYJ7DEP1	BACFUN
Bac2WWYJ15	1.378892899	Ah	wet	WYJ7DEP1	BACFUN
BacDMH6301	2.938574597	Hn	dry	MH63	BACFUN
BacDMH6302	11.58708057	Hn	dry	MH63	BACFUN
BacDMH6303	4.972892834	Hn	dry	MH63	BACFUN
BacDMH6304	2.430557691	Hn	dry	MH63	BACFUN
BacDMH6305	4.666398331	Hn	dry	MH63	BACFUN
BacDMH6306	3.587053455	Hn	dry	MH63	BACFUN
BacDMH6307	5.505082064	Hn	dry	MH63	BACFUN
BacDMH6308	5.613262635	Hn	dry	MH63	BACFUN
BacDMH6309	4.091073975	Hn	dry	MH63	BACFUN
BacDMH6310	2.7826252	Hn	dry	MH63	BACFUN
BacDMH6311	2.398252777	Hn	dry	MH63	BACFUN
BacDMH6312	2.432124468	Hn	dry	MH63	BACFUN
BacDMH6313	8.410368847	Hn	dry	MH63	BACFUN
BacDMH6314	7.522177425	Hn	dry	MH63	BACFUN
BacDMH6315	7.887053182	Hn	dry	MH63	BACFUN
BacDWYJ01	15.6363072	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ03	9.186752134	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ04	9.977533201	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ06	14.23052356	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ08	7.217757457	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ09	4.563898711	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ11	10.54751567	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ12	7.521830001	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ13	9.416880626	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ14	5.863874006	Hn	dry	WYJ7DEP1	BACFUN
BacDWYJ15	8.825618814	Hn	dry	WYJ7DEP1	BACFUN
BacWMH6302	2.705689871	Hn	wet	MH63	BACFUN
BacWMH6303	3.094778814	Hn	wet	MH63	BACFUN
BacWMH6304	2.601819566	Hn	wet	MH63	BACFUN
BacWMH6305	2.165912537	Hn	wet	MH63	BACFUN
BacWMH6306	2.003088225	Hn	wet	MH63	BACFUN
BacWMH6308	1.982158798	Hn	wet	MH63	BACFUN
BacWMH6309	2.423703217	Hn	wet	MH63	BACFUN
BacWMH6310	1.956839448	Hn	wet	MH63	BACFUN
BacWMH6311	2.301938646	Hn	wet	MH63	BACFUN
BacWMH6312	2.153872355	Hn	wet	MH63	BACFUN
BacWMH6313	3.258261932	Hn	wet	MH63	BACFUN
BacWMH6314	3.452483764	Hn	wet	MH63	BACFUN
BacWMH6315	1.451079913	Hn	wet	MH63	BACFUN
BacWWYJ01	3.328592657	Hn	wet	WYJ7DEP1	BACFUN
BacWWYJ02	2.513217794	Hn	wet	WYJ7DEP1	BACFUN
BacWWYJ03	2.497888018	Hn	wet	WYJ7DEP1	BACFUN
BacWWYJ04	1.606825603	Hn	wet	WYJ7DEP1	BACFUN
BacWWYJ05	3.894234219	Hn	wet	WYJ7DEP1	BACFUN
