SampleID,Dilution,counts,log2
GOS.Bac.BI05.06,E05,11694,19.60204858
GOS.Bac.BI05.07,E05,10648,19.60204858
GOS.Bac.BI05.09,E05,12906,19.60204858
GOS.Bac.BI05.10,E05,12565,19.60204858
GOS.Bac.BI055.06,E05/5,4489,17.28012048
GOS.Bac.BI055.07,E05/5,3681,17.28012048
GOS.Bac.BI055.09,E05/5,6767,17.28012048
GOS.Bac.BI055.10,E05/5,6508,17.28012048
GOS.Bac.BI04.06,E04,3408,16.28012048
GOS.Bac.BI04.07,E04,2337,16.28012048
GOS.Bac.BI04.09,E04,5282,16.28012048
GOS.Bac.BI04.10,E04,5481,16.28012048
GOS.Bac.BI0520.06,E05/20,2163,15.28012048
GOS.Bac.BI0520.07,E05/20,1269,15.28012048
GOS.Bac.BI0520.09,E05/20,3478,15.28012048
GOS.Bac.BI0520.10,E05/20,3373,15.28012048
