	BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ03	BacDWYJ04	BacDWYJ06	BacDWYJ08	BacDWYJ09	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05
BacDMH6301	0.0	144.267719232	46.2280861334	11.0212149566	41.4926805376	18.1359416328	30.2578433874	49.9503694472	30.6330711808	15.1366147004	12.5382718283	19.1401100925	126.803418816	71.7850021304	63.209709259	19.9341254668	18.747797155	15.9339848562	20.9546872039	14.6187061409	18.543223627	13.5957809326	17.3565291993	14.8700531196	13.4134155448	22.0524348737	16.0631762346	16.1297642536	54.3429666181	122.716185353	142.665181438	308.253173153	210.038387092	39.351110609	333.07549056	325.950769817	45.1523513808	562.715602055	132.300197587	140.373741537	101.260024799	103.174196287	40.9695919664	61.2750170669	128.415297788	181.572739164	1279.30008714	64.5536194646	600.912440302	76.8530145318	780.774381466	42.8230892138	36.7898642803	437.032437548	161.415292343	42.1298586519	227.569268629	257.477265812	206.829425771	119.616921822	192.815792873	171.997994624	92.8411077306	39.1798767409	157.838305116	102.376633641	75.0651125823	48.2638087244	137.28825939	40.5273324944	28.3301579201	23.445910276	23.4336951183	23.5475966966	23.9758358679	18.8783884904	21.0313599314	26.7382034702	24.2915662021	24.1669456753	17.5436806033	21.9760985069	32.2096730202	28.2670309667	32.9715373186	41.0189624101	40.4324521936	33.7440352641	35.1373305318	40.678867357	30.02885725	29.2763538549	30.0322759224	27.42207514	31.5745073377	27.7798539726	36.697976898	28.5000237101	26.224802635	25.9191247924	27.2351503466	26.4802564875	29.2874930329	28.9248825811	26.4654828499	26.7258316816	29.3263441972	27.1203861007	51.6413939315	94.0883796468	31.2036672152	42.7893227772	35.1156392363	104.871906022	86.8997743027	33.851784965	36.5854188224	28.1282238801	30.0120722867	28.6851796987	25.7612877922	34.1684202419	27.4667018122	30.2533018916	25.4441128253	29.4119483204	34.9028971871	32.9859254242	46.8437078087	63.1359006091	27.9521661334	28.295870009	42.5721693331	32.6058032497	27.8293586454	40.6208231862	56.0567958178	35.8896461965	30.1394158103	45.1034720729	27.6284717156	47.0517399201	55.7015952915	33.1476886177	139.206601149	53.4490040225	43.4885110716	44.6336169806	39.2187621028	35.1650587007	39.476983627	59.8857523841	48.9325524591	76.0159865175	42.8278627028	53.2503339232	154.584176466	568.033496433	119.116107032	154.792932547	120.145763364	243.0739467	227.088311482	142.449441699	153.092386519	85.4687942226	124.200507292	151.449613074	63.0523020992	69.3347491167	68.2840839921	75.0522860919	52.8052711125	59.7067513446	83.6901922155	58.7972381218	59.9585798469	82.7629360412	72.1292575535
BacDMH6302	144.267719232	0.0	101.324135494	139.40338076	114.259375973	131.750471218	131.477215905	122.960798445	151.206722249	136.472539494	137.069521417	135.81564003	39.5483419367	118.614838614	112.832390415	157.519761416	153.765290075	146.44460313	159.956021188	150.642301655	155.554557215	145.577555708	155.957218473	149.050074079	145.096913211	157.896813189	147.521845079	155.527756223	97.7590524959	55.9064025453	46.5076576405	227.160380824	90.0307732436	115.060495543	210.755282565	202.580257916	137.60181128	541.475564638	48.7518831594	145.857182133	102.260344326	123.2762339	158.648457375	137.047560829	178.816703513	202.283814147	1279.1675237	135.884541185	613.153284702	112.586507504	792.113105016	144.800082612	128.184817844	454.475379893	202.118656766	129.115191283	140.244102432	266.766398527	255.071139415	198.842891741	244.14727549	219.071195807	183.863505043	166.602191178	215.869688153	191.712516065	177.980031698	170.755251985	213.280957429	163.018970411	166.464930363	160.472549528	164.20113581	158.062173547	164.134421174	156.341723383	160.081246829	163.508204138	162.615862075	163.946484959	155.052294752	163.449789219	168.913129678	168.096078807	168.810518192	170.614674634	170.37913287	169.086867284	168.671420326	170.386440644	168.292978108	167.996219531	167.753517563	167.559245416	168.016262919	167.447330246	169.647371914	167.976125414	166.808956186	167.059039437	168.150949852	167.869089537	167.918451432	168.347106731	167.835291876	167.972079181	168.211882299	167.900246598	172.07536511	190.43618696	168.248805382	170.571748548	167.520933299	195.290270673	186.882263157	167.623160556	168.435187339	167.820924324	168.037884506	168.202612201	166.480000228	168.868060219	167.571007549	168.306105009	165.804340797	168.317930607	167.879316278	168.199971097	171.871723618	176.469259779	167.755522356	167.028127921	170.860528367	168.678330286	167.923757183	169.043551479	172.588953629	167.785284012	166.524345232	170.966485299	167.697909471	172.010474856	174.126818723	167.037467947	213.802055958	170.853074742	169.984693546	171.459046128	169.776382721	169.141006411	169.918767605	172.282454155	170.876481954	178.886914578	169.39332525	173.606834189	224.626574813	590.015691962	201.794081818	225.77577367	202.64975298	292.982799998	279.711094993	217.675230281	224.650277822	185.805813013	206.396659336	223.769124052	176.411751814	178.433631513	178.460982929	180.438450102	173.230486002	175.313698727	184.402405471	175.429654579	175.681944596	183.854534791	179.607162564
BacDMH6303	46.2280861334	101.324135494	0.0	40.8645634041	23.6235020212	33.2863959489	41.6073647231	45.0626856549	58.7809547538	38.9494460436	38.1204025374	36.1313859848	82.8997054402	57.1448779611	49.497455956	58.5597070158	55.2793432948	47.6024158141	60.8675838722	51.291649334	56.6705871518	46.365304256	56.773210203	49.9786718951	45.9736492574	60.3546294049	49.0392807015	56.363336253	22.5673548468	81.5821213801	99.897014285	277.568272213	167.395912577	26.5305462284	292.510316944	286.848032201	52.7091058317	553.800515477	90.2694104937	126.957925081	72.5554463715	89.2932632112	68.1987270439	61.4521187051	128.748070808	175.489930457	1277.32946851	63.1741799629	600.867771388	57.7313620558	781.550282489	56.8500795391	37.9153955801	437.447181848	161.967726091	42.4246904971	192.329685226	251.399367811	215.753694629	136.167705125	201.076023802	174.228026261	112.709919903	73.2770275921	166.619720732	121.368657116	99.2140502406	79.2207568349	152.588799276	70.1116394111	68.5974643985	62.1867522075	65.4698041834	60.1860115753	65.6112149523	57.7382799777	61.4358442112	65.4283828957	64.337281372	65.0823990091	56.6154500261	64.4614875001	71.3727985132	69.5551667697	71.4241409982	75.4676163764	75.2172470356	72.0096857343	71.7231575679	75.1790564006	70.249826538	69.5923506995	69.4557676337	68.726082064	70.4524440318	68.7340318789	73.2877818108	69.5768719365	68.0081036032	68.1889496443	69.4131321326	68.9564793184	69.6610508509	70.0328572179	68.9182600121	69.1379111532	70.0026820222	69.1927713735	80.8031878218	113.497842685	70.3952223315	76.3079163996	71.2768603477	122.417485297	107.716187721	71.0391372167	72.4005246185	69.2429884507	70.0235718647	69.8077855407	67.6531645954	72.0131270301	68.9411774423	70.353394855	66.9926730279	70.0868393435	71.4526518558	70.9543764173	78.7837256703	89.0758871971	69.1862032447	68.5069938113	76.3150046538	71.2084710573	69.3400573259	74.2931908053	83.2706771652	71.5475906016	68.8045556245	77.3382586964	69.0476155229	78.9579169951	84.1706004701	69.8322826573	152.004797215	80.9236683663	75.7406864987	77.6054946339	74.465756976	72.6485482373	74.5617329777	84.3343385067	78.8191253864	97.1421990841	75.2731462078	82.6775754923	166.440520858	570.999705513	134.167350938	166.952026992	135.082557683	250.879482169	235.247912409	155.741392464	165.303526497	106.208664029	139.364876898	164.108395299	89.0857593755	93.2770281824	92.8925402524	97.3932463102	82.201602169	86.6407859564	104.424386594	86.3015656154	87.0076300891	103.446372668	95.3308243422
BacDMH6304	11.0212149566	139.40338076	40.8645634041	0.0	36.0492015427	15.041531137	28.758711185	48.8615808512	32.597536441	10.5028839577	8.2331677482	15.1929516537	121.343820254	68.9491810526	62.5349923151	22.1355683315	19.8710834494	14.3244322152	22.9990596641	14.0454508231	19.8222088157	10.62320027	18.8700846058	13.6267006274	10.6113778514	25.145775225	15.1547651368	17.4916310638	50.3057901465	117.854977621	137.812854589	304.932301765	205.270576449	35.3779188362	328.910428389	322.148922605	43.7108732993	562.036529133	127.730118165	140.425054756	96.6485213775	102.329166915	42.6790855704	59.9596351249	127.531334221	180.330978902	1279.08784531	62.8967337717	600.698256381	74.42716171	780.863676721	42.4998545839	33.3559564781	436.955200784	160.944547166	39.8464669024	223.71731755	256.556048033	209.347821021	122.109149962	194.789414174	174.219904399	96.2136999308	43.0663050636	159.885115016	105.773988796	80.7799663169	51.8720186359	141.0548803	41.9613476	31.6908895086	25.5744171036	26.8714336259	25.2855373995	27.503476012	20.3885320842	23.6841023215	29.2605080805	27.1763182234	27.1033215064	19.5947087252	25.4949950184	35.1064065573	31.4428798965	35.6857067959	43.2472434861	42.8020941242	36.5327930898	37.6399002477	42.9282880033	33.028117724	32.2052455985	32.8110529904	30.484793448	34.2383876236	30.876117934	39.2159932863	31.6451693883	29.3222137209	29.1291415668	30.5135676318	29.7833221651	32.2256397967	32.0921450461	29.7381029863	30.0489685109	32.4407761649	30.4631945093	53.6396053804	95.7822938524	33.9365726735	45.0108202202	37.45483452	105.947031442	88.5551657021	36.3466885471	38.727789638	31.1368508213	32.9491720038	31.8130406829	28.8691842455	36.8882279589	30.5791777392	33.1682589178	28.3994211606	32.498007772	37.3521931504	35.6051002216	49.6092954686	64.8030519958	31.1024897105	31.1553494229	45.5136213554	35.4681410892	31.0183175865	42.8205920495	58.0693177719	38.6450813069	33.0378472509	47.7387017312	30.7986824821	49.1946217302	57.4439278769	35.2954537228	140.012665073	55.1469869277	45.4427041625	46.873034304	41.8560726796	38.0048536688	41.8563759057	60.9360404894	50.5232413625	77.1477146146	45.3153382892	55.2085748401	156.35668048	568.944567221	120.897532249	156.310096405	121.975853251	244.46117041	228.273862063	143.860311902	154.577042217	87.4534837706	125.794392385	152.886505787	64.7776823352	70.7683104415	69.7952636453	76.3539856341	54.6875380636	61.3246107325	84.9108193099	60.4877920822	61.5172798427	84.0441698865	73.4540043379
BacDMH6305	41.4926805376	114.259375973	23.6235020212	36.0492015427	0.0	30.6489059782	40.570663716	46.5793222389	54.1213000415	33.8143624142	34.1363078383	34.4244163198	94.1464728594	53.5153651743	54.2918339565	51.4077574792	48.1678198478	41.503912361	53.1740066854	44.1686081425	49.9013207819	39.902989024	49.9703620199	43.29380965	39.949237126	53.7916705026	42.8017239846	49.5249003594	29.4656950875	92.2588612082	108.585951212	284.63655888	176.131837975	29.0023043525	300.962830839	295.254041666	50.6532847442	556.784186906	99.3873756738	129.121388811	66.5409607789	93.006898813	64.1259792827	59.9257100858	127.763574958	176.465642954	1277.64536189	61.5212624184	600.796555495	59.4803985922	781.342381769	52.6115817763	36.2705328952	437.278115895	161.004818341	41.350624194	200.407704316	252.357274468	214.053009664	132.562185992	200.158313989	176.95393968	109.008710806	67.3004070534	166.257063834	117.586706314	94.7564218802	72.9203659052	149.925034283	63.7892812381	61.5566854118	55.1540404449	58.4455560261	52.9618956157	58.5234773177	51.2009443217	54.6376368758	58.3232769841	57.1553439605	57.7221409137	50.30448109	57.1726143078	64.498530479	62.3946393725	64.3722450902	68.5926817071	68.7819854786	65.2603392069	64.4604751195	68.4034663322	63.2699216921	62.3814957157	62.1561178819	61.4938159695	63.2772506284	61.1972761109	66.426039075	62.6170332727	60.9973506116	61.1617121959	62.380461533	61.8769348061	62.6597444518	63.102194367	61.8362036352	62.0824724944	63.1275021617	62.2142475448	74.8871048009	109.141681565	63.4464492126	69.8447559472	64.5845312663	118.535412908	103.144566676	64.4372349803	65.8249703818	62.2930572217	63.2135401772	62.8848456575	60.6233938199	65.3178275332	61.9837992891	63.4363527717	60.0141317135	63.1518278609	64.332460258	63.9420983811	72.3943285924	83.60823274	62.0600853385	61.4900690767	69.7355670844	64.3387609052	62.0795560513	68.0505751819	77.2154994587	64.4515295963	61.7102844458	70.8409300697	61.8154830117	72.8942181044	78.6212976375	63.0908798206	149.123687043	75.5263816993	69.3726743905	71.4422875594	68.0110793591	65.9981200923	68.0617761347	77.7678131143	73.0617595241	92.7310496289	69.5106580546	77.0325934301	163.532716962	570.493637164	130.81164207	164.248296016	131.514912098	249.095177985	233.527860578	152.848221184	162.598555285	101.865667821	136.072338267	161.356069193	83.5207699721	88.0092625685	87.9084927112	92.5182455661	76.4260547406	81.2454002897	99.9640835097	80.5622697466	81.4929397011	99.0174294975	90.4276746333
BacDMH6306	18.1359416328	131.750471218	33.2863959489	15.041531137	30.6489059782	0.0	26.6328841601	38.2920977661	31.7882283107	13.2355565411	13.2326688414	15.5000199242	114.436128764	59.362736798	56.6757290316	29.4805217428	27.5025975574	22.0766455683	32.2241157583	24.0146505966	28.9598083898	20.7155122869	28.3249084775	23.5103909299	20.2972376285	32.2795206646	23.1015628871	27.9832925421	41.3577183861	110.631733901	130.03851131	298.428563865	197.178353014	28.0899391754	320.381275388	313.170958842	42.6000768907	554.84985664	118.729662612	135.016977181	90.8451961393	92.442472588	46.0329742481	57.1793648579	126.633592113	178.360469281	1278.04290941	60.8573192828	600.545659675	67.8499364581	780.312067903	41.6038234087	30.9116299485	436.424412245	159.665128697	36.1442550513	216.355250951	254.119268802	205.812782756	123.134933608	189.673326475	168.308574167	95.1885489358	45.2634932393	154.357223239	106.038820658	80.8763169373	55.850924175	140.869901687	47.1407415463	39.6837326256	33.9848144683	35.8001346626	32.9486367295	35.9918265251	29.8550550218	32.5174438534	37.6628622266	35.2401216957	35.9283998332	28.232720463	34.9423998282	43.1206099796	40.3518691568	43.432005623	49.615878957	49.2791327934	44.1262533655	44.4112406799	49.2240676877	41.4485379459	40.6221453987	40.7988292098	39.4146359598	42.2743645879	39.4912507212	46.2344627399	40.4348556808	38.7465000155	38.6996992859	39.8802908525	39.3609779648	40.9831584739	40.8670351146	39.3506261368	39.4939100741	40.9549952765	39.6608832006	58.4589985764	98.0076452167	42.2463548142	51.1012844176	44.5408787251	107.95912109	91.1186777462	43.8362669617	46.007344806	40.2080363246	41.4639821652	40.7160076609	38.3237464087	44.2791437258	39.7397024293	41.731781868	37.834388193	41.2202824287	44.4238425826	43.0786913088	55.0926773873	68.5192230275	39.9565034779	39.9521507672	51.5935828296	43.0503726143	39.8840848021	48.8187685642	62.1046747086	45.2376338155	40.9783912849	52.3621664861	39.6556321401	54.5241481713	62.0524735782	42.9626269631	140.917865139	59.0700816793	51.1873178656	52.6047791612	48.1159060791	45.150067051	48.3759014477	64.5322034434	55.8679295169	79.8400636777	49.9606191643	59.8539906122	156.901859576	568.560458826	122.183111606	157.268059456	123.057639325	244.495914899	228.688302515	144.97012939	155.520796814	90.1362250397	127.332486234	153.9840907	69.0155974558	74.3992125059	73.7811546301	79.7285229296	59.7875590988	65.8390046692	88.0497920732	65.1559438029	66.215605201	87.0782929994	77.010646102
BacDMH6307	30.2578433874	131.477215905	41.6073647231	28.758711185	40.570663716	26.6328841601	0.0	41.9465342332	33.144727503	26.5863645243	27.9102718383	31.8257800977	116.826125226	63.1788237915	58.5117183437	39.0007668816	37.6478332512	34.7435263022	41.5388444364	35.8394888397	39.5795671533	33.542059282	38.924417762	35.5007440578	33.8445539887	40.1467319602	35.5298923744	39.0510951868	51.0914962718	115.155042898	133.830330385	301.205397993	201.261115845	38.2336869791	322.165198289	314.603499312	49.0538237334	546.330119516	119.91771333	137.26895157	96.1068005101	90.7138780552	47.143610592	62.1058936644	129.498295632	180.366155177	1278.15896592	65.8045985221	601.108640522	72.5101081124	779.922956954	47.6588058633	40.1148307149	436.886530172	160.865992991	45.8052848001	217.949866812	254.103924356	200.616223016	120.818424365	183.577270908	165.439829483	92.504357966	45.3142699886	147.869591347	104.537999555	80.1611137649	58.8544719319	140.587141345	53.820330826	47.7388070329	43.402689477	44.6239566821	42.7999145098	44.7361698068	40.2683923045	42.1414147037	45.8113940495	43.8101402635	44.6659558993	38.2634134489	44.0979256593	50.9013764008	48.3619953637	51.1984454631	56.6957491378	56.2045352711	51.879792365	51.9828166056	56.4234331913	49.5185411395	48.7091719514	49.0742211072	47.7958282731	50.2378220372	47.8108798672	53.696491909	48.487157653	46.8840476984	47.016123088	48.0844041627	47.5179455052	48.7504319111	48.9647916787	47.4832571563	47.7082413299	49.0894984767	47.7960446975	63.9562359534	101.613871358	49.7427158144	57.861678708	52.1389333021	111.581492404	95.1566263088	50.0441949288	53.3136637999	48.2861687368	49.3570765653	48.7629539079	46.756541519	51.7577864644	47.8040286696	49.5523805175	46.3706601023	49.1078336237	52.0439669326	50.1294824836	60.7993375805	73.9114306562	47.8935804047	47.3326318916	57.5924328737	50.7393382191	47.8319917204	56.0908250572	67.8231677793	52.454387156	48.5905144063	58.1661460403	47.5124498472	61.0211347238	67.6392427423	50.4074589515	144.168143298	65.2614672919	57.6916521653	59.2903847246	54.9490529387	52.5174945897	55.4548001713	70.1042610849	62.214141312	84.1993276661	57.0661342118	65.8861912609	158.152844262	568.623304324	123.406466978	159.0438518	124.780494844	245.735197892	229.785039844	147.498337945	157.640253759	93.3979546163	130.236813903	156.465761381	73.5186297315	78.853944533	78.1111997102	83.6576119316	65.2195790382	70.773771709	91.5463842708	70.3375134765	71.1873389264	90.6453963448	81.3622127034
BacDMH6308	49.9503694472	122.960798445	45.0626856549	48.8615808512	46.5793222389	38.2920977661	41.9465342332	0.0	39.5340054426	43.651477549	48.0569573143	48.8172252966	110.406398282	48.4781244071	57.4270948116	57.6357478053	57.3930564612	53.8698959566	62.053512288	56.331588307	59.9307605792	53.7800277879	59.3820403106	55.7592852601	53.796392096	58.818207152	54.7369101669	59.8238028665	46.5654488736	106.32136031	123.857411333	289.936906984	187.654535147	40.4076533936	304.762778254	295.664755383	59.7180253623	521.582482551	104.019724666	130.152150108	90.6268061862	60.2199353608	66.4668286835	66.5901709886	132.015518386	179.341618809	1276.89972999	70.7544990935	601.789357796	68.4847629488	779.048703035	56.9964015556	49.494187319	436.050210902	159.864368479	52.2463482557	206.108252245	249.643758521	182.368104557	119.691009375	160.464138625	152.472224324	83.512719567	56.3421898472	126.269566617	101.727187514	84.51304768	73.6225664946	142.514798261	70.8693186236	67.164911172	63.2639902122	64.7026686944	62.0686665201	64.3291904644	60.8660386308	62.2174307155	66.18557224	63.4647999744	65.1545785326	58.0750230552	64.6562437038	70.381397165	68.8796797207	70.4302700165	74.1030047782	73.9303958119	70.8169263866	70.5580699723	73.8175956348	69.375739966	68.8551827796	68.6766121465	68.2877369067	69.7035314204	67.8656433476	72.0652433535	68.8146870128	67.9858529576	68.0404900081	68.8579766165	68.5843392165	69.2573050492	69.211498956	68.5908099826	68.5783983971	69.2129016405	68.5596423318	79.7394197406	111.120711829	69.7800787344	74.8119630424	70.6191474321	119.920363219	105.206724597	69.9823106002	71.8904691774	68.8469414224	69.4183416734	69.1097859378	67.6568833841	70.3890472351	68.483029898	69.6904246552	67.2093935813	69.3518979389	70.4956025998	70.1001114952	77.8554621076	87.0358780224	68.5734457989	68.4476732926	75.6260905829	69.9245213539	68.4563337121	73.0248221811	81.6543095072	70.9516440933	68.7742238074	73.3876930263	68.3122577547	77.0925805475	82.2815565363	69.810033564	149.298371001	79.6245606919	74.9968020298	75.8695346647	72.6416237192	70.984471938	73.2423170718	83.3773972924	77.991378885	95.4253115673	72.8260349054	80.5051904892	164.470087466	570.203809119	132.529196856	165.456413071	132.963100639	249.019830639	234.301888176	153.989132566	163.947823719	104.986793412	137.807237818	162.538244654	87.377634842	92.3046026841	91.9916873741	96.5405756124	81.3604945588	85.8838164441	103.628543778	85.4556432004	86.3203389572	102.675751955	94.398630195
BacDMH6309	30.6330711808	151.206722249	58.7809547538	32.597536441	54.1213000415	31.7882283107	33.144727503	39.5340054426	0.0	30.8619356208	34.1665745613	38.6155916156	136.536734037	68.176497082	70.2943118902	30.8960649574	33.4050428629	34.5470506916	34.0072538858	33.6054397743	35.0805309682	34.3692653908	33.8149254099	33.8989126585	34.8515731844	34.2569417712	34.7667911893	34.07260582	65.0016630732	131.770567545	151.768676633	313.498331883	217.681454905	50.0963785353	336.731622948	328.923018716	53.6318586916	539.197375902	135.433685079	145.15187045	109.400458398	89.113669112	44.320809559	68.0841492235	131.931795532	184.623246126	1279.20500514	72.6503311099	601.743517791	84.5611880079	778.950164939	48.8173097827	48.3523722273	436.645302608	161.48943844	52.6075579099	231.940535519	256.086438587	188.404313968	114.371177383	167.350574535	161.150390585	78.5092711266	29.633448942	132.765051821	94.9562666799	73.4996305438	52.0299248344	136.170714881	48.7995400509	38.4894492209	36.6385551904	35.3579652983	37.3555021309	35.3298056162	35.2117325383	34.7947246973	38.5586691733	35.8850407739	36.5086100377	33.1448670617	35.6094550007	41.9388224996	39.1362773539	42.468920217	48.7934351772	48.2997688536	42.9516955057	44.0526119703	48.5089248575	40.3134305013	39.7558769706	40.3021746835	38.6434800042	41.4947593112	38.6964657974	45.3113155665	39.1146911969	37.8611599992	37.7224215568	38.4704763109	37.977718005	39.595405329	39.5378542425	37.9676288061	38.0633129658	39.660848836	38.3032242024	58.0751763132	97.7600952951	41.1635698124	50.1979020616	44.3617755259	107.57938245	90.6455093365	42.5686012956	45.0201332238	38.9880343494	40.3031842573	39.4081336392	37.7186167167	42.621580124	38.5074059774	40.2984079081	37.5430840102	39.9398346568	43.9987314067	42.4128745566	54.7599544811	68.1143107295	38.8436731917	39.0933653903	51.180686968	41.9752723109	38.5074926829	48.5069774498	62.3420519351	45.400465021	40.9794380228	50.0469314998	38.4845794479	53.6430005595	61.1512510784	42.3860034614	140.990272539	59.211491352	50.9592885549	51.6235413084	46.9906967558	43.7623470067	47.3942022578	65.2774831607	55.3056546917	79.7570783126	49.558982716	59.0133863442	157.141502897	568.82488472	122.015670811	157.295616434	123.00888634	244.746235754	229.017862292	145.034547149	155.806478192	89.9573307614	127.392502023	154.122932064	68.1517163064	74.2930116409	73.2870752663	79.527456154	59.2169457235	65.3420650074	87.8181944744	64.6470693417	65.7176319848	86.9366351419	76.7401459854
BacDMH6310	15.1366147004	136.472539494	38.9494460436	10.5028839577	33.8143624142	13.2355565411	26.5863645243	43.651477549	30.8619356208	0.0	12.1005154258	18.2365628619	118.880231849	62.7139864982	60.0714389008	25.4554247185	23.3732986004	18.3532782523	27.5279122332	18.975660098	24.4026951792	15.6195822536	23.4733690336	18.9384683633	15.6097470375	29.2343040477	19.9094464917	22.8188955182	47.0175635406	115.577658303	134.960516712	302.498466215	202.237705547	32.0157561	325.297575727	318.509102246	44.4705019578	556.184633562	124.040098197	137.231884533	93.5470420238	97.0900371293	44.3509701771	59.4491065323	127.56933348	179.578760349	1278.64312799	62.42743376	600.771329156	71.7135501619	780.543431953	42.6751913041	32.8973519068	436.759656103	160.48163703	40.4036219278	221.011421209	255.3734846	207.763479472	123.038154045	190.886206807	173.010361572	95.4169278025	43.7758386277	156.107596514	106.585686906	80.7672031704	54.3295617769	140.321588957	44.6857609534	35.5092311292	29.5417590294	30.9906108233	28.9648900203	31.3967798625	25.1094205224	27.8380802506	33.417469376	30.9053633429	31.299485986	23.1452634822	29.7074697659	38.8438417602	35.6457231494	39.2867325455	46.1582928124	45.8215549572	40.0824112	40.9067777537	45.8426972667	36.9646950675	36.1978938433	36.63386948	34.7358951972	37.9120043097	35.044266606	42.465742589	35.8221899046	33.8903125554	33.6554789194	34.8616535166	34.283280028	36.5041649374	36.1881040697	34.2587954823	34.4326285244	36.422005173	34.7931670462	56.1726878148	97.0913645044	37.9597377951	47.7749429783	40.7651728389	106.946655299	89.8990641477	39.7426461519	42.3032445502	35.5223809792	37.0150998581	35.9859255562	33.3785164754	40.3451846506	34.9401888926	37.2087228726	32.8923660024	36.6082161651	40.6580074577	39.1836516103	52.3151413948	66.6612673771	35.3207130275	35.7821669752	48.5233663348	39.0294438493	35.1814766732	45.7581271305	60.1278458036	41.8844351971	36.9888187651	49.928395637	35.0448894479	51.7646710299	59.7295875482	39.3622841297	140.604053062	57.200629779	48.2857158312	49.60483629	44.7444009069	41.4344796677	45.0055561596	62.5837439399	53.2661243722	78.6551897217	48.0800185474	57.582829085	156.961487121	569.034123627	121.785133987	156.963961157	122.768969615	244.756163024	228.742790404	144.583480803	155.266481324	88.889590021	126.559354756	153.461532989	66.7003490544	72.2981818849	71.5497195898	77.862636539	56.924013273	63.3467926505	86.2449713299	62.5404529866	63.5468967239	85.3936243541	75.0392468348
