OTUID	BacAhBulksoildry	BacAhBulksoilwet	BacAhMH63dry	BacAhMH63wet	BacAhMH63ZHdry	BacAhMH63ZHwet	BacAhWYJ7DEP1dry	BacAhWYJ7DEP1wet	BacHnBulksoildry	BacHnBulksoilwet	BacHnMH63dry	BacHnMH63wet	BacHnMH63ZHdry	BacHnMH63ZHwet	BacHnWYJ7DEP1dry	BacHnWYJ7DEP1wet
OTU_2	0.006	0	2.529	1.299	0.995	0.932	0.52	0.233	0	0	136.45	61.718	98.095	42.457	0.359	25.583
OTU_2077	0	0	0.048	0	0	0.045	0	0	0.322	0.231	0.924	0.401	0.485	0.618	11.754	2.423
OTU_7	0.043	0.045	0.587	0.444	0.606	1.147	0.232	0.241	0.346	0.052	9.084	3.801	2.985	5.409	79.89	2.607
OTU_13	0.16	0.144	1.897	1.455	1.049	4.294	1.456	1.62	0.929	1.087	23.485	13.546	24.675	20.149	9.942	17.619
OTU_21	0.027	0.028	0.229	0.106	0.056	0.245	0.062	0.065	0.054	0.022	10.173	1.589	3.185	1.516	4.255	0.287
OTU_4	0.012	0.012	0.472	0.53	0.571	0.495	0.401	0.41	0.206	0.06	26.576	3.359	13.556	6.606	79.085	3.57
OTU_22	0.164	0.28	4.014	3.07	4.34	5.326	7.078	1.996	0.084	0.016	24.665	15.261	4.934	14.296	12.815	7.888
OTU_14	0	0	0.632	0.188	0.278	1.434	1.439	0.559	0	0	14.463	1.969	4.681	2.199	13.927	2.044
OTU_26	0.179	0.209	0.431	0.316	0.338	0.574	0.15	0.206	0.029	0.016	14.695	9.403	7.07	8.824	9.96	4.304
OTU_6	0.21	0.219	4.71	1.781	6.478	2.963	4.897	2.685	5.503	2.731	4.754	3.99	0.876	3.233	13.496	0.981
OTU_19	0.011	0	0.406	0.357	0.513	0.769	0.399	0.932	0	0	13.903	1.249	5.388	1.492	8.106	0.714
OTU_11	0.311	0.273	4.74	1.962	3.91	3.242	8.502	1.468	0.113	0.024	15.896	20.711	17.434	11.986	3.216	10.187
OTU_3	1.521	1.574	103.498	60.678	51.458	106.05	80.632	37.083	2.277	0.839	1.42	6.08	5.628	9.935	3.656	24.39
OTU_1380	0.016	0.012	0.181	0.817	0.394	2.865	1.485	2.881	0.015	0.423	2.143	7.575	0.482	10.041	0.521	4.626
OTU_9	0.072	0.07	3.777	7.022	1.153	4.349	1.076	3.126	0.42	0.107	2.471	13.602	4.462	20.089	3.566	29.986
OTU_142	0.209	0.213	2.493	1.585	2.403	2.557	6.156	0.849	0.244	0.137	1.071	12.706	0.556	10.965	1.282	7.415
OTU_10	0	0	1.381	6.039	1.149	9.231	11.224	7.419	0	0	0.084	0.624	0.037	1.07	0.309	2.576
OTU_143	0.024	0.013	0.143	1.472	0.189	2.33	0.403	1.084	0.008	0.144	0	6.009	0	10.008	0	13.59
OTU_15	0	0	0.032	0.125	0.023	0.259	0.269	0.264	0	0	0	7.875	0	10.873	0	11.05
OTU_23	0.516	0.461	0.363	3.001	0.585	3.92	1.272	5.362	0.385	0.103	0	3.529	0	9.019	0.175	20.006
OTU_5	0	0	0	0	0	0	0	0	0	0	0	0	0	122.504	0	0
