TABS1	TABS2	TABS3	TABS4	TABS5	TAD1	TAD10	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH1	TAH10	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_1	3	3	3	4	4	7717	0	1	46	2	7240	1	45	2951	0	2	3	4	5	2	8513	11	7943	55	1	3	3	5	3	3	0	0	1	0	1	0	0	0	0	0
OTU_10	52	66	21	40	27	50	70	228	40	131	17	54	352	117	138	60	61	27	34	22	68	167	16	376	150	111	66	237	52	99	194	170	150	17	17	47	58	251	55	46
OTU_100	12	11	5	2	4	1	4	12	12	8	1	9	7	3	12	15	13	5	3	5	1	8	1	9	20	6	3	4	5	6	6	5	10	5	9	3	1	5	3	5
OTU_1000	4	8	15	19	23	0	1	1	0	2	0	0	1	2	1	9	14	20	18	18	0	5	0	1	0	3	2	0	1	1	1	1	0	0	1	1	1	0	1	0
OTU_1001	11	18	14	20	9	0	1	3	1	2	0	1	1	1	3	12	18	21	23	11	1	5	0	4	5	10	9	2	5	20	3	5	4	2	3	5	4	0	8	6
OTU_1002	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1003	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1004	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	3	6	8	3	8	0	0	0	0	0	0	0	0	0	0	5	4	4	8	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	1	0	0	0	0	1	1	0	0
OTU_1007	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8	0	0	0	0	1	1	1	0	0	0
OTU_1008	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	15	14	24	18	17	0	0	2	1	1	0	0	2	1	0	22	12	29	32	20	0	1	0	1	0	8	6	2	2	13	0	3	2	2	1	3	3	1	2	9
OTU_101	26	29	16	10	15	1	26	21	51	7	11	25	6	14	22	27	30	10	12	12	1	10	11	10	37	8	17	13	7	12	4	5	7	2	15	3	10	4	5	10
OTU_1010	1	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0	4	4	8	4	0	0	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	1	0
OTU_1011	8	1	2	3	3	0	0	0	0	0	0	0	0	0	0	3	1	5	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1012	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	3	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1013	15	12	13	13	9	0	5	1	0	2	0	1	2	2	0	15	13	12	14	14	0	2	1	2	1	14	6	34	28	1	8	9	32	2	2	3	4	19	24	1
OTU_1014	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	4	1	0	1	1	0	1	1	1	1	1
OTU_1015	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	12	0	0	2	2	2	0	0	0	1	11	0	0
OTU_1016	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	2	1	4	10	0	0	2	0	1	1	1	0	3	6
OTU_1017	4	1	4	3	5	0	0	3	0	1	3	0	3	3	1	6	2	3	2	2	0	2	2	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0
OTU_1018	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	0	0	5	13	8	2	2	1	1	6	3	11	0	0	0	0	0	7	3	1	11	19	18	0	16	2	1	20	8	6	5	1	0	0	9	1	1
OTU_1020	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0
OTU_1021	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1022	12	14	8	6	5	0	1	1	0	3	0	1	4	2	2	13	18	7	5	10	0	4	0	6	2	19	4	6	1	3	4	12	1	0	1	2	2	5	0	1
OTU_1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1025	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	1	0	0	0	1	1	1	0
OTU_1026	1	2	4	2	4	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1027	1	3	5	4	4	0	1	0	0	0	0	0	0	1	0	3	2	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1028	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU_1029	7	2	4	5	2	0	0	0	0	0	0	0	0	2	1	2	2	3	6	3	0	0	0	0	2	1	1	1	0	4	0	1	0	0	0	0	0	1	0	0
OTU_103	19	17	21	16	21	2	9	12	4	17	1	5	58	16	10	22	18	24	20	18	5	30	2	94	15	46	40	115	45	26	54	27	56	10	7	17	13	75	31	10
OTU_1030	4	1	3	5	4	0	0	0	0	0	0	0	0	0	0	8	3	2	5	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU_1031	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	2	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	0
OTU_1032	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1035	4	5	3	6	2	0	0	0	0	0	0	0	0	0	0	3	3	5	3	6	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1036	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1037	4	3	5	3	2	0	0	0	0	0	0	0	0	0	0	3	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1038	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	2	1	0	1
OTU_1039	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	3	1	2	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_104	1	0	0	0	0	0	9	11	3	10	1	1	5	5	4	2	0	0	0	0	0	15	2	7	6	29	8	5	20	18	43	22	14	1	2	9	6	4	20	8
OTU_1040	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_1042	8	3	6	3	6	0	0	0	0	0	0	0	0	0	0	8	8	9	7	6	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU_1044	2	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1
OTU_1045	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	2	1	0	0	0	0	0	2	3	1	0	0	0	2	0	0	0	0	3	0	0	0
OTU_1046	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1048	7	1	0	1	1	0	0	0	0	0	0	0	0	0	0	6	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1049	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	1	3	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_105	61	72	35	53	39	2	11	22	18	15	2	58	24	6	16	50	67	45	57	30	1	13	3	19	13	15	23	16	2	26	16	22	7	6	11	9	23	20	4	10
OTU_1050	0	1	2	9	1	0	0	0	0	0	0	0	0	0	0	2	1	1	8	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1054	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
OTU_1055	5	2	5	0	0	0	0	0	0	0	0	0	0	1	0	6	2	3	1	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
OTU_1056	1	4	3	5	3	0	0	0	0	0	0	0	0	0	0	2	6	6	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1058	2	0	1	1	1	0	2	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1059	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_106	37	83	97	111	87	1	2	8	3	7	1	1	6	3	4	37	73	82	92	59	1	6	0	5	4	7	9	2	3	14	4	11	2	3	5	6	10	3	5	7
OTU_1060	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1061	3	8	13	11	3	0	0	0	0	0	0	0	0	1	0	10	5	9	8	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
