Class	BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
|Acidobacteria|Acidobacteria_Gp1|Desulfovibrionales|Desulfovibrionaceae|Aminicenantes_genera_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.82376264797201e-08	2.51004016064257e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72932596464115e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15901715345387e-07	0	0	1.10314396028682e-07	0	0	2.07684319833853e-07	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Desulfovibrionales|Desulfovibrionaceae|Gp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04367165386171e-06	0	1.73671413685307e-07	0	3.45423143350604e-06	0	2.70407300997127e-06	0	2.61780104712042e-07	2.8587764436821e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Holophagales|Holophagaceae|Gp1	0	0	0	0	0	0	0	0	0	9.14241327761089e-09	0	0	0	0	0	0	0	0	0	0	0	0	6.89150460922825e-09	0	0	0	0	1.17496231909201e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35424891984679e-09	0	0	9.5537835033207e-09	1.70046464256426e-08	0	1.25158048200897e-08	2.09132094694627e-08	9.79570066798828e-09	0	0	0	0	2.93004479950597e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65497076023392e-07	2.02183582693085e-06	4.52693526482571e-07	6.94685654741229e-07	4.63320463320463e-07	4.44115470022206e-06	2.52525252525252e-06	5.07013689369613e-06	1.08493490390577e-06	2.48691099476439e-06	2.715837621498e-06	1.90053848590434e-06	0	0	0	0	0	0	0	1.0489877268436e-07	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Selenomonadales|Veillonellaceae|Gp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03317166663035e-08	0	0	0	1.76093801624123e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2952893577349e-08	0	0	2.33285565921861e-08	0	4.34333385011331e-09	0	0	0	0	0	9.82606737060683e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92657667812205e-09	6.43674649221383e-09	9.5537835033207e-09	0	2.20547229641169e-08	0	6.97106982315424e-09	0	3.05077874788474e-08	1.14254288915582e-07	3.4836654584502e-08	2.59757795078166e-08	0	3.37137934929007e-08	0	0	0	0	2.09907310179507e-08	0	0	0	1.43614277327212e-08	3.68389560171415e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29809497034152e-08	2.93801703506677e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17192866151473e-08	0	0	0	0	0	0	0	0	0	1.32481635395701e-08	0	0	0	0	0	0	0	0	0	7.12719298245614e-06	6.46987464617873e-06	3.01795684321714e-06	1.56304272316777e-06	3.86100386100386e-06	5.92153960029608e-06	3.10800310800311e-06	9.46425553489944e-06	2.94482331060136e-06	3.1413612565445e-06	6.28930817610063e-06	6.81026290782388e-06	3.45065562456867e-07	6.2758880381574e-07	2.31803430690774e-07	2.63469898564089e-07	3.15192267283043e-07	4.41257584114727e-07	2.58631837579206e-07	0	1.03842159916926e-07	3.77833753148615e-07	2.44977951984321e-07	1.09158388822181e-07
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidicapsa	6.16418239574663e-08	3.75468198888475e-08	0	7.92469472665905e-09	1.48406026269729e-08	2.33646342318642e-08	0	2.10645902497188e-07	1.19811308352002e-07	9.14241327761089e-09	2.32104510248088e-08	8.1504980898754e-09	0	2.32321824247056e-08	4.79149474605384e-08	8.32544309440268e-08	8.23795327247539e-08	1.13648883329339e-07	3.82695252128531e-08	3.55960943872393e-08	3.45555678791188e-08	8.80469008120617e-08	3.44575230461413e-08	0	9.22858264725575e-08	2.31680217165712e-08	0	1.0574660871828e-07	6.65792160361261e-08	1.50949626527597e-08	3.19330711493061e-08	1.60963792006588e-08	2.82198075384522e-08	1.79042126095572e-08	1.22427902550597e-08	0	7.47028837667705e-08	3.42940790525112e-08	1.4595878038489e-07	2.14156928905159e-08	9.91992329461532e-09	4.36137863445115e-08	6.68150794470468e-09	3.81503066530502e-07	1.51613074692872e-07	1.12735606024094e-07	0	5.96509938505826e-08	6.5905787154698e-08	2.95991315760357e-08	1.29843188597623e-08	5.83213914804652e-08	8.47927627458859e-08	3.47466708009065e-08	1.67872801472502e-08	3.47509201678456e-08	2.13287579389416e-08	2.40300378572013e-08	2.04306935515346e-07	2.94782021118205e-08	5.6765270597262e-08	3.15110290017949e-08	4.07480472076774e-08	1.05309119627455e-08	1.76170317197484e-08	1.22951909998079e-07	5.39502216753329e-08	1.65949876199466e-07	4.5566140874352e-07	1.90041267356391e-07	3.33062388899656e-07	1.34476303781082e-07	1.72209614280918e-07	1.6577445351877e-07	5.22704717763217e-08	5.01254935190807e-08	1.03045496815587e-07	4.50572254454968e-08	5.73227010199242e-08	4.25116160641066e-08	1.02922040499212e-07	6.25790241004487e-08	2.09132094694627e-08	8.81613060118946e-08	9.15233624365423e-08	3.04678103774886e-07	2.78693236676016e-07	1.558546770469e-07	3.51605375940717e-07	6.74275869858014e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07439855437526e-08	0	0	0	0	0	0	0	0	1.82748538011696e-06	4.04367165386171e-07	3.01795684321714e-07	3.47342827370615e-07	7.72200772200772e-07	9.86923266716013e-07	0	1.69004563123204e-07	0	2.61780104712042e-07	0	1.58378207158695e-07	1.15021854152289e-07	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidipila	0	3.75468198888475e-08	0	1.58493894533181e-08	4.45218078809186e-08	7.00939026955926e-08	0	0	0	0	0	0	8.17924751421019e-08	4.64643648494112e-08	7.18724211908076e-08	0	1.83065628277231e-08	0	0	4.27153132646872e-08	0	1.76093801624123e-08	0	0	6.59184474803982e-09	7.72267390552373e-09	7.64148708637663e-09	4.69984927636802e-08	1.1096536006021e-08	5.03165421758655e-09	5.32217852488436e-09	0	0	0	0	0	0	0	5.61379924557268e-09	1.0707846445258e-08	0	0	6.68150794470468e-09	0	0	6.26308922356076e-08	0	3.1529811035308e-07	9.8858680732047e-08	0	0	5.83213914804652e-08	1.69585525491772e-08	3.47466708009065e-08	5.59576004908341e-09	0	5.33218948473539e-08	2.40300378572013e-08	5.5720073322367e-08	0	2.27061082389048e-08	3.15110290017949e-08	2.03740236038387e-08	4.2123647850982e-08	0	1.53689887497599e-08	1.34875554188332e-08	0	0	1.35743762397422e-07	1.85034660499809e-08	4.03428911343247e-08	1.01299773106422e-07	9.2096918621539e-09	1.17608561496724e-07	0	7.92657667812205e-09	0	0	0	5.14610202496062e-08	6.25790241004487e-08	2.7884279292617e-08	8.81613060118946e-08	6.10155749576948e-08	0	2.78693236676016e-07	2.59757795078166e-08	5.86008959901194e-08	8.42844837322518e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96588116922382e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22540623455568e-08	0	0	0	0	0	0	0	0	0	1.69004563123204e-07	0	1.30890052356021e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Candidatus_Koribacter	0	3.75468198888475e-08	1.53313981598809e-08	7.92469472665905e-09	0	2.33646342318642e-08	5.05309940912019e-08	3.82992549994887e-08	2.39622616704004e-08	0	0	0	2.72641583807006e-08	2.32321824247056e-08	2.39574737302692e-08	0	2.74598442415846e-08	4.13268666652141e-08	3.82695252128531e-08	7.11921887744787e-09	6.91111357582376e-09	3.52187603248247e-08	6.89150460922825e-09	7.88336601927859e-09	0	0	1.52829741727533e-08	1.17496231909201e-08	1.1096536006021e-08	5.03165421758655e-09	5.32217852488436e-09	0	0	0	2.44855805101195e-08	0	1.24504806277951e-08	2.28627193683408e-08	1.68413977367181e-08	0	9.91992329461532e-09	0	1.33630158894094e-08	5.08670755374003e-08	2.67552484752127e-08	7.51570706827291e-08	1.71858177364538e-08	2.55647116502497e-08	0	5.91982631520713e-09	1.29843188597623e-08	2.33285565921861e-08	0	4.34333385011331e-09	2.23830401963336e-08	3.47509201678456e-08	0	8.01001261906711e-09	5.5720073322367e-08	9.82606737060683e-09	0	0	0	0	0	4.61069662492797e-08	0	6.63799504797865e-08	0	5.42975049589687e-08	3.70069320999618e-08	5.37905215124329e-08	2.02599546212845e-08	8.28872267593851e-08	2.61352358881609e-08	2.50627467595404e-08	2.37797300343661e-08	3.21837324610691e-08	2.86613505099621e-08	5.95162624897492e-08	2.20547229641169e-08	5.0063219280359e-08	1.39421396463085e-08	9.79570066798828e-09	1.2203114991539e-07	1.52339051887443e-07	3.4836654584502e-08	2.59757795078166e-08	2.93004479950597e-08	1.68568967464504e-08	1.57399941840721e-07	1.70238874080944e-07	7.83432885782282e-08	4.10123992786739e-07	2.09907310179507e-08	5.05984446712754e-07	1.55799962072057e-07	2.92717300018202e-07	2.87228554654424e-08	2.21033736102849e-07	1.15481022050928e-07	2.46244497803499e-07	3.08512745921294e-07	3.53840983685011e-07	1.90822630909777e-07	1.68670873516688e-06	3.70401689891038e-08	0	3.42800549602772e-07	5.18068770866299e-08	1.02408205764712e-07	2.10396528814949e-07	4.43544572118181e-07	5.02008032128514e-08	9.72736322600538e-08	1.74147029230595e-08	8.22610510760325e-08	2.06731668991129e-07	5.66785935889159e-07	3.22388047926441e-07	9.04216311585135e-07	5.61823281787597e-08	6.4241601513971e-08	2.43298577011927e-07	1.12052019424207e-07	6.62760796596337e-08	1.83434916913317e-07	1.16828547330736e-07	1.46900851753339e-08	5.53279934271748e-08	1.16653165941991e-08	3.23882293447912e-08	7.12650375093277e-09	5.30022023634518e-08	3.50970902241098e-08	2.85177170959562e-07	4.27620998168755e-09	2.10034410992228e-08	2.26304685735956e-08	1.54452876466732e-08	1.40135377312444e-08	3.86466298232058e-08	5.02459302532061e-08	2.55171817767768e-09	5.7602280865995e-08	9.97269147974028e-09	1.66436277249884e-08	2.80918209258783e-08	1.93712105069446e-08	0	3.30493365287856e-08	1.87942389536055e-07	7.86364582824899e-08	1.88174111408445e-08	7.03157196908837e-08	2.69071027970794e-08	0	2.59736387306849e-08	2.74573335345956e-08	1.2130553971103e-08	1.31826128297196e-08	1.45542131121322e-08	1.06137732813117e-07	4.58618594098863e-07	5.29926541582806e-08	8.59518843500206e-08	3.39166569662672e-07	5.32278706112649e-08	4.06613817713399e-08	1.68725318649481e-07	6.19409626809912e-08	7.56638119748931e-07	8.96503440472032e-07	9.49011509611589e-08	8.7719298245614e-06	3.23493732308937e-06	4.225139580504e-06	2.95241403265023e-06	6.7953667953668e-06	6.16827041697508e-06	2.52525252525253e-06	3.7181003887105e-06	1.70489770613763e-06	2.22513089005236e-06	1.71526586620926e-06	2.05891669306303e-06	1.0351966873706e-06	1.50621312915778e-06	1.62262401483542e-06	2.50296403635885e-06	2.10128178188695e-07	1.2134583563155e-06	9.05211431527221e-07	7.34291408790517e-07	2.07684319833853e-07	1.13350125944584e-06	1.95982361587457e-06	1.30990066586617e-06
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Gp1	1.67313522170266e-07	3.37921378999627e-07	1.22651185279047e-07	3.96234736332953e-08	5.93624105078916e-08	1.40187805391185e-07	1.01061988182404e-07	3.25543667495654e-07	1.31792439187202e-07	6.39968929432763e-08	1.77946791190201e-07	8.96554789886294e-08	1.36320791903503e-07	3.7171491879529e-07	1.91659789842154e-07	2.08136077360067e-07	3.93591100796046e-07	1.54975749994553e-07	1.81780244761053e-07	1.06788283161718e-07	1.03666703637356e-07	3.87406363573071e-07	1.79179119839935e-07	2.36500980578358e-08	1.38428739708836e-07	8.49494129607611e-08	7.64148708637664e-08	2.93740579773002e-07	1.88641112102357e-07	1.00633084351731e-07	3.72552496741905e-08	6.43855168026352e-08	1.03472627640991e-07	8.9521063047786e-08	2.69341385611314e-07	1.33835009175017e-07	2.61460093183697e-07	1.48607675894215e-07	3.08758958506498e-07	4.2831385781032e-08	5.95195397676919e-08	5.81517151260153e-08	5.34520635576375e-08	7.75722901945355e-07	2.49715652435319e-07	5.01047137884861e-07	8.59290886822689e-08	1.19301987701165e-07	1.64764467886745e-07	7.69577420976928e-08	9.08902320183363e-08	2.3328556592186e-07	1.35668420393418e-07	8.2523343152153e-08	8.95321607853345e-08	9.26691204475881e-08	1.3863692660312e-07	8.01001261906711e-08	3.34320439934202e-07	8.84346063354615e-08	2.384141365085e-07	3.15110290017949e-07	2.44488283246064e-07	1.36901855515691e-07	1.76170317197484e-08	4.14962696243517e-07	1.34875554188332e-07	9.2931930671701e-07	1.40203510382621e-06	6.51570059507625e-07	9.43676768549026e-07	5.37905215124329e-07	5.26758820153396e-07	4.69694284969849e-07	2.35217122993448e-07	2.67335965435098e-07	2.85356760412394e-07	2.31722873719698e-07	6.68764845232449e-07	2.97581312448746e-07	4.04336587675477e-07	4.38053168703141e-07	2.57929583456707e-07	3.72236625383555e-07	7.01679112013491e-07	2.24700101533978e-06	9.75426328366056e-07	3.117093540938e-07	9.08313887846851e-07	4.04565521914809e-07	9.05049665584149e-07	7.23515214844012e-07	2.35029865734684e-07	1.16201797956243e-06	3.98823889341064e-07	8.15197164148326e-07	9.97119757261167e-07	5.58823936398385e-07	1.72337132792654e-07	4.23647994197128e-07	8.94977920894692e-07	1.01233849096994e-06	1.13121340171141e-06	1.14998319697629e-06	6.54249020262091e-07	1.25676337130082e-06	4.07441858880142e-07	2.42852029954584e-07	6.23273726550495e-07	1.38151672231013e-07	3.5842872017649e-07	8.41586115259794e-07	4.43544572118181e-07	4.26706827309237e-07	3.56669984953531e-07	6.26929305230143e-08	2.13878732797684e-07	4.59403708869177e-07	1.07059565667952e-06	3.653731209833e-07	1.58237854527399e-06	2.24729312715038e-07	1.92724804541913e-07	1.12291650928582e-07	1.92089176155784e-07	4.24166909821655e-07	1.03182140763741e-06	2.33657094661473e-07	1.32210766578005e-07	1.65983980281524e-07	3.88843886473304e-08	1.03642333903332e-07	4.98855262565293e-08	8.24478703431474e-08	8.52357905442667e-08	3.44589081576137e-07	5.13145197802507e-08	1.17619270155648e-07	4.52609371471912e-08	9.26717258800392e-08	6.07253301687257e-08	1.93233149116029e-07	2.87119601446892e-08	4.59309271981982e-08	2.49609883752644e-07	1.09699606277143e-07	1.16505394074919e-07	1.6855092555527e-07	1.09770192872686e-07	1.70255612412417e-08	1.32197346115142e-07	1.789927519391e-07	1.88727499877976e-07	2.25808933690134e-07	2.34385732302946e-07	1.52473582516783e-07	7.29442946031863e-08	1.81815471114794e-07	4.11860003018934e-08	1.94088863537648e-07	2.50469643764672e-07	2.6197583601838e-07	6.36826396878701e-07	9.58929787661258e-07	2.51715107251832e-07	5.04967320556372e-07	7.63124781741013e-07	1.27746889467036e-07	1.0165345442835e-07	4.12439667809843e-07	2.35375658187766e-07	7.12129995057817e-07	1.06459783556054e-06	4.74505754805795e-07	9.77704678362573e-05	0.000238172260412454	6.29244001810774e-05	0.000103160819729073	7.27413127413128e-05	0.000199111769059956	0.000123931623931624	0.000132330572925469	9.45443273403595e-05	7.29057591623037e-05	7.10405946255003e-05	8.42572062084257e-05	1.00069013112491e-05	1.20497050332622e-05	9.04033379694019e-06	8.69450665261495e-06	5.98865307837781e-06	9.707666850524e-06	5.56058450795293e-06	6.5037239064303e-06	8.82658359293873e-06	4.53400503778338e-06	1.07790298873101e-05	1.01517301604628e-05
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Granulicella	8.80597485106662e-09	0	0	0	0	1.16823171159321e-08	0	1.91496274997443e-08	0	0	0	0	0	0	0	0	0	0	9.56738130321328e-09	0	6.91111357582376e-09	0	1.37830092184565e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27167688843501e-08	8.91841615840425e-09	0	8.59290886822688e-09	8.52157055008323e-09	0	0	0	1.1664278296093e-08	1.69585525491772e-08	0	5.59576004908341e-09	0	0	8.01001261906711e-09	0	0	1.13530541194524e-08	0	0	1.05309119627455e-08	0	0	0	0	1.05152632786966e-07	2.71487524794844e-08	1.85034660499809e-08	0	2.02599546212845e-08	2.76290755864617e-08	1.30676179440804e-08	0	7.92657667812205e-09	0	9.5537835033207e-09	0	0	0	6.97106982315424e-09	9.79570066798828e-09	3.05077874788474e-08	0	0	0	2.93004479950597e-08	3.37137934929007e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30727202973899e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.789927519391e-08	0	0	0	0	0	0	0	0	0	0	0	1.04231498658832e-07	0	0	0	0	0	0	0	0	1.8677155009834e-08	0	1.09649122807018e-06	4.04367165386171e-07	6.03591368643428e-07	1.73671413685307e-07	3.08880308880309e-07	2.46730816679003e-07	3.88500388500389e-07	1.01402737873923e-06	0	3.92670157068063e-07	5.71755288736421e-07	3.1675641431739e-07	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Telmatobacter	7.92537736595995e-08	7.5093639777695e-08	1.07319787119166e-07	0	1.48406026269729e-08	7.00939026955926e-08	0	1.3404739249821e-07	7.18867850112013e-08	0	4.64209020496176e-08	8.1504980898754e-09	0	1.16160912123528e-07	7.18724211908076e-08	1.87322469624061e-07	1.37299221207923e-07	1.13648883329339e-07	9.56738130321327e-08	7.11921887744787e-08	1.38222271516475e-08	1.58484421461711e-07	1.03372569138424e-07	1.57667320385572e-08	1.25245050212756e-07	4.63360434331424e-08	4.58489225182598e-08	9.39969855273605e-08	1.22061896066231e-07	4.02532337406924e-08	1.59665355746531e-08	1.60963792006588e-08	9.40660251281741e-09	1.79042126095572e-08	1.22427902550597e-08	7.87264759853043e-09	4.98019225111804e-08	5.7156798420852e-08	2.47007166805198e-07	5.35392322262898e-08	9.91992329461532e-09	2.18068931722557e-08	2.00445238341141e-08	5.46821062027053e-07	1.51613074692872e-07	2.88102104283795e-07	6.87432709458151e-08	1.10780417151082e-07	1.97717361464094e-07	6.51180894672784e-08	1.55811826317148e-07	1.39971339553116e-07	6.78342101967088e-08	4.34333385011332e-08	2.7978800245417e-08	3.47509201678456e-08	8.53150317557663e-08	4.00500630953355e-08	2.22880293289468e-07	8.84346063354615e-08	1.13530541194524e-07	7.87775725044873e-08	6.11220708115161e-08	3.15927358882365e-08	3.52340634394969e-08	2.92010786245438e-07	8.09253325129993e-08	5.31039603838292e-07	1.26183159344359e-06	7.05867564466594e-07	8.3265597224914e-07	2.2860971642784e-07	4.0519909242569e-07	4.05226441934772e-07	2.09081887105287e-07	1.67084978396936e-07	2.14017570309295e-07	1.22298183352063e-07	2.29290804079697e-07	1.61544141043605e-07	1.61734635070191e-07	1.62705462661167e-07	1.39421396463085e-07	1.46935510019825e-07	3.35585662267322e-07	7.23610496465353e-07	5.92223127936534e-07	3.117093540938e-07	3.80905823935776e-07	1.17998277225153e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30727202973899e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96903426569315e-09	0	0	0	0	1.31826128297196e-08	0	2.65344332032792e-08	2.08462997317665e-08	1.32481635395701e-08	0	0	0	0	0	0	2.22540623455568e-08	0	0	5.84795321637426e-06	6.8742418115649e-06	1.65987626376943e-06	2.60507120527961e-06	3.55212355212356e-06	5.67480878361708e-06	9.71250971250971e-07	8.11221902991381e-06	1.23992560446373e-06	1.43979057591623e-06	3.57347055460263e-06	4.11783338612606e-06	0	0	0	1.31734949282045e-07	0	0	1.29315918789603e-07	0	0	0	0	0
