Class	BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
|Acidobacteria|Acidobacteria_Gp1|Desulfovibrionales|Desulfovibrionaceae|Aminicenantes_genera_incertae_sedis|Desulfovibrio_carbinolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.82376264797201e-08	2.51004016064257e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72932596464115e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15901715345387e-07	0	0	1.10314396028682e-07	0	0	2.07684319833853e-07	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Desulfovibrionales|Desulfovibrionaceae|Gp1|Desulfovibrio_alcoholivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04367165386171e-06	0	1.73671413685307e-07	0	3.45423143350604e-06	0	2.70407300997127e-06	0	2.61780104712042e-07	2.8587764436821e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Holophagales|Holophagaceae|Gp1|Acanthopleuribacter_pedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89150460922825e-09	0	0	0	0	1.17496231909201e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35424891984679e-09	0	0	0	1.70046464256426e-08	0	1.25158048200897e-08	2.09132094694627e-08	9.79570066798828e-09	0	0	0	0	2.93004479950597e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82748538011696e-07	8.08734330772341e-07	1.50897842160857e-07	5.21014241055922e-07	4.63320463320463e-07	1.72711571675302e-06	1.55400155400155e-06	4.90113233057293e-06	6.19962802231866e-07	1.96335078534031e-06	1.85820468839337e-06	1.58378207158695e-06	0	0	0	0	0	0	0	1.0489877268436e-07	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Holophagales|Holophagaceae|Gp1|Acidobacterium_capsulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5537835033207e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21310149615851e-06	1.50897842160857e-07	0	0	1.48038490007402e-06	7.77000777000777e-07	1.69004563123204e-07	3.09981401115933e-07	2.61780104712042e-07	8.57632933104631e-07	3.1675641431739e-07	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Holophagales|Holophagaceae|Gp1|Terriglobus_saanensis	0	0	0	0	0	0	0	0	0	9.14241327761089e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82748538011696e-07	0	1.50897842160857e-07	1.73671413685307e-07	0	1.23365408339502e-06	1.94250194250194e-07	0	1.54990700557967e-07	2.61780104712042e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Selenomonadales|Veillonellaceae|Gp1|Edaphobacter_modestus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03317166663035e-08	0	0	0	1.76093801624123e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2952893577349e-08	0	0	2.33285565921861e-08	0	4.34333385011331e-09	0	0	0	0	0	9.82606737060683e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92657667812205e-09	6.43674649221383e-09	9.5537835033207e-09	0	2.20547229641169e-08	0	6.97106982315424e-09	0	3.05077874788474e-08	1.14254288915582e-07	3.4836654584502e-08	2.59757795078166e-08	0	3.37137934929007e-08	0	0	0	0	2.09907310179507e-08	0	0	0	1.43614277327212e-08	3.68389560171415e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29809497034152e-08	2.93801703506677e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17192866151473e-08	0	0	0	0	0	0	0	0	0	1.32481635395701e-08	0	0	0	0	0	0	0	0	0	7.12719298245614e-06	6.46987464617873e-06	3.01795684321714e-06	1.56304272316777e-06	3.86100386100386e-06	5.92153960029608e-06	3.10800310800311e-06	9.46425553489944e-06	2.94482331060136e-06	3.1413612565445e-06	6.28930817610063e-06	6.81026290782388e-06	3.45065562456867e-07	6.2758880381574e-07	2.31803430690774e-07	2.63469898564089e-07	3.15192267283043e-07	4.41257584114727e-07	2.58631837579206e-07	0	1.03842159916926e-07	3.77833753148615e-07	2.44977951984321e-07	1.09158388822181e-07
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidicapsa|Acidicapsa_ligni	6.16418239574663e-08	3.75468198888475e-08	0	7.92469472665905e-09	1.48406026269729e-08	2.33646342318642e-08	0	2.10645902497188e-07	1.19811308352002e-07	9.14241327761089e-09	2.32104510248088e-08	8.1504980898754e-09	0	2.32321824247056e-08	4.79149474605384e-08	8.32544309440268e-08	8.23795327247539e-08	1.13648883329339e-07	3.82695252128531e-08	3.55960943872393e-08	3.45555678791188e-08	8.80469008120617e-08	3.44575230461413e-08	0	9.22858264725575e-08	2.31680217165712e-08	0	1.0574660871828e-07	6.65792160361261e-08	1.50949626527597e-08	3.19330711493061e-08	1.60963792006588e-08	2.82198075384522e-08	1.79042126095572e-08	1.22427902550597e-08	0	7.47028837667705e-08	3.42940790525112e-08	1.4595878038489e-07	2.14156928905159e-08	9.91992329461532e-09	4.36137863445115e-08	6.68150794470468e-09	3.81503066530502e-07	1.51613074692872e-07	1.12735606024094e-07	0	5.96509938505826e-08	6.5905787154698e-08	2.95991315760357e-08	1.29843188597623e-08	5.83213914804652e-08	8.47927627458859e-08	3.47466708009065e-08	1.67872801472502e-08	3.47509201678456e-08	2.13287579389416e-08	2.40300378572013e-08	2.04306935515346e-07	2.94782021118205e-08	5.6765270597262e-08	3.15110290017949e-08	4.07480472076774e-08	1.05309119627455e-08	1.76170317197484e-08	1.22951909998079e-07	5.39502216753329e-08	1.65949876199466e-07	4.5566140874352e-07	1.90041267356391e-07	3.33062388899656e-07	1.34476303781082e-07	1.72209614280918e-07	1.6577445351877e-07	5.22704717763217e-08	5.01254935190807e-08	1.03045496815587e-07	4.50572254454968e-08	5.73227010199242e-08	4.25116160641066e-08	1.02922040499212e-07	6.25790241004487e-08	2.09132094694627e-08	8.81613060118946e-08	9.15233624365423e-08	3.04678103774886e-07	2.78693236676016e-07	1.558546770469e-07	3.51605375940717e-07	6.74275869858014e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07439855437526e-08	0	0	0	0	0	0	0	0	1.82748538011696e-06	4.04367165386171e-07	3.01795684321714e-07	3.47342827370615e-07	7.72200772200772e-07	9.86923266716013e-07	0	1.69004563123204e-07	0	2.61780104712042e-07	0	1.58378207158695e-07	1.15021854152289e-07	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidipila|Acidicapsa_ligni	0	3.75468198888475e-08	0	1.58493894533181e-08	4.45218078809186e-08	7.00939026955926e-08	0	0	0	0	0	0	8.17924751421019e-08	4.64643648494112e-08	7.18724211908076e-08	0	1.83065628277231e-08	0	0	4.27153132646872e-08	0	1.76093801624123e-08	0	0	6.59184474803982e-09	7.72267390552373e-09	7.64148708637663e-09	4.69984927636802e-08	1.1096536006021e-08	5.03165421758655e-09	5.32217852488436e-09	0	0	0	0	0	0	0	5.61379924557268e-09	1.0707846445258e-08	0	0	6.68150794470468e-09	0	0	6.26308922356076e-08	0	3.1529811035308e-07	9.8858680732047e-08	0	0	5.83213914804652e-08	1.69585525491772e-08	3.47466708009065e-08	5.59576004908341e-09	0	5.33218948473539e-08	2.40300378572013e-08	5.5720073322367e-08	0	2.27061082389048e-08	3.15110290017949e-08	2.03740236038387e-08	4.2123647850982e-08	0	1.53689887497599e-08	1.34875554188332e-08	0	0	1.35743762397422e-07	1.85034660499809e-08	4.03428911343247e-08	1.01299773106422e-07	9.2096918621539e-09	1.17608561496724e-07	0	7.92657667812205e-09	0	0	0	5.14610202496062e-08	6.25790241004487e-08	2.7884279292617e-08	8.81613060118946e-08	6.10155749576948e-08	0	2.78693236676016e-07	2.59757795078166e-08	5.86008959901194e-08	8.42844837322518e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96588116922382e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22540623455568e-08	0	0	0	0	0	0	0	0	0	1.69004563123204e-07	0	1.30890052356021e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Candidatus_Koribacter|Unassigned	0	3.75468198888475e-08	1.53313981598809e-08	7.92469472665905e-09	0	2.33646342318642e-08	5.05309940912019e-08	3.82992549994887e-08	2.39622616704004e-08	0	0	0	2.72641583807006e-08	2.32321824247056e-08	2.39574737302692e-08	0	2.74598442415846e-08	4.13268666652141e-08	3.82695252128531e-08	7.11921887744787e-09	6.91111357582376e-09	3.52187603248247e-08	6.89150460922825e-09	7.88336601927859e-09	0	0	1.52829741727533e-08	1.17496231909201e-08	1.1096536006021e-08	5.03165421758655e-09	5.32217852488436e-09	0	0	0	2.44855805101195e-08	0	1.24504806277951e-08	2.28627193683408e-08	1.68413977367181e-08	0	9.91992329461532e-09	0	1.33630158894094e-08	5.08670755374003e-08	2.67552484752127e-08	7.51570706827291e-08	1.71858177364538e-08	2.55647116502497e-08	0	5.91982631520713e-09	1.29843188597623e-08	2.33285565921861e-08	0	4.34333385011331e-09	2.23830401963336e-08	3.47509201678456e-08	0	8.01001261906711e-09	5.5720073322367e-08	9.82606737060683e-09	0	0	0	0	0	4.61069662492797e-08	0	6.63799504797865e-08	0	5.42975049589687e-08	3.70069320999618e-08	5.37905215124329e-08	2.02599546212845e-08	8.28872267593851e-08	2.61352358881609e-08	2.50627467595404e-08	2.37797300343661e-08	3.21837324610691e-08	2.86613505099621e-08	5.95162624897492e-08	2.20547229641169e-08	5.0063219280359e-08	1.39421396463085e-08	9.79570066798828e-09	1.2203114991539e-07	1.52339051887443e-07	3.4836654584502e-08	2.59757795078166e-08	2.93004479950597e-08	1.68568967464504e-08	1.57399941840721e-07	1.70238874080944e-07	7.83432885782282e-08	4.10123992786739e-07	2.09907310179507e-08	5.05984446712754e-07	1.55799962072057e-07	2.92717300018202e-07	2.87228554654424e-08	2.21033736102849e-07	1.15481022050928e-07	2.46244497803499e-07	3.08512745921294e-07	3.53840983685011e-07	1.90822630909777e-07	1.68670873516688e-06	3.70401689891038e-08	0	3.42800549602772e-07	5.18068770866299e-08	1.02408205764712e-07	2.10396528814949e-07	4.43544572118181e-07	5.02008032128514e-08	9.72736322600538e-08	1.74147029230595e-08	8.22610510760325e-08	2.06731668991129e-07	5.66785935889159e-07	3.22388047926441e-07	9.04216311585135e-07	5.61823281787597e-08	6.4241601513971e-08	2.43298577011927e-07	1.12052019424207e-07	6.62760796596337e-08	1.83434916913317e-07	1.16828547330736e-07	1.46900851753339e-08	5.53279934271748e-08	1.16653165941991e-08	3.23882293447912e-08	7.12650375093277e-09	5.30022023634518e-08	3.50970902241098e-08	2.85177170959562e-07	4.27620998168755e-09	2.10034410992228e-08	2.26304685735956e-08	1.54452876466732e-08	1.40135377312444e-08	3.86466298232058e-08	5.02459302532061e-08	2.55171817767768e-09	5.7602280865995e-08	9.97269147974028e-09	1.66436277249884e-08	2.80918209258783e-08	1.93712105069446e-08	0	3.30493365287856e-08	1.87942389536055e-07	7.86364582824899e-08	1.88174111408445e-08	7.03157196908837e-08	2.69071027970794e-08	0	2.59736387306849e-08	2.74573335345956e-08	1.2130553971103e-08	1.31826128297196e-08	1.45542131121322e-08	1.06137732813117e-07	4.58618594098863e-07	5.29926541582806e-08	8.59518843500206e-08	3.39166569662672e-07	5.32278706112649e-08	4.06613817713399e-08	1.68725318649481e-07	6.19409626809912e-08	7.56638119748931e-07	8.96503440472032e-07	9.49011509611589e-08	8.7719298245614e-06	3.23493732308937e-06	4.225139580504e-06	2.95241403265023e-06	6.7953667953668e-06	6.16827041697508e-06	2.52525252525253e-06	3.7181003887105e-06	1.70489770613763e-06	2.22513089005236e-06	1.71526586620926e-06	2.05891669306303e-06	1.0351966873706e-06	1.50621312915778e-06	1.62262401483542e-06	2.50296403635885e-06	2.10128178188695e-07	1.2134583563155e-06	9.05211431527221e-07	7.34291408790517e-07	2.07684319833853e-07	1.13350125944584e-06	1.95982361587457e-06	1.30990066586617e-06
|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Gp1|Acidobacterium_capsulatum	8.80597485106662e-09	3.75468198888475e-08	0	0	0	0	1.68436646970673e-08	0	0	0	1.54736340165392e-08	0	0	0	0	2.08136077360067e-08	1.83065628277231e-08	1.03317166663035e-08	9.56738130321328e-09	0	0	3.52187603248247e-08	6.89150460922825e-09	0	0	0	0	1.17496231909201e-08	1.1096536006021e-08	1.00633084351731e-08	0	0	0	0	0	0	1.24504806277951e-08	0	5.61379924557268e-09	0	0	0	0	0	0	1.25261784471215e-08	1.71858177364538e-08	0	0	0	1.29843188597623e-08	0	0	0	0	0	0	0	1.85733577741223e-08	0	1.13530541194524e-08	1.57555145008975e-08	2.03740236038387e-08	1.05309119627455e-08	0	1.53689887497599e-08	0	6.63799504797865e-08	3.50508775956554e-08	0	1.85034660499809e-08	1.34476303781082e-08	1.01299773106422e-08	9.2096918621539e-09	0	4.1771244599234e-08	0	1.93102394766415e-08	5.73227010199242e-08	0	1.47031486427446e-08	2.50316096401795e-08	0	0	1.2203114991539e-07	1.14254288915582e-07	6.9673309169004e-08	0	8.79013439851791e-08	0	0	0	0	6.83539987977899e-08	0	0	3.11599924144114e-08	2.66106636380183e-08	0	1.84194780085708e-08	2.8870255512732e-08	2.73604997559443e-08	5.14187909868824e-08	5.89734972808352e-08	0	0	0	0	3.11636863275247e-08	0	0	5.25991322037372e-08	3.41188132398601e-08	5.02008032128514e-08	3.24245440866846e-08	0	8.22610510760325e-09	2.29701854434588e-08	0	0	1.13027038948142e-07	2.24729312715038e-08	0	0	1.60074313463154e-08	1.32552159319267e-08	9.17174584566583e-08	1.29809497034152e-08	1.46900851753339e-08	1.38319983567937e-08	3.88843886473305e-09	1.29552917379165e-08	0	0	0	0	0	4.20068821984456e-09	0	3.8613219116683e-09	0	1.54586519292823e-08	2.39266334539077e-09	0	1.9200760288665e-08	0	8.32181386249418e-09	2.80918209258783e-08	6.45707016898153e-09	0	2.47870023965892e-08	0	1.5727291656498e-08	0	1.17192866151473e-08	0	0	1.29868193653424e-08	0	1.2130553971103e-08	0	0	2.65344332032792e-08	2.08462997317665e-08	1.32481635395701e-08	0	1.41319404026114e-08	0	0	3.74945152554403e-08	1.23881925361982e-08	0	1.8677155009834e-08	4.06719218404967e-08	9.86842105263158e-06	3.88192478770724e-05	6.63950505507771e-06	1.31990274400834e-05	7.41312741312741e-06	3.05946212681964e-05	2.89432789432789e-05	1.6562447186074e-05	1.90638561686298e-05	1.40052356020942e-05	1.45797598627788e-05	1.55210643015521e-05	4.60087416609156e-07	5.02071043052592e-07	6.95410292072323e-07	9.22144644974312e-07	6.30384534566085e-07	5.51571980143409e-07	2.58631837579206e-07	5.24493863421798e-07	4.15368639667705e-07	1.25944584382872e-07	2.44977951984321e-07	3.27475166466543e-07
