Order	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	68.5	88.9	94	72.5	85.8	73	85.6	89.8	78.5	81.4	88.4	48.5	95.9	85.1	85.6	90.4	91.2	56	88.3	82.3	90.9	97.8	87	93.3	55	97	86.9	96.6	92.1	96.9	94	98.4	97.6	92.4	94.6	96.6	94.5	91	97.7	80	91.1	93.1	83.1	81.5	83.1	88.7	96.5	86.6	92.6	93.7	84.9	96.3	89.6	96.8	95.8	92.8	90.9	91.9	94.1	90.8	94.4	93.4	98.1	84.4	91.3	85.2	84.8	83.9	88.3	97.4	82.5	91.3	98.1	98.2	98.3	97.5	98.3	97.9	93.8	96.1	98.2	98.3	94.6	98.3	51.6	57.2	60.8	68	49.7	56.9	43.6	58.2	53	57	58.5	66.5	47.1	58.8	57.1	45.8	42.6	41.8	47.7	47.8	54.9	64.7	56.5	40.4	49.6	53.4	58.6	53.9	53.8	39.3	63.7	37.2	59.3	61.6	68.1	53.7	73	49	55.3	39.4	56.1	50	49.5	38.4	60.5	76.2	70.5	81.1	77.6	88.4	76	86.5	90.2	72	69.1	68.3	66.2	76.3	71.8	70.7	81.9	56.5	61.6	51.4	74.1	48.3	72.7	46.3	81.4	67.1	79.4	56.7	66.7	84.8	81.4	80.3	83.4	93.8	95.2	64.9	82.6	96.1	87.2	88.9	93	83.5	61.4	83	66.9	79.6	80.3
Pleosporales	6.17	4.51	1.21	16.6	5.71	7.29	2.73	5.26	5.47	11.5	1.82	1.99	0.712	5.67	8.27	1.42	0.647	27.8	0.84	0.342	5.48	0.602	4.14	1.75	26.7	0.766	3.65	0.574	1.23	1.52	3.56	0.404	0.321	0.908	2.46	0.862	1.46	1.42	0.667	0.837	1.56	2.09	9.67	10.8	2.28	5.69	1.76	2.99	3	2.88	8.97	2	3.99	1.08	1.19	3.54	2.05	5.93	2.39	2.73	4.45	4	0.687	5.81	4.37	9.07	5.96	1.05	3.38	0.832	10.9	6.01	0.311	0.442	0.674	1.05	0.555	0.908	3.08	2.05	0.543	0.401	1.28	0.311	28.4	28.2	31	22.5	25.5	34.9	24.1	31.9	35.9	36.6	26.9	26.4	36.6	27.1	25.4	46.8	42.2	50.5	45.2	39.7	38.9	27.9	35.9	46.3	20.9	31.5	37.1	43.4	38	41.3	24.2	47.9	13.7	20.7	4.25	35.8	14.7	28.8	26.5	27.4	31.5	38.4	32	26.2	29.8	10.6	23.1	9.48	18.9	7.89	20.3	7.71	6.61	10.6	14.4	19.1	18.1	11.2	19.2	18.6	12.8	13.3	24.6	17.3	11.7	38.1	21	24.1	12.8	17.8	17.6	34.8	16.8	10.4	12.2	7.89	9.03	4.03	2.62	5.48	13.3	2.18	8.28	2.73	2.1	10.1	29.7	12.4	29.5	13.6	2.5
Hypocreales	0.833	0.87	2.78	1.98	0.719	1.49	1.25	0.281	3.51	1.65	0.212	2.17	1.06	0.837	2.23	0.405	0.475	1.45	0.445	0.181	0.624	0.201	0.332	0.313	3.92	0.332	6.14	0.242	0.311	0.343	0.271	0.121	1.16	0.484	0.332	0.311	0.455	0.181	0.283	0.202	0.2	0.525	2.15	2.32	0.192	3.4	0.393	0.586	1.23	0.311	0.657	0.335	0.405	0.413	0.349	0.617	4.09	0.481	0.435	2.2	0.444	1.16	0.262	1.77	0.445	1.78	2.98	0.333	0.444	0.15	2.53	0.581	0.111	0.0603	0.111	0.151	0.202	0.161	0.191	0.423	0.111	0.15	0.573	0.1	2.95	6.44	3.58	4.85	8.91	4.48	14.9	5.5	7.23	3.12	10.4	1.86	2.82	8.69	3.12	2.81	3.41	4.64	0.918	4.77	1.6	3.15	3.12	1.45	26.9	2.27	2.05	1.55	3.71	17.1	6.82	10.5	22.6	6.86	24.2	2.29	9.73	20.2	2	31.9	8.02	9.1	7.12	12.2	4.68	0.935	4.4	1.19	0.952	0.425	0.685	1.51	0.873	8.89	2.24	2.47	3.46	5.64	5.53	2.21	0.633	1.48	8.02	7.01	1.99	3.7	1.48	4.95	2.04	9.62	1.82	3.46	0.677	1.61	1.96	7.2	3.92	0.796	0.362	28.8	1.2	0.644	2.24	3.36	0.435	0.52	1.64	1.06	0.787	0.98	2.2
Agaricales	1.08	0.38	0.41	2.84	1.07	12.3	1.78	0.351	1.08	3.06	0.404	1.59	0.763	0.514	0.373	0.172	0.232	9.29	0.293	0.141	0.997	0.431	1.33	0.647	3.54	0.131	0.9	0.926	0.411	0.242	0.0502	0.283	0.12	4.88	0.272	0.0702	1.2	5.34	0.546	0.343	4.19	0.192	1.56	0.383	0.282	0.505	0.333	0.597	0.604	1.65	3.04	0.426	3.01	0.192	0.529	1.46	0.485	0.401	0.263	0.363	0.111	0.253	0.131	1.45	1.08	2.39	1.73	0.363	1.23	0.0902	2.51	1.04	0.0703	0.0502	0.121	0.565	0.0807	0.141	0.642	0.997	0.101	0.1	0.271	0.0802	0.281	1.49	2.24	2.27	0.354	0.635	4.5	0.584	0.435	0.717	0.776	0.454	1.21	0.262	5.7	2.42	7.05	0.485	4.17	3.21	0.669	1.66	0.424	1.73	0.503	1.85	0.252	0.392	0.305	0.342	1.02	0.371	0.726	7.15	0.1	0.561	0.0705	0.181	10.8	0.151	0.293	0.2	6.6	20	0.411	0.111	0.243	5.75	0.203	0.304	0.755	0.273	0.193	7.84	2.47	0.212	0.434	2.31	0.404	2.41	0.261	1.2	0.111	18.1	0.201	0.101	0.152	0.161	0.813	1.07	0.241	2.06	0.121	0.273	2.13	0.739	0.331	0.0302	0.0805	0.0201	0.0907	0.0302	0.354	0.0406	0.748	0.09	5.35	0.081	0.636	3.93	1.6
Sordariales	7.92	1.87	0.14	1.72	5.14	0.212	0.0708	0.0802	5.83	0.0908	3.4	44.4	0.346	1.37	0.353	6.69	6.59	2.48	1.87	0.121	0.433	0.13	0.281	1.19	8	0.0302	1.44	0.0403	1.49	0.272	0.682	0.0404	0.0903	0.0202	0.0503	0.902	0.0506	0.0803	0.0404	16.4	0.901	2.34	0.313	1.08	2.71	0.434	0.0605	0.324	0.0604	0.361	0.374	0.0811	0.456	0.141	0.03	0.132	0.485	0.201	0.89	0.232	0.172	0.172	0.101	1.3	1.53	0.0605	2.57	1.28	1.18	0.772	0.242	0.11	0.703	0.532	0.0101	0.192	0.182	0.212	0.181	0.111	0.121	0.491	1.76	0.261	0.17	4.71	0.0911	0.755	0.0606	1.19	0.161	1.15	1.46	0.757	0.191	0.181	0.191	3.59	0.131	1.12	0.837	1.16	0.444	2.23	0.983	0.202	0.313	0.211	0.554	2.54	0.483	0.0805	2.22	0.111	0.312	0.13	1.22	1.07	0.0603	0.27	1.3	0.413	2.96	0.191	1.47	0.22	0.443	0.322	0.762	0.0604	0.93	0.222	0.122	0.81	0.373	0.415	0.254	0.121	0.323	0.354	0.504	0.252	0.94	0.497	0.231	0.111	3.68	0.151	0.201	0.838	0.294	0.161	0.447	0.446	0.201	0.496	0.162	0.849	0.213	0.28	0.943	0.796	0.242	0.121	0.202	0.181	0.87	2.18	0.263	0.39	0.131	0.911	0.273	0.242	0.9
Eurotiales	0.381	0.14	0.16	0.596	0.0709	0.615	0.961	0.872	0.503	0.252	0.0505	0.101	0.173	0.111	0.141	0.0506	0.0404	0.0606	0.0911	0.0604	0.121	0.0803	0.101	0.0809	0.0303	0.0403	0.142	0.141	0.0301	0.0302	0.01	0.0303	0.01	0.0605	0.111	0.0301	0.202	0.0602	0.0607	0.111	0.0401	0.0707	0.0404	0.0403	0.0504	0.0101	0.0101	0.121	0.0402	0.0401	0.525	0.0608	0.0304	0.0403	0.0799	0.0405	0.141	0.13	0.0404	1.87	0.0101	0.121	0.0707	0.0706	0.0708	0.0302	0.0303	0	0.0302	0.13	0.181	0.13	0.131	0.11	0.131	0.141	0.0908	0.111	0.271	0.0806	0.111	0.0902	0.151	0.0602	0.0601	0.0606	0.0607	0.0503	0.0606	0.0605	0.141	0.0503	0.0708	0.182	0.131	0.0806	0.0302	0.111	0.0504	0.141	0.696	0.0808	0.272	0.131	0.132	0.162	0.0404	0.262	0.111	0.0805	0.0907	0.0704	0.0812	0.0905	0.373	0.0801	0.414	0.0903	0.0201	0.1	0.0403	0.0403	0.192	0.0704	0.101	0.36	0.191	0.907	0.241	0.0604	0.172	0.262	0.192	0.111	0.0806	0.263	0.132	0.0505	0.252	0.131	0.111	0.283	0.344	0.304	0.281	0.121	0.0807	0.121	0.151	0.121	0.203	0.121	0.234	0.132	0.0704	0.192	0.192	0.233	0.314	0.0799	0.181	0.0605	0.121	0.0504	0.262	0.0704	0.142	0.0914	0.182	0.16	0.221	0.0709	0.0807	0.0707	0.9
Tremellales	0.0602	0.06	0.13	0.394	0	0.474	0.425	0.12	0.201	0.0807	0.0202	0.0807	0	0.0403	0.0706	0	0	0	0.0506	0.0201	0.0201	0	0.0101	0.0101	0.0101	0	0.0101	0.0604	0.0301	0.0101	0.01	0.0504	0.0201	0.0202	0.0503	0.02	0.0607	0.0401	0.0202	0.0302	0.0401	0.0505	0	0	0.0403	0.0101	0.0202	0	0.0201	0	0.0606	0.0507	0.0101	0.0302	0	0.0202	0.0202	0	0.0303	0.0202	0	0	0.0101	0	0.0202	0.0101	0.0101	0	0	0	0.0201	0.01	0	0	0.0101	0	0	0	0.281	0	0	0	0.0703	0	0.12	0	0.0405	0.0101	0.0404	0.0403	0.101	0.0805	0.0303	0.0404	0.0403	0.0504	0.0201	0.0707	0.171	0.0806	0.252	0.252	0.232	0.0805	0.294	0.152	0.0202	0.101	0.0906	0.453	0.141	0.121	0.112	0.0604	0.131	0.03	0.0101	0.0702	0.01	0.01	0.0201	0	0	0.0201	0.0101	0.08	0.0704	0.0302	0.0201	0.131	0.0607	0.212	0.0506	0.182	0.0302	0.314	0.112	0.0101	0.252	0.091	0.252	0.242	0.263	0.284	0.161	0.0807	0.151	0.0202	0.252	0.252	0.324	0.273	0.153	0.223	0.0302	0.152	0.202	0.091	0.213	0.0699	0.01	0.0403	0.131	0.0101	0.0101	0.0302	0.0303	0.0102	0.0202	0.08	0.0201	0.0709	0.0404	0.0101	0.7
Saccharomycetales	0	0	0	0	0	0	0.0202	0	0	0	0.0303	0	0.0102	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0.0303	0	0.01	0	0	0	0	0	0	0	0	0	0.0303	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364	0	0	0	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	1.92	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.262	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0.0101	0	0	0	0	0	0.0102	0	0	0	0	0	0	1.45	0.17	0.0202	0	0	0.0101	0	0.0101	0	0	0.01	0	0	0	0	0.7
Chaetothyriales	0.01	0.01	0.02	0.0505	0	0	0.0202	0	0.0201	0.0101	0.0202	0.0202	0.0204	0.0101	0	0	0.0101	0.0706	0.0101	0.0101	0.0403	0.0301	0	0.0101	0.0404	0	0.0101	0.0101	0.02	0	0.0201	0	0	0	0	0	0.0101	0	0	0	0	0.0101	0	0.192	0.0101	0.0808	0	0	0	0.01	0.0606	0.0101	0.0304	0	0.02	0.0101	0.0101	0.01	0.0101	0.0404	0	0	0.0101	0.0202	0	0	0	0.0807	0	0	0.0101	0.02	0.01	0.01	0.0101	0	0	0.0202	0.0501	0.0201	0	0	0.0603	0.01	0.01	0.0101	0.0202	0.0201	0.323	0.0101	0.0907	0.0101	0.091	0.0202	0.0202	0.0302	0.151	0	0.0403	0.0101	0.101	0.0505	0.0101	0.0201	0	0.0303	0.242	0.181	0.0101	0.0503	0	0.0101	0.0102	0.412	0	0	0	0	0	0	0	0.0101	0	0.0302	0.0101	0	0	0.0302	0	0	0	0.0302	0.0101	0.0202	0.302	0.0203	0.0102	0.101	0.0605	0.0101	0.0303	0.0404	0.111	0.0304	0	0.0303	0.0101	0	0.0101	0.0101	0	0.0101	0.0102	0.0101	0	0.0101	0.0202	0	0.0304	0.03	0.01	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.5
Pezizales	0	0.01	0	0.0202	0.0203	0.0101	0.0101	0.01	0	0	0.0101	0.0101	0.0102	0	0.0202	0.0101	0	0.0101	0.0202	15.1	0.0101	0	0.0101	0.0101	0.0101	0	0.0101	0.0101	0	0.0101	0.01	0.0101	0.01	0.0101	0.0201	0.01	0	0	0	0	0	0.0101	0	0.0101	0	0.0202	0.0101	0.0101	0.0302	0.01	0.0202	0	0.0101	0.0101	0.00998	0.0101	0	0.01	0	0	0	0.0101	0	0.0101	0.0101	0	0.0101	0	0.0101	0.01	0	0.01	0.01	0.01	0	0.0101	0	0	0.01	0.0101	0	0.01	0.0201	0.01	0.02	0.0101	0.0304	0	0	0	0.0101	0.0101	0	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0.0101	0	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0	0.0101	0.01	0	0	0	0.01	0	0	0.0606	0	0	0.01	0.0101	0	0	0.0201	0	0.0302	0.0101	0	0.0101	0	0	0.0101	0.0202	0.0101	0	0.0101	0.0202	0	0.0201	0	0.0101	0.0101	0.0201	0	0	0	0.0203	0	0	0	0	0.0101	0.0203	0	0	0	0	0	0.0101	0.0101	0.0202	0	0	0.01	0.0201	0.0101	0	0.0101	0.5
