Class	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	65.1	85.3	92.5	68.9	84.9	70.8	81.1	83.9	71.7	71.8	84.4	42	94.3	82.9	81.3	89.6	83.7	40.3	86.4	81	89.6	97.1	80.7	91.5	52.2	95.5	84.2	95.3	91.1	94.5	92.4	97.8	96.6	91.3	93.5	95.5	93.2	88.1	93	78.5	89	91.8	79.3	74.2	82.3	83.1	92.5	84.6	91.6	92.6	82.3	95.4	88.1	95.9	93.2	91.5	88	90.3	93.6	82.1	93.8	92.6	97.5	82.3	88.4	83.5	82.7	80.6	86.9	96.6	80.5	90	97.4	97.8	97.4	97	97.7	97.3	92.1	94.9	97.4	97.9	93.2	97.8	50.6	56	59.6	66.4	49.2	56.4	41.8	57.2	52.2	55.4	54.4	65.7	45	56.8	42.3	45.2	40.5	40.7	47.3	46	54.3	63.6	56	39	49.3	52.4	58	53.3	52.5	38.5	60.6	36.2	58	60.5	67.8	53	71.1	48.2	53	28.7	55.2	48.2	46.7	37	59	73.5	69.7	79.5	76.5	87.3	75.2	84.6	89.4	59.9	66.7	66.5	63.8	73.4	65.9	68.8	79.1	55.7	60.7	45.9	71.3	46.3	71.1	42.6	79.8	60.7	78.6	55.1	64.6	82.4	78.4	79.6	83	93.4	94.8	64.7	82.1	95.8	86.6	87.9	89.4	83	60.8	82.3	66.2	67	75.3
Sordariomycetes	22.1	6.12	4.04	6.69	6.96	4.31	5.81	6.12	16.2	6.21	9.58	51.7	2.44	5.47	4.27	7.68	14.2	4.35	3.33	2.22	1.84	0.803	6.7	3.14	14.6	1.72	8.71	1.98	2.73	2.98	2.56	0.646	2.07	1.41	1.28	2.34	1.28	2.36	4.74	17.7	2.74	4.12	3.71	9.78	3.35	8.39	4.11	2.49	1.8	1.96	2.34	0.842	1.8	1.27	2.54	1.39	7	1.57	1.62	10.3	0.949	2.01	0.636	4.29	4.49	3.19	7.32	3.96	2.75	1.29	3.73	0.962	1.1	0.803	0.503	0.484	0.676	0.545	0.933	0.675	0.704	0.752	2.88	0.542	4.28	13.4	6.45	7.97	23	6.93	16.4	8.88	10.2	6.1	15.9	3.17	6.22	13.6	11.5	4.53	5.97	6.93	2.01	9.31	3.49	4.49	3.84	4.89	28.3	12.2	3.56	2.28	7.41	17.5	10.2	11.9	26	10.1	24.4	3.65	12.3	21.6	7.08	35.2	11.5	11.3	12.4	13.7	7.74	13.1	5.85	3.12	2.99	3.05	2.42	4.65	2.09	9.84	5.22	4.32	8.8	7.22	7.46	4.47	4.13	27.2	13.1	15	4.1	13.7	4.72	29.7	3.82	13	2.57	6.31	2.28	4.24	3.75	8.65	6.71	1.95	1.52	29.4	3.49	1.35	3.99	8.35	2.05	5.3	2.86	4.07	1.7	2.59	6.0
Agaricomycetes	3.25	2.89	0.781	3.44	1.4	13	4.26	1.31	1.56	3.77	2.52	2.1	1.69	2.06	1.05	0.669	0.667	9.6	7.97	0.916	1.57	1.19	7.34	2.94	5.2	0.776	1.26	1.39	4.16	0.534	1.06	0.636	0.482	5.44	1.82	0.511	2.53	6.25	0.829	0.766	5.21	1.1	4.07	2.8	11.5	1.21	1.25	9.37	2.62	2.15	3.61	0.852	4.42	0.837	1.18	2.33	1.56	1.09	1.05	0.898	0.353	0.556	0.586	4.75	2.02	2.65	3.11	12	6.24	0.541	3.18	1.63	0.543	0.562	0.593	0.938	0.514	0.646	1.14	1.3	0.673	0.601	1.11	0.572	15.9	1.6	2.44	2.48	1.36	1.13	15.7	1.04	0.698	1.08	1.43	4.25	10.3	0.424	5.83	2.83	7.99	0.838	4.48	3.77	1.98	2.6	3.33	4.08	0.654	2.16	0.665	0.584	1.12	0.875	2.05	1.22	1.03	7.52	3.1	6.72	0.685	0.524	11.2	0.261	0.726	0.41	6.75	20.2	2.08	0.543	0.495	5.95	0.506	0.557	1.11	0.719	0.802	8	11.1	8.7	6.84	2.9	0.627	6.23	0.553	2.9	0.393	18.3	8.68	0.232	0.345	0.535	1.42	1.83	0.452	2.44	13.9	0.576	2.49	1.87	0.592	0.101	0.352	0.131	0.222	0.241	0.526	0.335	2.95	0.75	5.54	0.294	1.88	4.02	6.0
Dothideomycetes	8.1	4.64	1.51	18.4	5.82	8.08	5.82	5.57	8.46	17	2.01	3.29	0.977	6.39	11.7	1.51	0.9	43	1.55	0.413	5.74	0.652	4.58	1.91	27.6	0.967	4.99	0.705	1.53	1.63	3.72	0.444	0.381	1.27	2.6	0.912	1.93	2.61	0.951	1.16	2.53	2.32	12.2	12	2.41	6.61	1.86	3.06	3.36	3.07	10.7	2.22	4.43	1.24	1.23	3.91	2.18	6.35	2.6	4.16	4.56	4.11	0.747	6.54	4.63	10.3	6.25	1.82	3.6	1.03	12.1	6.84	0.543	0.482	1.09	1.28	0.625	1.13	4.14	2.86	0.724	0.451	1.81	0.391	28.6	28.7	31.1	22.8	25.6	35.1	25.3	32.1	36.3	36.9	27.4	26.5	38.1	28.8	39.8	46.9	43.7	50.8	45.3	39.8	39.1	28.3	36.3	50.4	20.9	31.8	37.2	43.5	38.1	41.7	26.2	48.4	14.3	21.4	4.43	36.2	15.7	29.3	28.4	35.5	32.1	39.1	33.5	27.4	30.7	12.1	23.5	10.2	19.6	8.44	20.6	8.83	7.03	22	16	20.1	19.7	13.3	24.7	19.1	13.3	13.8	25	20.2	13	38.7	21.7	25.6	13.7	23.5	17.9	35.2	17.9	11.9	14.2	8.03	9.2	4.19	2.8	5.64	13.7	2.26	8.58	3.29	5.28	10.4	30.3	12.8	29.9	26	4.2
Eurotiomycetes	0.391	0.15	0.18	0.646	0.0709	0.615	0.981	0.872	0.524	0.262	0.0707	0.121	0.193	0.121	0.141	0.0506	0.0505	0.131	0.101	0.0704	0.161	0.11	0.101	0.091	0.0708	0.0403	0.152	0.151	0.0501	0.0302	0.0301	0.0303	0.01	0.0605	0.111	0.0301	0.212	0.0602	0.0607	0.111	0.0401	0.0808	0.0404	0.232	0.0605	0.0909	0.0101	0.121	0.0402	0.0501	0.586	0.071	0.0608	0.0403	0.0998	0.0506	0.152	0.14	0.0506	1.91	0.0101	0.121	0.0808	0.0908	0.0708	0.0302	0.0303	0.0807	0.0302	0.13	0.191	0.15	0.141	0.121	0.141	0.141	0.0908	0.131	0.321	0.101	0.111	0.0902	0.211	0.0702	0.0802	0.0707	0.081	0.0705	0.384	0.0706	0.232	0.0604	0.162	0.202	0.151	0.111	0.181	0.111	0.0907	0.151	0.797	0.131	0.283	0.151	0.132	0.192	0.283	0.443	0.121	0.131	0.0907	0.0906	0.0914	0.503	0.373	0.0901	0.414	0.0903	0.0201	0.1	0.0403	0.0504	0.202	0.101	0.111	0.36	0.191	0.937	0.241	0.0604	0.172	0.292	0.213	0.132	0.383	0.284	0.142	0.151	0.313	0.142	0.141	0.333	0.455	0.335	0.291	0.151	0.0908	0.121	0.161	0.131	0.203	0.131	0.244	0.142	0.0704	0.202	0.212	0.233	0.345	0.12	0.191	0.0605	0.141	0.0504	0.262	0.0704	0.142	0.0914	0.182	0.16	0.221	0.0709	0.0908	0.0707	1.5
Tremellomycetes	0.0602	0.13	0.21	0.444	0.243	0.515	0.476	0.542	0.292	0.101	0.0303	0.0907	0	0.0504	0.0807	0	0.0101	0	0.0506	0.0302	0.272	0.01	0.0201	0.0202	0.0101	0.0101	0.0303	0.0705	0.0301	0.0202	0.01	0.0504	0.0201	0.0303	0.0603	0.0301	0.111	0.0401	0.0202	0.0302	0.0401	0.0505	0	0.0202	0.0605	0.0101	0.0202	0	0.0302	0	0.0606	0.152	0.0203	0.0403	1.29	0.0405	0.0202	0.01	0.0607	0.353	0	0	0.0101	0.0706	0.0303	0.0101	0.192	0.0504	0.101	0.0301	0.0201	0.02	0.0603	0.0201	0.0101	0	0	0	0.371	0.0101	0	0	0.201	0.0903	0.12	0	0.0405	0.0101	0.0404	0.0403	0.101	0.0805	0.0303	0.0505	0.0403	0.0504	0.0201	0.0707	0.171	0.0806	0.252	0.252	0.232	0.0906	0.294	0.152	0.0202	0.111	0.0906	0.453	0.141	0.121	0.112	0.0604	0.131	0.03	0.0101	0.0803	0.01	0.02	0.0201	0	0	0.0201	0.0101	0.08	0.0704	0.0302	0.0201	0.131	0.0607	0.222	0.0506	0.182	0.0302	0.314	0.112	0.0101	0.252	0.091	0.252	0.273	0.263	0.284	0.161	0.0807	0.151	0.0706	0.272	0.252	0.324	0.273	0.153	0.223	0.0302	0.152	0.202	0.091	0.213	0.0799	0.01	0.0403	0.131	0.0101	0.0101	0.0302	0.0303	0.0102	0.0202	0.08	0.0201	0.0709	0.0404	0.0101	0.9
Saccharomycetes	0.01	0	0	0.0202	0	0.0202	0.0202	0	0.0201	0	0.0303	0	0.0102	0	0	0	0	0	0.0101	0.0201	0	0	0	0	0	0.0201	0.0303	0	0.01	0	0	0	0	0	0	0	0	0	0.0303	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374	0.0202	0	0	0	0.0202	0	0	0	0	0	0.01	0.0201	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	1.92	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.262	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0.0101	0	0	0	0	0	0.0102	0	0	0	0	0	0	1.46	0.17	0.0202	0	0	0.0101	0	0.0101	0	0	0.01	0	0	0	0	0.8
Glomeromycetes	0	0.01	0	0	0.0608	0.0101	0.0101	0.0201	0.0302	0	0.0101	0.0101	0.0102	0	0	0.0101	0	0	0.0202	0.0201	0.0302	0.0201	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.0101	0.01	0	0	0.02	0	0	0	0.0101	0.0101	0.0101	0	0	0.01	0	0	0	0.0101	0.02	0	0.0303	0.01	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0.01	0	0	0	0	0.01	0.0101	0	0	0.01	0	0.01	0.0606	0	0.0101	0	0.0706	0	0.111	0	0	0.0504	0.0302	0	0.0202	0	0	0.0101	0	0.0101	0.0101	0	0.0202	0.0101	0	0	0.0402	0.0201	0.0101	0	0.0101	0.0101	0.02	0.0504	0	0	0.03	0	0	0.0101	0	0.0605	0.11	0.0101	0.0403	0.0602	0	0	0	0	0	0.0101	0	0	0	0.0202	0.0101	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.6
Leotiomycetes	0.301	0.62	0.52	0.707	0.233	2.03	0.961	1.48	0.896	0.676	1.27	0.585	0.183	2.96	0.272	0.365	0.424	0.0908	0.445	0.191	0.655	0.0702	0.462	0.313	0.192	0.907	0.485	0.131	0.311	0.232	0.11	0.202	0.341	0.313	0.412	0.621	0.496	0.472	0.152	0.202	0.36	0.404	0.111	0.837	0.222	0.293	0.171	0.354	0.422	0.11	0.131	0.365	1.1	0.575	0.339	0.526	0.798	0.401	0.475	0.222	0.293	0.495	0.303	1.72	0.172	0.202	0.323	1.28	0.393	0.15	0.151	0.12	0.151	0.171	0.151	0.111	0.343	0.101	0.221	0.0907	0.302	0.14	0.412	0.502	0	0	0	0	0.0505	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0.0101	0.0302	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0.0102	0	0.101	0	0	0	0	0	0.01	0	0	0	0	0	0.0203	0	0.0102	0	0	0	0	0	0	0.00999	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.5
Pezizomycetes	0	0.01	0	0.0202	0.0203	0.0101	0.0101	0.01	0	0	0.0101	0.0101	0.0102	0	0.0202	0.0101	0	0.0101	0.0202	15.1	0.0101	0	0.0101	0.0101	0.0101	0	0.0101	0.0101	0	0.0101	0.01	0.0101	0.01	0.0101	0.0201	0.01	0	0	0	0	0	0.0101	0	0.0101	0	0.0202	0.0101	0.0101	0.0302	0.01	0.0202	0	0.0101	0.0101	0.00998	0.0101	0	0.01	0	0	0	0.0101	0	0.0101	0.0101	0	0.0101	0	0.0101	0.01	0	0.01	0.01	0.01	0	0.0101	0	0	0.01	0.0101	0	0.01	0.0201	0.01	0.02	0.0101	0.0304	0	0	0	0.0101	0.0101	0	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0.0101	0	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0	0.0101	0.01	0	0	0	0.01	0	0	0.0606	0	0	0.01	0.0101	0	0	0.0201	0	0.0302	0.0101	0	0.0101	0	0	0.0101	0.0202	0.0101	0	0.0101	0.0202	0	0.0201	0	0.0101	0.0101	0.0201	0	0	0	0.0203	0	0	0	0	0.0101	0.0203	0	0	0	0	0	0.0101	0.0101	0.0202	0	0	0.01	0.0201	0.0101	0	0.0101	0.5
