OTU_19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina
OTU_5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_24	k__Fungi
OTU_18	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_9	k__Fungi
OTU_7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_25	k__Fungi
OTU_6	k__Fungi
OTU_22	k__Fungi
OTU_50	k__Fungi
OTU_34	k__Fungi
OTU_49	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae
OTU_17	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;s__Curvularia_lunata_SH187631.07FU
OTU_52	k__Fungi
OTU_42	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita
OTU_15	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Edenia;s__Edenia_gomezpompae_SH188231.07FU
OTU_28	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_23	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_51	k__Fungi
OTU_54	k__Fungi
OTU_53	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_1	k__Fungi
OTU_59	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces
OTU_62	k__Fungi
OTU_48	k__Fungi
OTU_29	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_64	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia
OTU_70	k__Fungi
OTU_35	k__Fungi
OTU_68	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella
OTU_43	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium
OTU_58	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_63	k__Fungi
OTU_78	k__Fungi;p__Ascomycota
OTU_67	k__Fungi
OTU_66	k__Fungi
OTU_73	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium
OTU_30	k__Fungi
OTU_46	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_38	k__Fungi
OTU_56	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_72	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_37	k__Fungi
OTU_81	k__Fungi;p__Chytridiomycota
OTU_82	k__Fungi
OTU_77	k__Fungi
OTU_39	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_92	k__Fungi;p__Basidiomycota
OTU_85	k__Fungi
OTU_8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_fujikuroi_SH631251.07FU
OTU_88	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06
OTU_31	k__Fungi;p__Ascomycota
OTU_103	k__Fungi
OTU_84	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales;f__Myrmecridiaceae;g__Myrmecridium;s__Myrmecridium_schulzeri_SH218827.07FU
OTU_41	k__Fungi;p__Ascomycota
OTU_10	k__Fungi
OTU_69	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_45	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Pseudophialophora;s__Pseudophialophora_schizachyrii_SH212825.07FU
OTU_111	k__Fungi;p__Ascomycota
OTU_96	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_99	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae
OTU_109	k__Fungi
OTU_100	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Gaeumannomyces;s__Gaeumannomyces_radicicola_SH640419.07FU
OTU_101	k__Fungi
OTU_119	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_117	k__Fungi
OTU_80	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_122	k__Fungi;p__Basidiomycota;c__Agaricomycetes
OTU_102	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__Thanatephorus_cucumeris_SH218664.07FU
OTU_125	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma
OTU_113	k__Fungi
OTU_121	k__Fungi
OTU_44	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae
OTU_126	k__Fungi;p__Ascomycota
OTU_105	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales
OTU_106	k__Fungi
OTU_110	k__Fungi
OTU_115	k__Fungi;p__Ascomycota
OTU_114	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thielavia
OTU_33	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
OTU_87	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_112	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_108	k__Fungi
OTU_95	k__Fungi
OTU_89	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
OTU_143	k__Fungi
OTU_104	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae
OTU_128	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_147	k__Fungi
OTU_123	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_127	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae
OTU_124	k__Fungi
OTU_158	k__Fungi;p__Ascomycota
OTU_142	k__Fungi;p__Ascomycota
OTU_136	k__Fungi
OTU_130	k__Fungi;p__Ascomycota
OTU_132	k__Fungi
OTU_133	k__Fungi;p__Ascomycota;c__Dothideomycetes
OTU_135	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae
OTU_137	k__Fungi
OTU_144	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
OTU_152	k__Fungi
OTU_154	k__Fungi
OTU_145	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita
OTU_159	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
OTU_171	k__Fungi
OTU_161	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales
OTU_140	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria
OTU_146	k__Fungi
OTU_166	k__Fungi;p__Ascomycota;c__Sordariomycetes
OTU_149	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales
OTU_155	k__Fungi
