Phylum	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	61.7	83.5	90.9	67.3	82.8	68.7	78.5	82.1	69.4	64.9	82.3	40.3	92.4	80.8	78.3	84.6	81.6	38.7	84.5	79.6	88	95.3	78.8	89.3	51.2	94.2	82.7	94	89.8	93.3	91.2	96.8	95.4	90.2	92	94.2	91.7	86.5	91.7	77.3	87.5	90.4	77.5	67.1	78.9	80.9	91.1	82.5	86.3	90.7	81	93.8	85.1	94.6	88.8	90	83.9	88.7	92.6	79	92.9	91.5	96.1	80.5	86.8	81.4	79.8	78.1	85.7	95.3	78.7	87.8	95.8	96.4	95.4	95.8	93.3	95.8	89.6	93.6	95.3	96.2	90.6	95.2	47.8	50.7	57.2	60.7	45.4	54.3	40.7	55.3	51.1	52.6	52.5	63.1	41.7	54.2	38.6	43.5	38.1	38.6	45	43	52.6	61.2	54.6	37.8	48.4	49.8	57	51.4	51.6	36.7	59.1	35	55.4	58.5	65.9	51.9	66.9	45.3	49	27.3	53.2	45.7	44.2	35.2	55.8	71.3	66.4	72.5	74.1	84	72.7	80.8	86.5	49.3	61.6	63.7	60.8	71	60.1	65.5	74.1	53	57.8	42.2	69.4	43.8	68.8	41.5	76.6	55.8	54.4	51.9	62	79.2	74.4	77.8	80.9	91.6	91.6	63.8	79.2	93.6	82.7	82.4	85.2	80.4	56.7	76.3	64	60.5	50.1
Ascomycota	33.5	13	7.74	27.9	15	16.8	15.9	15.7	28.2	30.9	14.6	56.5	5.35	16.6	17.7	14.2	17.2	51.3	6.62	19.1	9.8	3.21	12.7	6.7	43.1	4.46	15.7	4.15	5.85	5.89	7.47	2.25	3.96	4.07	5.63	4.8	5	6.91	6.99	20.3	7.01	7.94	17.9	24.4	9.19	17.4	7.42	7.85	10.8	6.78	15	4.94	9.97	4.05	6.2	6.99	13.8	9.93	5.78	19.5	6.56	7.69	3.02	14.1	10.5	15	14.7	8.75	7.75	3.76	17.4	9.84	3.43	2.82	3.35	3.13	5.83	3.19	7.96	4.8	3.69	2.89	7.26	2.94	34.7	47.5	40	36.6	52.7	43.9	43	42.7	47.6	46	45.1	32.4	47.8	45	54.4	53.3	52.5	59.9	49.7	52.2	44.4	35.3	41.7	56.8	50.3	46.7	41.9	47.7	46.5	61.5	38.1	63.3	42.6	33.1	30.9	41.1	32.3	53.8	37.7	71.7	45.2	52.7	47.4	43.7	40.6	27.3	32.2	16	24.6	14.6	25.7	16.4	11.5	42.1	26.5	26.9	31.1	24.6	35	26.1	22.3	43.7	40.6	38.7	18.9	54.1	28.3	56.2	19.7	38	43.8	43.8	21.8	19	21.8	19.8	18.2	7.83	6.15	35.8	19.2	4.67	15	16.1	10.8	18.1	35.7	22.6	33.5	34.7	36.8
Basidiomycota	4.52	3.33	1.32	4.54	2.02	14.2	5.35	2.12	2.32	4.11	3.07	2.95	2.21	2.62	3.94	1.22	1.19	9.8	8.81	1.17	2.1	1.47	8.46	3.99	5.55	1.27	1.53	1.76	4.34	0.736	1.32	0.878	0.662	5.75	2.2	0.722	3.2	6.55	1.17	2.43	5.45	1.5	4.54	8.42	11.7	1.34	1.39	9.57	2.75	2.36	4	1.22	4.81	1.28	4.54	2.69	1.88	1.3	1.45	1.43	0.444	0.667	0.747	5.06	2.28	3.6	5.29	12.8	6.47	0.722	3.41	1.97	0.743	0.733	0.784	1.06	0.585	0.878	2.37	1.47	0.874	0.832	1.57	1.78	16.5	1.68	2.73	2.69	1.74	1.32	16.2	1.66	1.06	1.42	1.99	4.47	10.4	0.626	6.27	3.25	8.95	1.41	5.15	4.52	3.04	3.39	3.64	5.32	1.29	3.41	1.08	0.896	1.82	1.75	2.49	1.51	1.26	7.88	3.13	6.89	0.846	0.816	11.2	0.503	0.999	0.91	7.16	21	2.33	0.976	0.778	6.8	0.689	1.05	1.33	1.55	1.38	8.19	11.7	9.04	7.57	3.93	1.52	7.3	1.97	3.17	1.06	18.7	10.3	1.11	2.28	1.45	2.32	2.56	0.744	3.21	14.9	1.08	3.35	2.18	0.672	0.272	0.826	0.222	0.373	0.422	0.708	0.487	3.11	1.15	5.68	0.78	2.13	4.26	9.6
Chytridiomycota	0.01	0	0.01	0.0202	0	0.0404	0.0405	0	0.0101	0.0202	0	0.0202	0.0305	0	0	0	0.0101	0.0908	0	0.0201	0.0101	0	0	0	0.0101	0	0	0	0	0.0101	0.01	0.0706	0	0.0101	0.0704	0.221	0	0.0201	0.0101	0	0	0.0303	0.111	0.0202	0.0907	0.0606	0.0202	0.0506	0	0.01	0.0101	0.0203	0.0203	0.0202	0.14	0.0809	0.121	0.01	0.091	0.0101	0.0303	0.0202	0.0101	0.131	0.0202	0.0101	0.0303	0.292	0.0302	0.01	0.0403	0.0301	0.01	0.01	0.0101	0	0	0.0101	0.01	0.0201	0.0101	0.0301	0.01	0	1	0.0404	0.0304	0	0.202	0.242	0.0101	0.191	0.233	0	0.302	0	0.0201	0.151	0.423	0.0101	0.121	0.0303	0.0706	0.0101	0.0101	0.0101	0	0.0101	0.0101	0.0101	0.0302	0.0101	0.0406	0.0101	0.212	0.15	0.646	0.532	0.0904	0.01	0.0101	0.0604	2.11	0.472	0.464	0.47	1.29	0.111	1.18	0.322	0.546	4.55	0.506	0.294	0.171	0.911	0.518	0.303	0.0908	0.223	0.424	0.293	3.01	0.537	1.28	0.0807	0.363	0.313	0.0906	0.727	0.395	0.283	1.23	3.56	0.764	1.03	0.98	0.425	0.355	0.18	0.191	0.161	1.27	0.141	0.957	1.21	1.21	0.863	0.384	0.09	1.52	0.192	0.293	0.495	1.3
Glomeromycota	0	0.01	0	0	0.0608	0.0202	0.0101	0.0201	0.0302	0	0.0101	0.0101	0.0102	0	0	0.0101	0	0	0.0202	0.0201	0.0302	0.0201	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.0101	0.01	0	0	0.02	0	0	0	0.0101	0.0101	0.0101	0	0	0.01	0	0	0	0.0101	0.02	0	0.0303	0.01	0	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0101	0	0	0.01	0	0.01	0.0101	0	0	0	0.01	0.0101	0	0	0.01	0	0.01	0.0606	0	0.0101	0	0.0706	0	0.111	0	0	0.0504	0.0302	0	0.0202	0	0	0.0101	0	0.0101	0.0101	0	0.0202	0.0101	0	0	0.0402	0.0201	0.0101	0	0.0101	0.0101	0.03	0.0504	0	0	0.03	0	0	0.0101	0	0.0706	0.11	0.0101	0.0403	0.0602	0	0	0	0	0	0.0101	0	0	0	0.0202	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0302	0	0.0403	0	0	0.0102	0.0101	0	0	0	0.0101	0	0.8
Rozellomycota	0.161	0.22	0.01	0.192	0	0.242	0.111	0.0201	0.0906	0.0403	0.0303	0.151	0.0204	0.0101	0.0303	0.0101	0	0.0706	0.0101	0.101	0.0201	0.0201	0.0402	0.0303	0.091	0.0201	0.0404	0.0604	0.0501	0.0302	0.0201	0.0202	0	0.0101	0.101	0.01	0.121	0.0201	0.162	0.0101	0.02	0.121	0.0101	0.0806	0.111	0.131	0.0202	0.0303	0.0704	0.0802	0.0101	0.0608	0.101	0.0706	0.339	0.182	0.273	0.0702	0.0404	0.0404	0.0706	0.0506	0.0606	0.232	0.334	0.0302	0.0606	0.0504	0.0302	0.0802	0.373	0.26	0.0502	0.0603	0.382	0.0404	0.232	0.121	0.0802	0.0604	0.141	0.0501	0.512	0.0702	0	0	0.0405	0	0	0	0	0.0101	0	0.0101	0.0202	0.0101	0	0.0101	0.353	0	0	0	0	0.191	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.131	0.0404	0.192	0.081	0.0506	0.0705	0.243	0.102	0.0505	0.0706	0.162	0.0908	0.192	0.354	0.446	0.241	0.0807	0.0908	0.0403	0.101	0.151	0.203	0.0505	0.061	0.132	0.0905	0.0809	0.0606	0.182	0.0304	0.0599	0.0602	0.0202	0.0705	0.0302	0.0907	0.101	0.364	0.122	0.496	0.18	0.312	0.0709	0.0908	0.0808	0.6
Mucoromycota	0.0401	0	0.01	0.0101	0	0.0101	0.0607	0.0501	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0101	0.0101	0	0	0	0.0302	0.0101	0.0101	0	0	0	0.0101	0	0	0.0201	0	0	0	0	0.0101	0	0	0	0	0.0101	0.0101	0	0	0	0	0.01	0	0	0.0101	0	0	0.01	0	0.0101	0.0201	0	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0	0.0101	0	0.0507	0.0502	0	0	0	0.705	0.0202	0	0	0.0203	0	0	0.0101	0	0	0.0203	0	0.0201	0.0202	0	0	0	0	0.0202	0	0	0.01	0	0	0	0	0.2
Monoblepharomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0908	0	0.0101	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0302	0	0	0	0	0.0202	0	0	0	0	0.0201	0	0.0202	0	0.543	0.0101	0	0.454	0.0203	0.0101	0.161	0	0.152	0.0607	0.0101	0.03	0.0201	0.0504	0	0	0	0.0402	0	0.0102	0	0	0.121	0	0	0.0202	0.2
Mortierellomycota	0.01	0	0	0.0202	0	0	0.0101	0	0	0	0	0.0605	0	0	0	0	0	0	0	0.0101	0	0.01	0	0	0.0505	0	0	0.0101	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0101	0	0.0202	0.0405	0	0.0101	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0.0301	0.0202	0	0	0	0	0	0	0	0	0.0101	0	0	0.0404	0	0	0.161	0.0404	0	0.0403	0.0101	0.0101	0	0	0	0.0101	0.0101	0	0	0.0101	0.0202	0.01	0.0101	0	0	0.0701	0	0	0	0	0.0101	0.02	0.0201	0	0.01	0	0	0	0	0	0	0.0709	0.0102	0	0	0	0	0.0202	0	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0.0506	0	0.00999	0.01	0.0101	0.0201	0	0.0202	0	0	0	0	0.01	0	0	0	0	0.2
Kickxellomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0605	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.0203	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0.0101	0	0	0.0101	0	0.00999	0	0	0	0	0	0	0	0	0.0101	0.02	0	0	0	0	0.1
