BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
bacOTU_1	3481	1254	1705	3216	1902	2449	1711	1235	3539	3027	1698	2693	1514	1954	2199	1125	2680	2861	2808	3566	3041	1493	3117	3088	3675	2496	2900	3381	2661	3441	3887	3327	3052	1490	2469	3618	2321	2455	3065	2393	2191	2812	3045	2079	3304	2038	2170	2147	1087	2989	1514	2293	1286	3198	3232	1451	2515	3267	1412	1859	3297	2546	1703	2777	1515	1886	2569	1265	3092	2773	1496	2164	1616	2080	1599	2237	2466	2855	3423	2864	3381	1477	3175	3051	2700	2855	2974	3114	3467	3352	4412	5236	4309	3335	3466	4371	2978	3237	3867	4234	3288	3895	3859	3835	4217	3259	3311	4581	2847	5100	4090	3076	3747	3956	5262	5369	6128	3872	2015	3718	2439	2303	5000	3973	3154	3724	1843	2697	3014	1967	4770	3051	2429	4193	4019	1967	5017	5017	4649	6369	5259	3606	5113	5292	5034	4456	3634	2568	5811	4310	4396	4236	6972	6533	2955	4154	3546	3553	4706	2794	3357	2971	1742	2565	2421	2352	2268	4011	3530	1814	2951	2075	1569	2147	5100	2357	6348	5604	6283	3947	5067	5749	6214	7496	6808	6088	8689	7902	8566	7510	9450	9096	7487	9506	9630	7883	8150	9129
bacOTU_2	2655	4169	4067	3412	3629	2859	1947	2512	1317	3426	3911	3787	5103	2609	2695	1270	991	1224	2086	939	2310	1384	1782	2659	1693	2264	2860	771	1615	2041	3222	4053	4302	4414	5263	3295	4457	3293	1285	1255	4184	1864	3110	1680	490	959	851	1137	325	1093	490	1285	198	817	1366	574	897	1544	2168	1165	16	274	17	8	52	128	3	59	4	5	0	6	3	14	1	579	138	1088	680	1145	550	1916	1765	1047	365	662	458	1294	493	966	7	3	8	2	36	23	16	11	88	14	43	63	150	38	9	2	190	224	30	0	11	0	9	33	12	1	7	29	20	9	68	1	17	26	84	295	38	24	313	197	9	127	157	49	96	122	43	424	36	2	85	15	468	16	152	47	60	51	33	20	40	4	6	224	243	180	161	13	17	2	29	50	122	142	64	0	4	10	15	170	136	122	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_9	432	0	39	9	141	166	26	489	14	129	2	52	6	22	223	170	209	52	23	56	16	54	6	92	6	165	9	154	4	13	5	17	20	34	1	76	19	604	37	4	151	32	46	341	36	29	63	14	4	112	11	62	115	136	25	202	287	377	28	10	2351	93	1148	775	277	1021	1652	2523	658	333	876	2884	982	574	348	32	13	6	82	22	155	85	7	28	4	18	57	76	41	88	1	3	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	1	1	1	0	1	0	6	0	12	0	0	0	0	2	3	1	2	1	5	1	1	6	17	3	2	0	2	2	0	1	0	12	1	0	0	1	0	1	1	0	3	0	0	1	1	0	20	49	2	1	2	0	0	149	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
bacOTU_171	381	84	29	36	15	18	609	0	136	46	72	11	20	4	23	0	3	3	1	1	12	0	5	9	0	8	2	1	2	0	2	4	14	3	16	18	8	5	2	5	22	16	29	9	21	1	0	4	2	1	2	1	4	4	8	0	2	1	1	0	15	14	4	2	0	2	2	4	4	7	2	13	13	3	7	0	3	1	1	0	6	0	0	3	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0
bacOTU_4	372	353	357	304	303	793	826	2137	2509	770	306	136	26	1577	721	626	472	165	152	103	122	26	68	69	167	84	28	181	62	35	231	108	30	226	198	272	707	398	108	5816	953	346	85	1931	230	91	78	133	95	52	22	123	521	251	154	404	467	156	116	805	2612	614	842	5906	2203	1842	2963	2591	1651	3066	4264	1634	790	414	1038	55	104	67	298	27	283	140	31	141	46	214	76	248	111	145	20	24	11	5	34	16	17	8	32	10	28	12	20	10	10	21	9	13	8	9	24	18	15	22	17	21	32	16	14	24	9	25	12	6	40	10	13	18	8	5	24	12	16	9	6	14	29	16	160	34	30	21	15	16	16	10	15	21	41	27	20	48	72	39	19	19	19	396	43	26	10	5	15	3	6	25	12	19	15	8	16	13	15	18	0	1	2	4	1	1	2	6	2	1	2	5	3	0	0	2	1	1	1	1	1	1	0	0
bacOTU_58	322	0	0	3	3	22	6	19	2	96	14	0	0	4	9	5	12	1	5	1	5	1	12	0	0	2	1	21	2	4	1	0	0	0	0	10	3	15	1	4	1	3	0	0	3	1	0	12	0	10	2	107	9	21	0	7	3	2	2	0	123	26	102	211	270	499	714	205	31	94	78	9	174	19	234	0	18	1	55	24	81	4	1	40	21	22	23	153	8	272	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_27	217	2	2	2	3	33	16	65	13	10	27	0	0	2	2	2	9	2	3	1	4	2	7	1	9	1	0	7	48	6	4	1	3	0	1	7	5	4	3	19	3	1268	2	8	13	7	1	9	0	5	3	96	27	5	0	34	1	1	4	1	19	61	135	146	1112	70	156	234	65	21	67	16	271	29	1722	0	6	4	94	12	129	108	4	29	257	18	83	106	22	352	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1	9	8	8	3	2	8	0	3	2	2	0	0	0	0	0	0	0	0	0	2	0	0
bacOTU_541	215	0	0	1	0	0	0	0	1	0	0	0	11	0	0	0	1	0	3	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	28	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	18	0	0	6	1	5	43	2	0	1	68	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_763	212	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	5	2	1	1	0	1	3	1	6	1	11	19	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	1	0	0	0	1	0	0	12	4	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	0	6	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacOTU_496	193	23	2	1	0	1	22	0	0	1	0	0	0	0	1	2	0	1	1	4	3	1	3	0	0	1	1	4	15	4	0	17	1	0	0	2	0	0	15	0	0	0	0	11	3	65	0	1	0	4	1	0	2	1	2	0	1	0	0	1	0	1	1	0	0	0	0	0	0	3	0	6	0	3	0	14	1	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	3	87	0	4	0	1	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
