Class	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	65.5	85.5	92.7	69.1	85	70.9	81.1	84	71.7	71.9	84.5	42	94.4	83	81.5	89.8	83.9	41.2	86.5	81.1	89.9	97.4	80.7	91.6	52.2	95.5	84.4	95.3	91.1	94.4	92.4	97.8	96.6	91.3	93.5	95.5	93.2	88.1	92.9	78.5	88.9	91.7	79.4	74.3	82.5	83.2	92.6	84.6	91.7	92.8	82.4	95.6	88.3	96	93.4	91.7	88.2	90.5	93.6	82.1	93.8	92.7	97.7	82.5	88.5	83.5	82.8	80.7	86.9	96.7	80.5	90	97.4	97.8	97.4	97	97.7	97.3	92.1	94.9	97.5	97.9	93.2	97.7	50.7	56	59.7	66.4	49.2	56.5	41.8	57.2	52.2	55.4	54.5	65.8	45	56.8	42.4	45.4	40.6	40.7	47.3	46.1	54.3	63.7	56	39	49.3	52.4	58.1	53.3	52.9	38.5	60.6	36.2	57.9	60.5	67.8	53.1	71.1	48.2	53.1	28.7	55.2	48.1	46.7	36.9	59	73.7	69.8	79.6	76.6	85.1	75.3	84.7	89.5	59.9	66.7	66.5	63.9	73.5	65.8	68.9	79.2	55.7	60.8	45.8	71.3	46.3	71.2	42.4	80	60.7	78.6	55.1	63.9	82.5	78.5	79.6	83	93.5	94.8	64.7	82.1	95.9	86.6	87.8	89.3	82.9	60.8	82.3	66.1	67	75.4
Sordariomycetes	22.3	6.13	4.04	6.72	6.97	4.32	5.78	6.14	16.2	6.21	9.62	51.8	2.48	5.47	4.27	7.68	14.2	4.47	3.32	2.21	1.83	0.773	6.7	3.14	14.6	1.72	8.74	1.99	2.72	2.98	2.56	0.645	2.05	1.41	1.28	2.34	1.29	2.35	4.74	17.7	2.74	4.21	3.71	9.8	3.36	8.4	4.11	2.52	1.79	1.95	2.35	0.842	1.8	1.26	2.53	1.38	6.99	1.56	1.61	10.3	0.938	2	0.626	4.27	4.47	3.18	7.34	3.96	2.74	1.29	3.72	0.941	1.08	0.803	0.493	0.484	0.675	0.565	0.933	0.665	0.694	0.752	2.88	0.532	4.27	13.4	6.45	7.98	23	6.93	16.4	8.89	10.3	6.12	16	3.17	6.23	13.6	11.5	4.52	5.98	6.94	2.02	9.31	3.49	4.49	3.84	4.88	28.3	12.2	3.55	2.28	7.42	17.5	10.3	11.9	26	10.1	24.5	3.65	12.3	21.6	7.08	35.2	11.5	11.3	12.4	13.7	7.74	13.1	5.85	3.12	3	2.99	2.45	4.66	2.09	9.84	5.23	4.36	8.79	7.23	7.47	4.47	4.14	27.2	13.1	15	4.09	13.7	4.72	29.6	3.82	13.1	2.58	6.32	2.28	4.22	3.75	8.66	6.71	1.95	1.53	29.4	3.47	1.34	3.99	8.35	2.05	5.29	2.87	4.05	1.69	2.59	6.0
Agaricomycetes	3.08	2.65	0.59	3.33	1.29	12.9	4.09	1.16	1.41	3.62	2.33	1.99	1.48	1.93	0.928	0.517	0.505	9.78	7.87	0.825	1.35	0.933	7.28	2.81	5.19	0.705	1.04	1.39	4.19	0.544	1.01	0.676	0.602	5.48	1.82	0.471	2.51	6.28	0.819	0.766	5.22	1.11	3.98	2.68	11.4	1.09	1.16	9.28	2.58	1.92	3.49	0.659	4.27	0.746	0.969	2.18	1.43	0.972	0.97	0.848	0.333	0.455	0.404	4.61	1.9	2.56	3.03	11.8	6.24	0.511	3.21	1.66	0.613	0.592	0.613	0.968	0.494	0.666	1.08	1.31	0.593	0.551	1.14	0.662	15.9	1.6	2.42	2.47	1.29	1.05	15.8	0.996	0.647	1.01	1.3	4.2	10.2	0.394	5.77	2.72	7.94	0.767	4.42	3.7	1.91	2.49	3.33	4.07	0.604	2.04	0.615	0.483	1.17	0.785	2.09	1.22	1.05	7.54	3.13	6.7	0.695	0.524	11.2	0.281	0.756	0.44	6.78	20.2	2.07	0.433	0.354	5.9	0.354	0.445	0.986	0.516	0.71	8.01	11	8.61	6.76	2.77	0.606	6.12	0.422	2.83	0.353	18.3	8.59	0.182	0.253	0.495	1.26	1.73	0.372	2.38	13.7	0.505	2.43	1.85	0.592	0.0906	0.352	0.151	0.212	0.251	0.536	0.437	3.01	0.791	5.55	0.324	1.9	4.03	6.0
Dothideomycetes	8.18	4.65	1.5	18.4	5.83	8.11	6.01	5.58	8.5	17	2.01	3.3	0.998	6.42	11.7	1.51	0.919	44	1.6	0.413	5.77	0.642	4.59	1.92	27.6	0.966	5.03	0.705	1.52	1.63	3.73	0.444	0.371	1.27	2.61	0.912	1.93	2.61	1	1.16	2.53	2.32	12.3	12.1	2.41	6.62	1.86	3.06	3.4	3.08	10.8	2.22	4.43	1.25	1.23	3.91	2.19	6.35	2.61	4.18	4.56	4.12	0.747	6.54	4.63	10.4	6.25	1.82	3.6	1.03	12.1	6.85	0.542	0.482	1.08	1.28	0.625	1.13	4.18	2.87	0.724	0.441	1.83	0.391	28.6	28.7	31.1	22.8	25.7	35.1	25.3	32.1	36.4	36.9	27.4	26.5	38.2	28.8	39.8	46.9	43.7	50.9	45.3	39.8	39.1	28.3	36.3	50.4	21	31.9	37.2	43.5	37.7	41.7	26.2	48.4	14.3	21.4	4.43	36.2	15.7	29.3	28.4	35.5	32.1	39.1	33.5	27.4	30.7	12.1	23.5	10.2	19.6	10.8	20.6	8.86	7.02	22	16.1	20.1	19.7	13.3	24.7	19.1	13.3	13.8	25	20.3	13	38.7	21.7	26	13.7	23.6	17.9	35.2	18.9	11.9	14.2	8.03	9.2	4.19	2.8	5.64	13.7	2.26	8.58	3.29	5.29	10.4	30.3	12.8	30	26	4.0
Eurotiomycetes	0.401	0.14	0.17	0.636	0.0709	0.615	0.981	0.882	0.513	0.262	0.0606	0.121	0.2	0.111	0.141	0.0506	0.0505	0.131	0.0911	0.0704	0.141	0.0803	0.101	0.0809	0.0707	0.0403	0.162	0.151	0.0401	0.0302	0.0201	0.0303	0.01	0.0605	0.111	0.0301	0.213	0.0502	0.0607	0.111	0.0401	0.0808	0.0404	0.232	0.0504	0.0909	0.0101	0.121	0.0402	0.0502	0.575	0.071	0.0608	0.0403	0.0799	0.0505	0.151	0.13	0.0505	1.91	0.0101	0.121	0.0706	0.0908	0.0708	0.0302	0.0303	0.0705	0.0302	0.13	0.181	0.13	0.141	0.11	0.141	0.141	0.0907	0.121	0.311	0.0906	0.111	0.0902	0.191	0.0602	0.0802	0.0707	0.0809	0.0705	0.384	0.0706	0.232	0.0604	0.162	0.192	0.151	0.111	0.181	0.101	0.0907	0.151	0.797	0.131	0.282	0.141	0.132	0.192	0.272	0.432	0.121	0.121	0.0907	0.0805	0.12	0.503	0.373	0.0902	0.414	0.0902	0.0201	0.1	0.0403	0.0403	0.202	0.1	0.111	0.36	0.191	0.937	0.231	0.0604	0.172	0.292	0.213	0.131	0.382	0.284	0.142	0.151	0.313	0.142	0.141	0.313	0.455	0.335	0.291	0.151	0.0807	0.121	0.161	0.121	0.193	0.131	0.234	0.132	0.0703	0.202	0.212	0.232	0.344	0.12	0.191	0.0604	0.131	0.0403	0.262	0.0704	0.142	0.0914	0.192	0.16	0.221	0.0709	0.0908	0.0707	1.5
Tremellomycetes	0.0602	0.13	0.21	0.444	0.243	0.504	0.475	0.541	0.292	0.101	0.0303	0.0908	0.00998	0.0504	0.0807	0	0.0101	0	0.0506	0.0302	0.272	0.01	0.0201	0.0202	0.0101	0.0101	0.0303	0.0705	0.03	0.0202	0.01	0.0504	0.0201	0.0303	0.0503	0.0301	0.111	0.0401	0.0202	0.0302	0.0401	0.0505	0	0.0302	0.0605	0.0101	0.0202	0	0.0302	0	0.0606	0.152	0.0203	0.0403	1.3	0.0404	0.0202	0.01	0.0607	0.353	0	0	0.0101	0.0706	0.0303	0.0101	0.192	0.0504	0.101	0.0301	0.0201	0.02	0.0703	0.0201	0.0101	0	0	0	0.381	0.0101	0	0	0.201	0.0903	0.12	0	0.0405	0.0101	0.0404	0.0403	0.101	0.0805	0.0303	0.0505	0.0403	0.0504	0.0201	0.0706	0.171	0.0806	0.252	0.252	0.232	0.0906	0.294	0.151	0.0202	0.111	0.0906	0.453	0.141	0.121	0.13	0.0604	0.131	0.0301	0.0101	0.0702	0.0101	0.01	0.0201	0	0	0.0201	0.0101	0.08	0.0704	0.0302	0.0201	0.131	0.0606	0.222	0.0607	0.182	0.0302	0.314	0.112	0.0101	0.252	0.091	0.252	0.273	0.263	0.284	0.161	0.0806	0.151	0.0706	0.272	0.253	0.324	0.273	0.153	0.223	0.0301	0.152	0.202	0.091	0.213	0.0899	0.01	0.0403	0.131	0.0101	0.0101	0.0302	0.0303	0.0102	0.0505	0.0801	0.0201	0.0709	0.0404	0.0101	0.9
Saccharomycetes	0.01	0	0	0.0202	0	0.0202	0.0202	0	0.0201	0	0.0303	0	0.00998	0	0	0	0	0	0.0101	0.0201	0	0	0	0	0	0.0201	0.0303	0	0.01	0	0	0	0	0	0	0	0	0	0.0303	0.0101	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374	0.0202	0	0	0	0.0202	0	0	0	0	0	0.01	0.0201	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.01	0	0	1.92	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.262	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0.0101	0	0	0	0	0	0.0102	0	0	0	0	0	0	1.46	0.171	0.0201	0	0	0.0101	0	0.0101	0	0	0.01	0	0	0	0	0.6
Glomeromycetes	0	0.01	0	0	0.0607	0.0202	0.0101	0.0201	0.0302	0	0.0101	0.0101	0.00998	0	0	0.0101	0	0	0.0202	0.0201	0.0302	0.0201	0	0	0	0	0.0101	0	0	0.0101	0.01	0	0.01	0	0	0	0.0101	0.01	0	0	0.03	0	0	0	0.0101	0.0101	0.0101	0	0	0.01	0	0	0	0.0101	0.03	0.0101	0.0303	0.01	0	0.0101	0.0101	0.0101	0.0101	0	0.0101	0	0	0	0.0101	0	0	0	0	0.01	0	0	0	0.0101	0.01	0.0201	0.0101	0	0.01	0.01	0.01	0.0606	0	0.0101	0	0.0605	0	0.111	0	0	0.0403	0.0403	0	0.0303	0	0	0.0101	0	0.0101	0.0101	0	0.0101	0.0101	0	0	0.0402	0.0101	0.0101	0	0.0101	0.0101	0.02	0.0504	0	0	0.0301	0	0	0.0101	0	0.0807	0.11	0.0101	0.0403	0.0602	0	0	0	0	0	0.0101	0	0	0	0.0202	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.0101	0.0102	0.0101	0	0	0	0.0101	0	0.6
Leotiomycetes	0.301	0.62	0.52	0.706	0.233	2.03	0.961	1.49	0.896	0.685	1.27	0.585	0.209	2.96	0.272	0.365	0.424	0.0909	0.445	0.191	0.664	0.0702	0.453	0.313	0.192	0.916	0.485	0.131	0.321	0.232	0.11	0.202	0.341	0.313	0.412	0.621	0.496	0.472	0.152	0.202	0.36	0.404	0.111	0.836	0.222	0.293	0.171	0.354	0.422	0.11	0.131	0.365	1.1	0.574	0.34	0.526	0.798	0.391	0.475	0.222	0.293	0.495	0.303	1.73	0.172	0.201	0.323	1.28	0.393	0.15	0.151	0.12	0.151	0.171	0.151	0.111	0.343	0.101	0.231	0.0906	0.302	0.14	0.412	0.502	0	0	0	0	0.0505	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0101	0.0101	0.0302	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0.0101	0	0.101	0	0	0	0	0	0.01	0	0	0	0	0	0.0203	0	0.0102	0	0	0	0	0	0	0.00999	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.5
Pezizomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
