Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
Fun2DMH6301	0.491	0.00127	399.5	0.737	0.425	5.40	12.6	9968.0	389.0	0.587	0.263	2.54	3.66	1.10
Fun2DMH6302	0.638	0.000801	391.9	0.586	0.350	3.28	8.02	10004.0	382.0	0.593	0.414	2.08	3.00	0.904
Fun2DMH6303	0.639	0.000559	365.4	0.558	0.293	2.79	5.58	9996.0	353.0	0.605	0.442	1.72	2.48	0.747
Fun2DMH6304	0.487	0.00133	388.2	0.739	0.434	5.48	13.2	9908.0	382.0	0.540	0.261	2.58	3.72	1.12
Fun2DMH6305	0.682	0.00061	291.1	0.529	0.319	2.76	6.03	9880.0	281.0	0.525	0.471	1.80	2.59	0.780
Fun2DMH6306	0.568	0.00102	438.6	0.659	0.382	4.05	10.1	9921.0	425.0	0.587	0.341	2.31	3.34	1.00
Fun2DMH6307	0.612	0.00119	460.9	0.622	0.403	3.85	11.8	9888.0	455.0	0.520	0.378	2.47	3.56	1.07
Fun2DMH6308	0.696	0.000648	410.7	0.512	0.313	2.69	6.46	9975.0	387.0	0.621	0.488	1.87	2.69	0.810
Fun2DMH6309	0.549	0.00125	452.6	0.689	0.415	4.71	12.5	9935.0	436.0	0.606	0.311	2.52	3.64	1.10
Fun2DMH6310	0.554	0.000911	352.4	0.674	0.376	4.16	9.04	9920.0	347.0	0.540	0.326	2.20	3.18	0.956
Fun2DMH6311	0.619	0.000827	348.7	0.607	0.361	3.46	8.19	9903.0	337.0	0.559	0.393	2.10	3.03	0.913
Fun2DMH6312	0.421	0.000833	266.0	0.729	0.381	4.57	8.26	9917.0	254.0	0.557	0.271	2.11	3.05	0.917
Fun2DMH63ZH01	0.734	0.000547	472.3	0.455	0.278	2.31	5.48	10025.0	458.0	0.641	0.545	1.70	2.45	0.739
Fun2DMH63ZH02	0.510	0.000908	285.0	0.706	0.391	4.50	9.00	9912.0	276.0	0.520	0.294	2.20	3.17	0.954
Fun2DMH63ZH03	0.501	0.00108	314.6	0.722	0.415	4.93	10.8	9916.0	307.0	0.519	0.278	2.38	3.43	1.03
Fun2DMH63ZH04	0.639	0.000625	261.5	0.578	0.329	3.07	6.17	9874.0	252.0	0.518	0.422	1.82	2.63	0.791
Fun2DMH63ZH05	0.686	0.000572	301.9	0.521	0.306	2.68	5.66	9898.0	291.0	0.545	0.479	1.73	2.50	0.753
Fun2DMH63ZH06	0.297	0.000931	190.4	0.811	0.426	6.21	9.22	9905.0	185.0	0.495	0.189	2.22	3.21	0.965
Fun2DMH63ZH07	0.643	0.000721	315.3	0.576	0.343	3.14	7.13	9881.0	305.0	0.533	0.424	1.96	2.83	0.853
Fun2DMH63ZH08	0.526	0.000693	274.9	0.681	0.345	3.90	6.89	9937.0	267.0	0.563	0.319	1.93	2.78	0.838
Fun2DMH63ZH09	0.652	0.000611	346.3	0.556	0.311	2.87	6.07	9933.0	331.0	0.599	0.444	1.80	2.60	0.783
Fun2DMH63ZH10	0.739	0.000408	341.7	0.442	0.242	2.16	4.07	9967.0	327.0	0.628	0.558	1.40	2.03	0.610
Fun2DMH63ZH11	0.453	0.000931	296.3	0.738	0.394	4.89	9.25	9939.0	283.0	0.563	0.262	2.22	3.21	0.966
Fun2DMH63ZH12	0.574	0.000679	301.9	0.624	0.335	3.34	6.71	9891.0	294.0	0.553	0.376	1.90	2.75	0.827
Fun2DMH63ZH13	0.333	0.00117	230.3	0.817	0.455	6.86	11.6	9902.0	220.0	0.493	0.183	2.45	3.54	1.07
Fun2DMH63ZH14	0.488	0.000562	263.6	0.651	0.312	3.34	5.58	9933.0	248.0	0.582	0.349	1.72	2.48	0.747
Fun2DMH63ZH15	0.554	0.00082	268.0	0.665	0.376	3.94	8.11	9890.0	260.0	0.490	0.335	2.09	3.02	0.909
Fun2DWYJ01	0.551	0.000545	263.8	0.625	0.305	3.17	5.42	9934.0	254.0	0.557	0.375	1.69	2.44	0.734
Fun2DWYJ02	0.527	0.00056	287.2	0.632	0.308	3.21	5.59	9984.0	268.0	0.599	0.368	1.72	2.48	0.747
Fun2DWYJ03	0.440	0.000487	232.5	0.626	0.290	3.02	4.83	9924.0	226.0	0.524	0.374	1.57	2.27	0.684
Fun2DWYJ04	0.454	0.000571	254.1	0.665	0.319	3.48	5.69	9966.0	231.0	0.586	0.335	1.74	2.51	0.755
Fun2DWYJ05	0.434	0.000454	202.0	0.624	0.285	2.98	4.50	9916.0	197.0	0.495	0.376	1.50	2.17	0.653
Fun2DWYJ06	0.389	0.000648	251.8	0.721	0.341	4.15	6.46	9967.0	238.0	0.594	0.279	1.87	2.69	0.810
Fun2DWYJ07	0.465	0.000603	222.5	0.678	0.332	3.65	5.98	9912.0	218.0	0.493	0.322	1.79	2.58	0.776
Fun2DWYJ08	0.575	0.000663	333.3	0.634	0.328	3.43	6.60	9945.0	316.0	0.593	0.366	1.89	2.72	0.819
Fun2DWYJ09	0.418	0.000653	244.3	0.717	0.344	4.13	6.52	9982.0	233.0	0.568	0.283	1.87	2.70	0.814
Fun2DWYJ10	0.580	0.000535	248.0	0.596	0.303	2.95	5.28	9882.0	243.0	0.492	0.404	1.66	2.40	0.723
Fun2DWYJ11	0.603	0.000638	292.6	0.608	0.329	3.25	6.36	9964.0	275.0	0.580	0.392	1.85	2.67	0.804
Fun2DWYJ12	0.591	0.000516	235.5	0.591	0.300	2.92	5.10	9892.0	228.0	0.489	0.409	1.63	2.35	0.708
Fun2DWYJ13	0.442	0.000703	221.0	0.723	0.361	4.28	6.97	9922.0	217.0	0.468	0.277	1.94	2.80	0.843
Fun2DWYJ14	0.545	0.00067	301.7	0.647	0.334	3.51	6.69	9987.0	295.0	0.571	0.353	1.90	2.74	0.825
Fun2DWYJ15	0.560	0.00062	235.7	0.638	0.334	3.41	6.14	9896.0	230.0	0.468	0.362	1.81	2.62	0.788
Fun2WMH6301	0.346	0.000957	234.2	0.756	0.414	5.13	9.48	9903.0	228.0	0.463	0.244	2.25	3.24	0.977
Fun2WMH6302	0.353	0.00143	301.5	0.816	0.466	7.24	14.2	9931.0	294.0	0.485	0.184	2.65	3.82	1.15
Fun2WMH6303	0.616	0.000759	390.1	0.605	0.341	3.36	7.53	9920.0	375.0	0.614	0.395	2.02	2.91	0.877
Fun2WMH6304	0.489	0.000958	295.8	0.720	0.401	4.72	9.48	9896.0	274.0	0.553	0.280	2.25	3.24	0.977
Fun2WMH6305	0.415	0.000612	239.2	0.674	0.331	3.59	6.07	9920.0	233.0	0.513	0.326	1.80	2.60	0.783
Fun2WMH6306	0.585	0.000852	327.1	0.641	0.369	3.75	8.42	9891.0	322.0	0.486	0.359	2.13	3.07	0.926
Fun2WMH6307	0.350	0.000931	300.8	0.767	0.393	5.28	9.26	9947.0	287.0	0.583	0.233	2.23	3.21	0.966
Fun2WMH6308	0.663	0.000647	400.7	0.546	0.313	2.84	6.45	9970.0	390.0	0.604	0.454	1.86	2.69	0.810
Fun2WMH6309	0.396	0.00123	278.9	0.786	0.446	6.19	12.2	9905.0	271.0	0.467	0.214	2.50	3.61	1.09
