Genus	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	83.5	94.1	98	80.8	95.1	90.8	91	93.2	89.6	86.6	95.1	97.9	97.8	89.5	87.9	98.1	99.3	68.3	98.5	83.6	95.3	99.3	95.6	99.3	68.2	98.9	95.9	98.1	98.6	98.3	98.9	99.3	98.5	98.7	97.8	98.9	97.3	97.7	98.9	98.9	97.6	98	89.4	88.2	87	91.2	97.8	97.8	96.9	96.9	95	98.2	95.9	98.6	97.7	96.6	94.2	98.6	98.2	93	99.1	98.1	99.4	93.1	95.7	89.8	91.9	87.9	97.7	99	89.5	94.7	99.2	99.3	99.1	98.7	99.4	98.8	95.7	97.7	99	99.3	97.9	99.5	96	90.7	92.8	91.6	71.5	95.1	71.5	96.4	95.2	90.6	83	93.2	71.3	92.6	84.9	94.3	90.6	93.5	95.9	91.9	95.1	92.9	92.8	80.8	97.8	88.2	95.7	96.2	93	75.5	86.1	82.3	75	85.4	72.6	95.6	88.2	70.9	85.4	63.6	90.5	86.2	85.6	76.4	90.2	97.3	93.8	96.7	96.7	96.7	92.2	94.2	94.2	88.4	86	82.7	85.6	92.7	94	86.4	94.7	92.4	84.2	70.1	91.5	92	95.7	94.2	91.8	93.4	91.9	91.2	93.3	96.5	89.6	94.9	93.9	97.8	98.4	70.5	96.9	98.7	95.8	95.1	96	97.3	75.7	96.7	95.8	97.5	87.9
Penicillium	0.291	0.08	0.11	0.464	0.0506	0.484	0.739	0.832	0.413	0.182	0.0404	0.0807	0.112	0.101	0.111	0.0405	0.0404	0.0606	0.0708	0.0302	0.111	0.0502	0.0704	0.0607	0.0202	0.0201	0.111	0.121	0.01	0.0202	0.01	0.0202	0	0.0404	0.0805	0.01	0.182	0.0301	0.0607	0.0706	0.03	0.0606	0.0303	0.0302	0.0302	0.0101	0.0101	0.111	0.0402	0.0201	0.515	0.0608	0.0304	0.0202	0.0399	0.0405	0.0809	0.12	0.0303	1.75	0.0101	0.121	0.0606	0.0505	0.0202	0.0202	0.0303	0	0.0302	0.0301	0.101	0.02	0.01	0	0.0402	0.0303	0.0202	0.0505	0.16	0	0.0402	0	0.0502	0.01	0.0501	0.0404	0.0506	0.0403	0.0505	0.0403	0.0907	0.0302	0.0708	0.151	0.101	0.0706	0.0201	0.0908	0.0403	0.111	0.676	0.0707	0.262	0.0805	0.0912	0.141	0.0303	0.241	0.111	0.0704	0.0504	0.0503	0.0711	0.0805	0.373	0.0801	0.393	0.0903	0.0201	0.1	0.0403	0.0403	0.0807	0.0704	0.0908	0.36	0.181	0.897	0.201	0.0503	0.0607	0.222	0.142	0.0911	0.0705	0.192	0.102	0.0404	0.222	0.101	0.101	0.242	0.323	0.264	0.251	0.121	0.0605	0.111	0.121	0.111	0.193	0.101	0.203	0.111	0.0603	0.162	0.172	0.222	0.304	0.05	0.14	0.0403	0.101	0.0504	0.212	0.0503	0.111	0.0609	0.142	0.11	0.211	0.0608	0.0706	0.0505	0.4
Symbiotaphrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0.4
Barnettozyma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Cryptococcus	0.01	0	0.01	0.0101	0	0.0303	0.0101	0.0201	0.0101	0	0.0101	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0	0	0.0703	0	0.01	0	0.0101	0	0	0.0101	0.0302	0.0402	0	0.0101	0.0202	0	0	0.0202	0.0302	0.0101	0.0605	0.0707	0.0202	0	0.0304	0.0303	0	0.0201	0.0201	0.0604	0.0201	0.0403	0.0102	0	0.0202	0	0	0.0201	0	0	0.0101	0	0	0	0	0.01	0.0201	0.0101	0	0.0805	0.0101	0.0101	0	0.0506	0	0.0304	0	0	0.0202	0	0.0202	0.0101	0.0303	0.0203	0.0201	0	0.0101	0	0.0101	0.0101	0.0507	0.0303	0.0102	0.0506	0	0	0.0505	0	0.0507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Xenoacremonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Aspergillus	0.0502	0.03	0.02	0.0808	0.0101	0.0807	0.0506	0.0201	0.0403	0.0403	0	0	0	0	0.0202	0	0	0	0.0101	0.0201	0	0	0.0201	0	0	0.0201	0.0101	0	0	0	0	0	0	0	0.0101	0.02	0.0101	0.01	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.00998	0	0.0202	0	0	0.0807	0	0	0	0	0.0101	0	0	0	0	0.0802	0.0604	0.0902	0.121	0.11	0.0905	0.111	0.0706	0.0606	0.0702	0.0806	0.0704	0.0802	0.1	0.0502	0.01	0.0101	0.0101	0.0101	0.0101	0.0202	0.0504	0.0101	0	0.0303	0.0302	0.0101	0.0101	0.0202	0.0101	0.0202	0.0202	0.0101	0.0101	0.0403	0.0304	0.0202	0.0101	0.0201	0	0.0101	0.0403	0.0201	0.0102	0.0101	0	0	0.0101	0	0	0	0	0	0.101	0	0.0101	0	0.0101	0.0101	0.0301	0.0101	0.0101	0.0403	0.0506	0.0202	0.0101	0.0709	0.0203	0.0101	0.0303	0.0303	0.0101	0.0404	0.0202	0.0406	0.0301	0	0.0202	0.0101	0.0201	0.0101	0.0101	0.0202	0.0305	0.0203	0.0101	0.0303	0.0202	0.0101	0.0101	0.02	0.0401	0.0202	0.0101	0	0.0302	0.0101	0.0303	0.0305	0.0404	0.05	0.0101	0.0101	0.0101	0.0202	0.2
Diaporthe	0	0	0	0.0606	0	0	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0.0908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0101	0	0	0.0201	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0.2
Curvularia	0.231	0.21	0.04	0.333	0.192	0.212	0.567	0.0802	0.594	0.161	0.263	0.383	0.122	0.0504	0.303	0.142	0.0303	1.34	0.324	0.0403	0.0403	0.0301	0.131	0.101	0.768	0.201	0.738	0.111	0.301	0.151	0.0502	0.0605	0.0201	0.131	0.241	0.0301	0.223	0.0502	0.182	0.161	0.12	0.242	6.02	1.09	0.0807	0.798	0.837	0.0404	1.95	1.33	1.86	0.0203	1.66	0.131	0.0499	1	0.384	0.201	0.101	0.161	0.0303	0.253	0.0202	1.97	0.111	7.93	4.21	0.151	0.101	0.17	4.06	1.24	0	0	0.0302	0.484	0.0303	0.0404	1.34	1.47	0.0603	0.0301	0.0603	0.0201	0.2	1.06	0.87	1.08	0.819	0.303	0.816	0.131	0.384	0.969	1.7	0.615	2.16	0.162	0.847	0.272	1.78	0.707	0.111	0.836	0.0912	0.505	0.444	1.74	0.0705	0.785	0.322	0.282	0.893	0.825	2.17	0.461	0.595	1.32	0.0703	0.24	1.21	7.42	0.101	3.07	0.383	3.39	2.11	4.21	1.19	0.523	0.233	0.726	0.192	0.86	2.14	0.132	3.47	0.606	0.545	2.28	0.424	0.121	1.09	5.68	0.402	3.42	2.11	1.36	0.282	0.818	0.243	0.0807	1.43	1.28	0.101	0.91	0.243	0.617	3.71	1.03	0.17	0.0403	0.0201	0.191	0.232	0.0603	0.405	0.0102	0.253	0.08	0.292	0.101	1.86	0.576	0.2
Peziza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
