c	a	b	V1	V2	V3	V4
Bac.TABS1	G1	E687	Bac.TABS1_1.fq.gz	94d8fb88da3b45cabd78a3ac4c582ee8	Bac.TABS1_2.fq.gz	e1677a20cb0d1f607321691cbba20d2b
Bac.TABS2	G1	E688	Bac.TABS2_1.fq.gz	f3c2797fb1f7ac042aace52d220d43bf	Bac.TABS2_2.fq.gz	42832ac332c2be038b3b172171ccc3cc
Bac.TABS3	G1	E689	Bac.TABS3_1.fq.gz	8854a152b522eb44590273044b32cdc8	Bac.TABS3_2.fq.gz	861cf77f6af96f5dbb1032132fae3c7a
Bac.TABS4	G1	E690	Bac.TABS4_1.fq.gz	de169a9e473df8920ca618f038b243d9	Bac.TABS4_2.fq.gz	885b2d87c14b17f1dc12d2b663ff2338
Bac.TABS5	G1	E691	Bac.TABS5_1.fq.gz	66f8a54aea6a6ba8a84565d4760ff5b6	Bac.TABS5_2.fq.gz	706fa4b95bd06c87e7e65ed9828dee4b
Bac.TAD1	G1	E667	Bac.TAD1_1.fq.gz	032d422d3c7f3f8a85dab419186494ea	Bac.TAD1_2.fq.gz	872f3281857b98c77bffd8de235c36c4
Bac.TAD10	G1	E676	Bac.TAD10_1.fq.gz	65a6015adae3358ba56b94dee9e3692b	Bac.TAD10_2.fq.gz	c1b1988e44fdb758f1d62771e067a09a
Bac.TAD2	G1	E668	Bac.TAD2_1.fq.gz	6ae453e2c4b08b4f3cfbc4dda72f7d6f	Bac.TAD2_2.fq.gz	ca84a1741b272212cb91319d70d4d81e
Bac.TAD3	G1	E669	Bac.TAD3_1.fq.gz	e0cbdb67cd1008ab3dc1d0d41f592262	Bac.TAD3_2.fq.gz	b044f02e2e92726d388a3d622b76c9aa
Bac.TAD4	G1	E670	Bac.TAD4_1.fq.gz	259c669593f3280f1cb694b65157d7fa	Bac.TAD4_2.fq.gz	aba2d2469eee4d9e378f744951b13d33
Bac.TAD5	G1	E671	Bac.TAD5_1.fq.gz	4fc673950d2cdb17a11ab58e5ba978e4	Bac.TAD5_2.fq.gz	a4a08510235560785117062906a1e392
Bac.TAD6	G1	E672	Bac.TAD6_1.fq.gz	ba0bc852607b8730d8b2ef088cac4359	Bac.TAD6_2.fq.gz	28990187ca272928c109be36eeefd382
Bac.TAD7	G1	E673	Bac.TAD7_1.fq.gz	1567a54f7e535c9a0f6a52aa122eba57	Bac.TAD7_2.fq.gz	c3855d90b93d507185746aef2df3d92a
Bac.TAD8	G1	E674	Bac.TAD8_1.fq.gz	da4cf11554dbd341e4428e1a8d8ab874	Bac.TAD8_2.fq.gz	7498cace05d85265466b0bce8e1cb4bd
Bac.TAD9	G1	E675	Bac.TAD9_1.fq.gz	07a6e76234a38e4aa67a5b8f2b0b98c9	Bac.TAD9_2.fq.gz	8a945bf6092e8984e682d2c3cc7f2713
Bac.TAE0BS1	G1	E692	Bac.TAE0BS1_1.fq.gz	7af004b218978db0a90cfd8dba7a8d7b	Bac.TAE0BS1_2.fq.gz	acadb87ff6f13ad64b2d692546ce9860
Bac.TAE0BS2	G1	E693	Bac.TAE0BS2_1.fq.gz	a1fdc18da4cf400f26cdb2a5b43fe154	Bac.TAE0BS2_2.fq.gz	3e965390eb30109476d8f5493d2849c6
Bac.TAE0BS3	G1	E694	Bac.TAE0BS3_1.fq.gz	029333d07b4212c1141053de3a0c0e8e	Bac.TAE0BS3_2.fq.gz	3842c99a92d95795dc264c4609d42529
Bac.TAE0BS4	G1	E695	Bac.TAE0BS4_1.fq.gz	3c71b7bd44e6cb9b63f2329e0738c60f	Bac.TAE0BS4_2.fq.gz	b979b2655a5d73b95e2a5a70f3282a28
Bac.TAE0BS5	G1	E696	Bac.TAE0BS5_1.fq.gz	d70d511fa5e6f638d1990a8248a549f1	Bac.TAE0BS5_2.fq.gz	d901874a5c614de15de15dfda4a00a0f
Bac.TAE0D1	G1	E697	Bac.TAE0D1_1.fq.gz	f3491ff6433b779f8fafc34220afd746	Bac.TAE0D1_2.fq.gz	cf27efb758d417215165e9384c62c4dc
Bac.TAE0D4	G1	E698	Bac.TAE0D4_1.fq.gz	fd162ef5532ab6f61e4284c3a3827bbf	Bac.TAE0D4_2.fq.gz	0f0bc5f5cf51eb927f2a174da88a34ed
Bac.TAE0D5	G1	E699	Bac.TAE0D5_1.fq.gz	2f85ee63c15470983f0f3fe8b6ed9994	Bac.TAE0D5_2.fq.gz	33b89da475ca93e346d439d15fff9ddc
Bac.TAE0D7	G1	E700	Bac.TAE0D7_1.fq.gz	741fb737551e4cbbe3551f6f91e0cf6b	Bac.TAE0D7_2.fq.gz	f5e03d2bfa019e44b88358a8804a8cdd
Bac.TAE0D9	G1	E701	Bac.TAE0D9_1.fq.gz	5eec18c56c9e48411e8f32e7eccfd6f3	Bac.TAE0D9_2.fq.gz	0cc12a136fea11e08cc02188c4baa4eb
Bac.TAE0H10	G1	E706	Bac.TAE0H10_1.fq.gz	d95beedaaba4d9c57b5cc789e6b140d3	Bac.TAE0H10_2.fq.gz	39a3ab608f095ae6c3c6a4c6ff8af850
Bac.TAE0H6	G1	E702	Bac.TAE0H6_1.fq.gz	a6ee312f255858c1541ad352f150c0df	Bac.TAE0H6_2.fq.gz	891cc9117811f49e46eefe1609bb644b
Bac.TAE0H7	G1	E703	Bac.TAE0H7_1.fq.gz	58a685a3cfdf7d13324faf3d63b7fda9	Bac.TAE0H7_2.fq.gz	2d0800e50fcdf89e98e4a40c42712089
Bac.TAE0H8	G1	E704	Bac.TAE0H8_1.fq.gz	6062a5e4a8108e02eabaf848ff0c2a00	Bac.TAE0H8_2.fq.gz	d7d51a21b46b972399e21d8c713a53f0
Bac.TAE0H9	G1	E705	Bac.TAE0H9_1.fq.gz	13878546ace2b68fe9917e8643cab746	Bac.TAE0H9_2.fq.gz	cb27563c56eb9e1764217360a0a150d8
Bac.TAH1	G1	E677	Bac.TAH1_1.fq.gz	ef8b26edaaf4181e516185d8903a9e22	Bac.TAH1_2.fq.gz	98265b10558924bcecfafb60a5703e23
Bac.TAH10	G1	E686	Bac.TAH10_1.fq.gz	cba567a7f5191cf493e6f23227c0492c	Bac.TAH10_2.fq.gz	a6ed0133d2a7ba3b34ed7ded6851c233
Bac.TAH2	G1	E678	Bac.TAH2_1.fq.gz	ee593c3887037bf7fe30f4abe41f16ae	Bac.TAH2_2.fq.gz	342acb92077f13b041e8b11a71d5dbc2
Bac.TAH3	G1	E679	Bac.TAH3_1.fq.gz	270a037355f390195d37ddd399912616	Bac.TAH3_2.fq.gz	182b2f519be0a0de0a84cb5ebcb451c8
Bac.TAH4	G1	E680	Bac.TAH4_1.fq.gz	63590ade48c8de45d50fbb1e531ab2d6	Bac.TAH4_2.fq.gz	37b98342d22037c60a6d8a3ba66dad66
Bac.TAH5	G1	E681	Bac.TAH5_1.fq.gz	e586be5f8eff2b2ccc20b1e6d453d7e8	Bac.TAH5_2.fq.gz	500a8118320b493029254a449df39a64
Bac.TAH6	G1	E682	Bac.TAH6_1.fq.gz	5fc8ff929426dfa5346eddb8accc94e7	Bac.TAH6_2.fq.gz	be0020e1cda36020e299bc3e09d2d416
Bac.TAH7	G1	E683	Bac.TAH7_1.fq.gz	5ae0b4941226f26da9ba1e608a2b72fb	Bac.TAH7_2.fq.gz	012451d040b37835bda9e4368d489da5
Bac.TAH8	G1	E684	Bac.TAH8_1.fq.gz	f474b68f1adc3ad595d99a650d2bace2	Bac.TAH8_2.fq.gz	21927a7151d509f2d6d6cf16d3b23c95
Bac.TAH9	G1	E685	Bac.TAH9_1.fq.gz	a030c75f4446f49ec172c35f045e8b0a	Bac.TAH9_2.fq.gz	be685b27fb3514b307518db1b6528d2a
Bac2DBS01	G1	E457	Bac2DBS01_1.fq.gz	e89a54331380cfde377db0e41640e90f	Bac2DBS01_2.fq.gz	535e4c28fc0f906bf1e51e82f539a2a3
Bac2DBS02	G1	E458	Bac2DBS02_1.fq.gz	3a59839c8bb3374d9aeebf72faea11b0	Bac2DBS02_2.fq.gz	c907bed8ddb3579cd843aea9947b2865
Bac2DBS03	G1	E459	Bac2DBS03_1.fq.gz	c716762d167291fcfb1866f34e422038	Bac2DBS03_2.fq.gz	00cec465fb91f80ccb05b0c29126ef7f
Bac2DBS04	G1	E460	Bac2DBS04_1.fq.gz	909348923214e0fa5b62e2864bad7b6b	Bac2DBS04_2.fq.gz	1149d3df93e6b5baec7996edbb860b9f
Bac2DBS05	G1	E461	Bac2DBS05_1.fq.gz	cfd06d21c424609b0fbd5d6079bec334	Bac2DBS05_2.fq.gz	f47d2ff410c8143d61f4587a844f5311
Bac2DBS06	G1	E462	Bac2DBS06_1.fq.gz	6fc232c11d53e39688e97cc8964bafcb	Bac2DBS06_2.fq.gz	e96aeb52e867a4de5fbbd21f5d71a09f
Bac2DMH6301	G1	E391	Bac2DMH6301_1.fq.gz	a173a2dd77faa0b945e646c4f1ba571a	Bac2DMH6301_2.fq.gz	29b74a21da8be73242c886b5aef111bf
Bac2DMH6302	G1	E392	Bac2DMH6302_1.fq.gz	03aa4b9e3cb2441f527f79e020618292	Bac2DMH6302_2.fq.gz	4ea4bf0c2b2ea8aed5cd3065880a6866
Bac2DMH6303	G1	E393	Bac2DMH6303_1.fq.gz	9a7786b9b03379ca8cdeb0163fb18b78	Bac2DMH6303_2.fq.gz	c04b8f1e1259e0a4d0bdd8d0d00b46d4
