ZH11BacBI05501	ZH11BacBI05502	ZH11BacBI05503	ZH11BacBI05504	ZH11BacBI05505	ZH11BacBI05506	ZH11BacBI05507	ZH11BacBI05508	ZH11BacBI05509	ZH11BacBI0401	ZH11BacBI0402	ZH11BacBI0403	ZH11BacBI0404	ZH11BacBI0405	ZH11BacBI0406	ZH11BacBI0407	ZH11BacBI0408	ZH11BacBI0409	ZH11BacBI0301	ZH11BacBI0302	ZH11BacBI0303	ZH11BacBI0304	ZH11BacBI0305	ZH11BacBI0306	ZH11BacBI0307	ZH11BacBI0308	ZH11BacBI0309	ZH11BacBI0001	ZH11BacBI0002	ZH11BacBI0003	ZH11BacBI0004	ZH11BacBI0005	ZH11BacBI0006	ZH11BacBI0007	ZH11BacBI0008	ZH11BacBI0009
OTU_3	0.0765940339937703	0.0756777793590937	0.065802772681869	0.0343117344762152	0.0417550079068551	0.0404922571593361	0.0579195074884766	0.0614517116926585	0.0536317290567112	0.303856080278526	0.22510989580454	0.210648418376517	0.141591307189534	0.2143965895107	0.183604034187267	0.149191281754332	0.150753630805603	0.138087364331558	0.27529937877935	0.23777115446013	0.189049148267982	0.144891565793753	0.218948458084877	0.207296189306533	0.205233802224015	0.276437136234011	0.160763904246588	0	0	0	0	0	0	0	0	0
OTU_7	0.0449443155797712	0.0423899588849906	0.0389911030929841	0.0216991206173693	0.017317533532326	0.0196452160875775	0.0309432985212409	0.038543677156342	0.0332131132557084	0.173874774735335	0.126760912200615	0.127863162675807	0.0820531548188746	0.0899979200701319	0.0784798246394122	0.0982620650434829	0.0988273801947845	0.0976741511410868	0.168575885943728	0.130497204920292	0.112876944477334	0.0871492408882721	0.0887350764689614	0.0934770199443012	0.115508471603466	0.16218890538054	0.105474221180356	0	0	0	0	0	0	0	0	0
OTU_4	0.0409988222273485	0.0412630274626903	0.0362845623142954	0.0134715373832834	0.0114837755519403	0.0132662988638464	0.0337643399818669	0.0343620518044747	0.0361050202146487	0.138901591217723	0.115488163202738	0.112481128068191	0.0706930016079212	0.0789653565094111	0.0724242826147662	0.09257748276824	0.0893753668347506	0.0949017407375188	0.156317866218667	0.13438394222246	0.117376235271186	0.0855419802981195	0.0840648092863845	0.096544486920021	0.127769787537564	0.139619431983056	0.118188921815796	0	0	0	0	0	0	0	0	0
OTU_5	0.0378252732264868	0.0375354850658506	0.0345083949282809	0.0190771435427705	0.0177768845544036	0.0202461285796681	0.0306788258843072	0.0333620979159847	0.029444870854665	0.138618407545516	0.113992798539754	0.105965127296909	0.0652866636340337	0.0939939667141725	0.08792647019786	0.0870089123761655	0.0814787480782666	0.0736821380332871	0.146646401114491	0.13321792103181	0.103167948553759	0.0831013253278878	0.11169062702739	0.117855310119758	0.121696425439366	0.147557660557344	0.104896280242381	0	0	0	0	0	0	0	0	0
OTU_6	0.0362813845233649	0.0393559127480281	0.0345083949282809	0.0187606980337672	0.0203492502780383	0.0194140958983119	0.0293564626996388	0.0307258558463293	0.0297954050315062	0.160989917649899	0.119399116936695	0.0999832249495032	0.072198564081662	0.104939659695675	0.0962427479117072	0.0837605796474553	0.084709183024101	0.0647251198063752	0.147096236700731	0.129719857459859	0.0996948118006104	0.0781604872174189	0.111373998743826	0.108330017931997	0.106914091275827	0.146935054394654	0.0877506990824696	0	0	0	0	0	0	0	0	0
OTU_8	0.02513107722304	0.0238389339332769	0.0225826996221838	0.0136975698897144	0.010197592690123	0.0110013210090434	0.0189538723135806	0.0208172218603828	0.0212949512431059	0.0889196730731193	0.0692468867012432	0.0612076793761382	0.0444825276332515	0.0462151481441218	0.0462643410682955	0.0503491572950077	0.0484565241875154	0.0476641327074954	0.0878303982135101	0.0812328096153122	0.0618060472208059	0.0513728107148762	0.0553307925529028	0.0560216337144603	0.0705885104243402	0.0860753019917838	0.0605874749976656	0	0	0	0	0	0	0	0	0
OTU_9	0.0226437009791214	0.0214983840561916	0.0208911116355034	0.0101262562881057	0.010197592690123	0.0130814027124339	0.0181604544027796	0.0175446454980519	0.0199804480799512	0.0865126118593565	0.064415708559296	0.0593917447349613	0.0388708856856721	0.0522092181101827	0.0498169257227545	0.0532494543742133	0.0514476676558805	0.0417994183922555	0.0878303982135101	0.0754027036620601	0.0641740950070437	0.0466105571144242	0.0667294107612261	0.0637710239689102	0.0642859648507384	0.0812501042309424	0.0547117421282577	0	0	0	0	0	0	0	0	0
OTU_172	0.0178404916805199	0.0193312082440755	0.0208065322361694	0.00877006124952008	0.00978417677025317	0.0106315287062184	0.0151630978508645	0.0175446454980519	0.0129697645431262	0.078441877201446	0.0625752597433161	0.0565076132460333	0.0401711441857209	0.0541203708529847	0.0493324823607828	0.045244634435606	0.0486958156649846	0.0351882858914396	0.0780464742127734	0.0698641030064706	0.0502026130682409	0.0408363246238761	0.0595261173101329	0.0574746443871697	0.0574104605886274	0.0700431933025366	0.040744836127206	0	0	0	0	0	0	0	0	0
OTU_11	0.0166396893558695	0.0178575286918366	0.0174233562628085	0.00922212626238194	0.00960043636142213	0.0109088729333371	0.0140170497574852	0.0156356426200255	0.0123563297336541	0.0740525302822315	0.0572839693973739	0.0484961368879	0.0373653232119312	0.0496031007336344	0.0443265676204088	0.0357316600158119	0.0413974256021736	0.0328424001653436	0.0638766532461892	0.0575237120720871	0.0468084112413	0.0354192611533619	0.0531935516388421	0.0558601880841593	0.0460658785561441	0.0666188594077459	0.035543367685435	0	0	0	0	0	0	0	0	0
OTU_10	0.0157819734096906	0.0175974675943826	0.0159855064741301	0.00660014918778316	0.00858986411285137	0.00892123930565283	0.012253898844594	0.0128175907524628	0.0156864044136459	0.0696631833630171	0.0507273704904456	0.0419801361166183	0.0287425563168702	0.0418716191832081	0.0347991815016324	0.0358476718989802	0.0421153000345813	0.0362545975851196	0.0668005845567542	0.0601472597510505	0.0451507777909336	0.0320261554630399	0.0440904884863617	0.0447204395933876	0.048472305047883	0.0692649355991751	0.0420933649824799	0	0	0	0	0	0	0	0	0
