ZH11FunBI05501	ZH11FunBI05502	ZH11FunBI05503	ZH11FunBI05504	ZH11FunBI05505	ZH11FunBI05506	ZH11FunBI05507	ZH11FunBI05508	ZH11FunBI05509	ZH11FunBI0401	ZH11FunBI0402	ZH11FunBI0403	ZH11FunBI0404	ZH11FunBI0405	ZH11FunBI0406	ZH11FunBI0407	ZH11FunBI0408	ZH11FunBI0409	ZH11FunBI0301	ZH11FunBI0302	ZH11FunBI0303	ZH11FunBI0304	ZH11FunBI0305	ZH11FunBI0306	ZH11FunBI0307	ZH11FunBI0308	ZH11FunBI0309	ZH11FunBI0001	ZH11FunBI0002	ZH11FunBI0003	ZH11FunBI0004	ZH11FunBI0005	ZH11FunBI0006	ZH11FunBI0007	ZH11FunBI0008	ZH11FunBI0009
OTU_8	0.00780096044449873	0.00485813752610034	0.005888821985328	0.00160392795540567	0.00324254793580209	0.000537710902314383	0	0	0	0	0	0	0	0	0	0	0	0	0.0132515514912712	0.00608113312023816	0.00629949467536693	0.00300575671982622	0.00296433881226956	0.00219868668744128	0.00273136470686604	0.00223405740729659	0.00306753267078801	0	0	0	0	0	0	0	0	0
OTU_6	0.0048756002778117	0.00485813752610034	0.007851762647104	0.00160392795540567	0.00486382190370314	0.0032262654138863	0.0102498135815155	0.00178472631222002	0.00332856931849624	0	0	0	0	0	0	0	0	0	0.0197232394288688	0.00651038957578439	0.00693652222680853	0.00201605633646881	0.00231363029250307	0.00266725926017466	0.00500750196258774	0.00335108611094489	0.00102251089026267	0	0	0	0	0	0	0	0	0
OTU_16	0.00390048022224936	0	0	0	0.000540424655967015	0.000537710902314383	0.00170830226358591	0	0	0.000476097477557834	0	0	0	0	0	0	0	0	0.00349265698219552	0.000930055653683484	0.00134483594193227	0.000696455825325588	0.00079531041304793	0.000396484484620558	0.000910454902288679	0	0	0	0	0	0	0	0	0	0	0
OTU_17	0.00292536016668702	0	0.002944410992664	0.00106928530360378	0.000540424655967015	0.000537710902314383	0	0	0	0	0	0	0	0	0	0	0	0	0.00472535944649982	0.00135931210922971	0.0012740551028832	0.000549833546309674	0.000578407573125768	0.000829013013297531	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_14	0.00195024011112468	0.00291488251566021	0.001962940661776	0.00053464265180189	0	0.00107542180462877	0.00170830226358591	0.00178472631222002	0.00166428465924812	0	0	0	0	0	0	0	0	0	0.00174632849109776	0.00271862421845941	0.00261889104481547	0.00117297823212731	0.000831460886368291	0.00057670470490263	0	0.00167554305547244	0	0	0	0	0	0	0	0	0	0
OTU_20	0.000975120055562341	0.000971627505220069	0.001962940661776	0.00053464265180189	0	0.000537710902314383	0	0.00178472631222002	0.00166428465924812	0.000476097477557834	0.00095151335529096	0.00095906504858692	0.000263100865999185	0.000788737599716956	0	0.00135639199728722	0.00137320677411309	0.00287719514576076	0.000205450410717384	0.000643884683319335	0.0002123425171472	0.000293244558031826	0.000216902839922163	0.000432528528676972	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0.000975120055562341	0.000971627505220069	0.000981470330888	0.00053464265180189	0.000540424655967015	0.00161313270694315	0.00170830226358591	0	0	0	0	0	0	0	0	0	0	0	0.00287630575004337	0.00100159839627452	0.000990931746686933	0.00106301152286537	0.000253053313242523	0.000504616616789801	0.00045522745114434	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_9	0.000975120055562341	0.00194325501044014	0.001962940661776	0.00053464265180189	0.000540424655967015	0.00107542180462877	0	0	0.00332856931849624	0.000952194955115667	0.0023787833882274	0.00431579271864114	0.00157860519599511	0.00105165013295594	0.0026557397609173	0.00135639199728722	0.00274641354822618	0.0071929878644019	0.00554716108936936	0.00286170970364149	0.002123425171472	0.00139291165065118	0.000831460886368291	0.000792968969241116	0.000910454902288679	0.00223405740729659	0.00153376633539401	0	0	0	0	0	0	0	0	0
OTU_107	0.000975120055562341	0	0.000981470330888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000719076437510842	7.15427425910372e-05	7.07808390490667e-05	7.33111395079566e-05	0.000108451419961081	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_36	0.000975120055562341	0	0.001962940661776	0	0	0.000537710902314383	0	0	0	0.000476097477557834	0	0.00143859757288038	0.000263100865999185	0	0	0	0	0	0.000410900821434767	0.000214628227773112	0.000353904195245333	0.000146622279015913	0.000108451419961081	0.000252308308394901	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_99	0.000975120055562341	0	0	0	0.000540424655967015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000513626026793459	0.000429256455546223	0.0004246850342944	7.33111395079566e-05	0.000216902839922163	0.000144176176225657	0.00045522745114434	0	0	0	0	0	0	0	0	0	0	0
OTU_22	0.000975120055562341	0	0.000981470330888	0	0	0.000537710902314383	0	0	0.00166428465924812	0	0	0	0	0	0	0	0	0	0.00143815287502168	0.00100159839627452	0.00120327426383413	0.000329900127785805	0.000542257099805407	0.000288352352451315	0.00045522745114434	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
