Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.961242516250794	0.135920479664032	0.122703940107736	0.835599590813754	0.956500298201486	0.922504092823309	0.175112595384727	0.917692592093937	0.969565724946372	0.168137458592048	0.799088627075727	0.793178583330445	0.97817577458416	0.252923239241131	0.541795870329057	0.294348266126065	0.0321512559904672	0.638382819144652	0.808842947471098	0.97817577458416	0.381554702859319	0.751468225725433	0.294348266126065	0.605591892547671	0.761146385458252	0.84639828145994	0.662815518451587	0.202652274526977	0.615797056349005	0.990909314167861	0.69153151370196	0.886202561206344	0.451938766228363	0.72954120460859	0.994709694234312	0.931212563023473	0.627739569477745	0.473361379371231	0.333293776755421	0.440906463772258	0.913643078811827	0.0555326610634658	0.66942072668236	0.0755925377850423	0.323707455542463	0.214232395436136	0.490693586865984	0.28918670967946	0.611266043823797	0.000380467678534635	0.0760704291503313	0.371601419421125	0.881017776732011	0.381554702859319	0.462554305667919
Bacteria_Pseudomonas	0.909462117094591	3.508982358555e-101	0.956500298201486	0.78227288944038	0.687066555681551	0.252923239241131	0.650833134102897	0.702942386395661	0.894390770299507	0.577326287417354	0.650833134102897	0.947370030478806	0.206658442963771	0.814460608452139	0.376333416786046	0.766889628253035	0.78227288944038	0.530618701349169	0.456964691495618	0.417878966986324	0.605591892547671	0.28918670967946	0.40837381858955	0.202652274526977	0.413070374341266	0.787880702607455	0.866417172339584	0.947370030478806	0.398397400264925	0.751468225725433	0.519600401399116	0.947370030478806	0.216958721749086	0.697160805682541	0.55961037755689	0.577326287417354	0.951764492165471	0.944276021954313	0.674785998548153	0.886202561206344	0.5477952389767	0.759403237654555	0.761146385458252	0.314680647909953	0.594441449842844	0.866417172339584	0.304076632567786	0.456964691495618	0.935611094078584	0.309220066269153	0.647916329466507	0.810108818710513	0.851207261250153	0.484585535787014	0.851207261250153	0.913643078811827
Bacteria_Phyllobacterium	0.0127274535112337	0.899446993472087	3.508982358555e-101	0.00777025135866845	0.17284974708034	0.420104686907635	0.839699868741576	0.66942072668236	0.793178583330445	0.804436756878269	0.155215489443214	0.462554305667919	0.530618701349169	0.536734341699986	0.398397400264925	0.734848387701306	0.299628533982537	0.40837381858955	0.435377233675131	0.387471956542213	0.638382819144652	0.446248429606572	0.588411545613816	0.216958721749086	0.69153151370196	0.323707455542463	0.745973953600492	0.588411545613816	0.496470358763222	0.97817577458416	0.84639828145994	0.740175999329871	0.707651325480995	0.894390770299507	0.674785998548153	0.343162322721204	0.913643078811827	0.84639828145994	0.931212563023473	0.502170143172572	0.947370030478806	0.553471986192874	0.216958721749086	0.935611094078584	0.243600254209428	0.513941519374689	0.451938766228363	0.525647035600587	0.944276021954313	0.841113273001048	0.0923573749481227	0.277316780368384	0.0619510067141686	0.829812095442519	0.265472685710278	0.473361379371231
Bacteria_Rhizobium	0.0102884466195942	0.558497373248601	0.1076118144514	3.508982358555e-101	0.314709473230791	0.242719046801668	0.341173757990082	0.0774035908880635	0.451938766228363	0.944276021954313	0.00966287876731251	0.889990869029877	0.309220066269153	0.866417172339584	0.381554702859319	0.508575207773191	0.186525607623783	0.0985054633729747	0.299628533982537	0.657103790833647	0.861834539861674	0.468446940285934	0.835599590813754	0.216958721749086	0.440906463772258	0.15850598433172	0.40837381858955	0.97817577458416	0.734848387701306	0.973909923077739	0.756946249112103	0.889990869029877	0.87608052506989	0.939618097767584	0.638382819144652	0.766889628253035	0.662815518451587	0.927288198521507	0.894390770299507	0.583327242807094	0.734848387701306	0.26440733110874	0.644381909341054	0.84639828145994	0.178945163281733	0.398397400264925	0.478892603778949	0.387471956542213	0.969565724946372	0.899086788318608	0.00392119050687955	0.0536636637808059	0.0894859001430274	0.849609936777607	0.151511936790394	0.0391628262042737
Bacteria_Flavobacterium	0.647916329466507	0.41256617049636	0.456964691495618	0.605591892547671	3.508982358555e-101	0.181910259045814	0.536734341699986	0.530618701349169	0.990909314167861	0.657103790833647	0.423388548738202	0.969565724946372	0.78227288944038	0.881017776732011	0.5477952389767	0.931212563023473	0.171710741935118	0.935611094078584	0.135920479664032	0.734848387701306	0.294348266126065	0.588411545613816	0.644381909341054	0.87608052506989	0.856469694585378	0.129084919675396	0.740175999329871	0.299628533982537	0.536734341699986	0.650833134102897	0.473361379371231	0.702942386395661	0.889990869029877	0.799088627075727	0.490693586865984	0.588411545613816	0.841113273001048	0.909219162596429	0.588411545613816	0.793178583330445	0.819863982128931	0.88937577746046	0.944276021954313	0.814460608452139	0.644381909341054	0.69153151370196	0.835599590813754	0.674785998548153	0.894390770299507	0.440906463772258	0.524284360046553	0.143494531442354	0.059797413749924	0.271355836003868	0.114295475480522	0.220899553684471
Bacteria_Variovorax	0.899446993472087	0.0498392334714206	0.69153151370196	0.536734341699986	0.468446940285934	3.508982358555e-101	0.333293776755421	0.553471986192874	0.588411545613816	0.808842947471098	0.462554305667919	0.909219162596429	0.0275372137465677	0.866417172339584	0.530618701349169	0.615797056349005	0.119355361613861	0.462554305667919	0.994709694234312	0.168137458592048	0.947370030478806	0.035604473740984	0.571485722610219	0.101410370802381	0.824911371361381	0.804436756878269	0.990909314167861	1	0.615797056349005	0.87608052506989	0.674785998548153	0.824911371361381	0.468446940285934	0.627739569477745	0.72954120460859	0.155215489443214	0.707651325480995	0.398397400264925	0.435377233675131	0.917692592093937	0.615797056349005	0.989972038499476	0.96574112045472	0.175112595384727	0.871445505543325	0.961242516250794	0.969565724946372	0.513941519374689	0.66942072668236	0.605591892547671	0.713379630628729	0.732452863386731	0.722897325279118	0.620546087627902	0.443140934823514	0.499393440161727
Bacteria_Lentzea	0.819947965319638	0.368846291783931	0.931212563023473	0.627739569477745	0.242719046801668	0.0894859001430274	3.508982358555e-101	0.986487261594608	0.40837381858955	0.947370030478806	0.841113273001048	0.745973953600492	0.814460608452139	0.939618097767584	0.814460608452139	0.787880702607455	0.697160805682541	0.761146385458252	0.97817577458416	0.881017776732011	0.935611094078584	0.314680647909953	0.84639828145994	0.871445505543325	0.216958721749086	0.588411545613816	0.25723758756144	0.687066555681551	0.766889628253035	0.605591892547671	0.484585535787014	0.413070374341266	0.435377233675131	0.615797056349005	0.808842947471098	0.435377233675131	0.381554702859319	0.819863982128931	0.799088627075727	0.644381909341054	0.615797056349005	0.336066155953406	0.577326287417354	0.057700221938239	0.829727612743143	0.519600401399116	0.719703742183572	0.194676714151611	0.423388548738202	0.990909314167861	0.889445929673949	0.694462647207096	0.771028565288177	0.308284456820055	0.226471759070724	0.917692592093937
Bacteria_Sphingomonas	0.0227936871264143	0.435392673515537	0.390379311920236	0.00392119050687955	0.237225438237234	0.259667397337218	0.969769876154569	3.508982358555e-101	0.722897325279118	0.851207261250153	0.0985054633729747	0.927288198521507	0.565514916944017	0.917692592093937	0.565514916944017	0.856469694585378	0.319231531933308	0.0417758315920106	0.462554305667919	0.66942072668236	0.947370030478806	0.328748659158239	0.84639828145994	0.343162322721204	0.771972962083112	0.381554702859319	0.799088627075727	0.740175999329871	0.553471986192874	0.829727612743143	0.899086788318608	0.829727612743143	0.939618097767584	0.594441449842844	0.473361379371231	0.804436756878269	0.632769985742106	0.751468225725433	0.947370030478806	0.776957360073641	0.239307191644631	0.804436756878269	0.627739569477745	0.687066555681551	0.155215489443214	0.594441449842844	0.78227288944038	0.856469694585378	0.588411545613816	0.638382819144652	0.0114575415400789	0.0036660678988014	0.405098740693649	0.110960214260877	0.110960214260877	0.0759277369616524
Bacteria_Nocardioides	0.810108818710513	0.761334126190767	0.575952600603795	0.168432749846746	0.979844227761598	0.295665361004378	0.135767996503656	0.87608052506989	3.508982358555e-101	0.274108742381719	0.638382819144652	0.132612378951978	0.508575207773191	0.283832796911529	0.40837381858955	0.473361379371231	0.381554702859319	0.939618097767584	0.687066555681551	0.84639828145994	0.588411545613816	0.588411545613816	0.155215489443214	0.594441449842844	0.104508532311324	0.986487261594608	0.0253690898697269	0.333293776755421	0.155215489443214	0.462554305667919	0.0275372137465677	0.299628533982537	0.343162322721204	0.035604473740984	0.274108742381719	0.990909314167861	0.0253690898697269	0.0244989710417089	0.787880702607455	0.116568592097202	0.899086788318608	0.938970750390506	0.615797056349005	0.799088627075727	0.740175999329871	0.182655327607727	0.894390770299507	0.490693586865984	0.068425014182579	0.148745564642425	0.979844227761598	0.41256617049636	0.969769876154569	0.248290565817018	0.593630202742588	0.72954120460859
Bacteria_Streptomyces	0.929528970819238	0.283355428434263	0.593630202742588	0.869491525545095	0.375950515973805	0.602549920983054	0.8794603130259	0.675711529221304	0.059797413749924	3.508982358555e-101	0.886202561206344	0.0350666602167099	0.745973953600492	0.0306237608814308	0.0417758315920106	0.60005525507583	0.927288198521507	0.571485722610219	0.508575207773191	0.72954120460859	0.00966287876731251	0.577326287417354	0.0136937806645196	0.490693586865984	0.611266043823797	0.446248429606572	0.611266043823797	0.25723758756144	0.202652274526977	0.662815518451587	0.0555326610634658	0.151448575773706	0.84639828145994	0.210410582306434	0.0640831996745799	0.98262637255458	0.0799495401593904	0.261831400835914	0.456964691495618	0.206658442963771	0.829727612743143	0.421241158567956	0.829727612743143	0.650833134102897	0.26611599746479	0.22120143420621	0.707651325480995	0.814460608452139	0.398397400264925	0.0389325957721305	0.713379630628729	0.226471759070724	0.0284325221487085	0.722897325279118	0.771028565288177	0.947370030478806
