Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	1	0.296428571428571	0.896428571428571	0.967857142857143	0.896428571428571	0.703571428571428	0.825	0.957142857142857	0.65	0.7	0.928571428571428	0.478571428571428	0.846428571428571	0.814285714285714	0.792857142857143	0.814285714285714	0.803571428571428	0.885714285714286	0.85	0.682142857142857	0.689285714285714	0.707142857142857	0.714285714285714	0.782142857142857	0.7	0.835714285714286	0.425	0.55	0.721428571428571	0.714285714285714	0.439285714285714	0.535714285714286	0.1	0.8	0.771428571428571	0.732142857142857	0.389285714285714	0.675	0.467857142857143	0.157142857142857	0.857142857142857	0.453976946246144	0.892857142857143	0.857142857142857	0.903571428571428	0.0428571428571429	0.864285714285714	0.710714285714286	0.825	0.635714285714286	0.846428571428571	0.732142857142857	0.846428571428571	0.332142857142857	0.9	0.878571428571428
Bacteria_Pseudomonas	0.296428571428571	1	0.353571428571428	0.457142857142857	0.257142857142857	0.65	0.339285714285714	0.425	-0.0214285714285714	0.0821428571428571	0.382142857142857	0.0464285714285714	0.625	0.260714285714286	-0.114285714285714	0.335714285714286	0.589285714285714	0.410714285714286	0.0928571428571428	0.582142857142857	0.0821428571428571	0.635714285714286	-0.0357142857142857	0.642857142857143	0.45	0.221428571428571	0.1	0.0928571428571428	0.025	0.332142857142857	-0.160714285714286	0.178571428571429	0.557142857142857	0.0607142857142857	0.121428571428571	0.521428571428571	0.178571428571429	0.0321428571428571	0.303571428571428	0.05	0.489285714285714	0.36461140564651	0.432142857142857	0.514285714285714	0.2	0.0607142857142857	0.414285714285714	0.371428571428571	0.192857142857143	-0.135714285714286	0.464285714285714	0.189285714285714	0.496428571428571	0.460714285714286	0.171428571428571	0.428571428571428
Bacteria_Phyllobacterium	0.896428571428571	0.353571428571428	1	0.885714285714286	0.789285714285714	0.75	0.725	0.857142857142857	0.439285714285714	0.642857142857143	0.785714285714286	0.296428571428571	0.817857142857143	0.8	0.692857142857143	0.746428571428571	0.821428571428571	0.839285714285714	0.775	0.810714285714286	0.682142857142857	0.742857142857143	0.639285714285714	0.796428571428571	0.607142857142857	0.739285714285714	0.260714285714286	0.367857142857143	0.664285714285714	0.682142857142857	0.292857142857143	0.492857142857143	-0.0178571428571429	0.632142857142857	0.707142857142857	0.828571428571429	0.307142857142857	0.489285714285714	0.432142857142857	0.107142857142857	0.821428571428571	0.480786608426035	0.821428571428571	0.710714285714286	0.807142857142857	-0.0107142857142857	0.832142857142857	0.6	0.657142857142857	0.525	0.671428571428571	0.592857142857143	0.817857142857143	0.292857142857143	0.767857142857143	0.735714285714286
Bacteria_Rhizobium	0.967857142857143	0.457142857142857	0.885714285714286	1	0.889285714285714	0.775	0.792857142857143	0.975	0.589285714285714	0.696428571428571	0.964285714285714	0.485714285714286	0.925	0.857142857142857	0.725	0.846428571428571	0.853571428571429	0.885714285714286	0.832142857142857	0.728571428571428	0.696428571428571	0.725	0.682142857142857	0.857142857142857	0.753571428571428	0.867857142857143	0.417857142857143	0.55	0.667857142857143	0.785714285714286	0.375	0.475	0.203571428571429	0.753571428571428	0.767857142857143	0.771428571428571	0.421428571428571	0.621428571428571	0.557142857142857	0.178571428571429	0.878571428571428	0.568364838213677	0.875	0.896428571428571	0.857142857142857	0.0678571428571429	0.839285714285714	0.75	0.746428571428571	0.571428571428571	0.842857142857143	0.707142857142857	0.871428571428571	0.367857142857143	0.846428571428571	0.939285714285714
Bacteria_Flavobacterium	0.896428571428571	0.257142857142857	0.789285714285714	0.889285714285714	1	0.739285714285714	0.878571428571428	0.835714285714286	0.675	0.682142857142857	0.878571428571428	0.496428571428571	0.810714285714286	0.789285714285714	0.778571428571428	0.725	0.785714285714286	0.682142857142857	0.917857142857143	0.639285714285714	0.739285714285714	0.578571428571428	0.696428571428571	0.657142857142857	0.796428571428571	0.9	0.632142857142857	0.678571428571428	0.675	0.821428571428571	0.610714285714286	0.571428571428571	0.210714285714286	0.75	0.75	0.810714285714286	0.614285714285714	0.642857142857143	0.657142857142857	0.392857142857143	0.717857142857143	0.420018040818283	0.728571428571428	0.857142857142857	0.735714285714286	0.278571428571429	0.789285714285714	0.832142857142857	0.625	0.664285714285714	0.653571428571428	0.567857142857143	0.821428571428571	0.410714285714286	0.753571428571428	0.807142857142857
Bacteria_Variovorax	0.703571428571428	0.65	0.75	0.775	0.739285714285714	1	0.789285714285714	0.721428571428571	0.203571428571429	0.410714285714286	0.692857142857143	0.282142857142857	0.914285714285714	0.564285714285714	0.335714285714286	0.510714285714286	0.957142857142857	0.692857142857143	0.585714285714286	0.75	0.457142857142857	0.871428571428571	0.292857142857143	0.771428571428571	0.603571428571428	0.585714285714286	0.221428571428571	0.4	0.378571428571429	0.628571428571428	0.217857142857143	0.389285714285714	0.235714285714286	0.367857142857143	0.464285714285714	0.875	0.332142857142857	0.242857142857143	0.607142857142857	0.253571428571429	0.710714285714286	0.343163675902597	0.642857142857143	0.807142857142857	0.489285714285714	0.153571428571429	0.742857142857143	0.775	0.360714285714286	0.257142857142857	0.539285714285714	0.328571428571429	0.75	0.407142857142857	0.582142857142857	0.653571428571428
Bacteria_Lentzea	0.825	0.339285714285714	0.725	0.792857142857143	0.878571428571428	0.789285714285714	1	0.746428571428571	0.532142857142857	0.435714285714286	0.757142857142857	0.346428571428571	0.778571428571428	0.539285714285714	0.535714285714286	0.539285714285714	0.767857142857143	0.678571428571428	0.778571428571428	0.575	0.442857142857143	0.746428571428571	0.435714285714286	0.621428571428571	0.639285714285714	0.639285714285714	0.467857142857143	0.557142857142857	0.478571428571428	0.664285714285714	0.446428571428571	0.535714285714286	0.217857142857143	0.525	0.464285714285714	0.825	0.571428571428571	0.457142857142857	0.439285714285714	0.242857142857143	0.560714285714286	0.203753432567167	0.728571428571428	0.875	0.596428571428571	0.107142857142857	0.903571428571428	0.732142857142857	0.575	0.425	0.639285714285714	0.375	0.671428571428571	0.417857142857143	0.771428571428571	0.642857142857143
Bacteria_Sphingomonas	0.957142857142857	0.425	0.857142857142857	0.975	0.835714285714286	0.721428571428571	0.746428571428571	1	0.657142857142857	0.746428571428571	0.946428571428571	0.539285714285714	0.896428571428571	0.860714285714286	0.742857142857143	0.85	0.796428571428571	0.907142857142857	0.814285714285714	0.742857142857143	0.717857142857143	0.721428571428571	0.742857142857143	0.842857142857143	0.771428571428571	0.835714285714286	0.460714285714286	0.607142857142857	0.760714285714286	0.767857142857143	0.432142857142857	0.507142857142857	0.178571428571429	0.8	0.821428571428571	0.721428571428571	0.371428571428571	0.717857142857143	0.507142857142857	0.242857142857143	0.885714285714286	0.532618621973823	0.892857142857143	0.842857142857143	0.914285714285714	0.117857142857143	0.807142857142857	0.710714285714286	0.796428571428571	0.639285714285714	0.889285714285714	0.728571428571428	0.846428571428571	0.396428571428571	0.835714285714286	0.925
Bacteria_Nocardioides	0.65	-0.0214285714285714	0.439285714285714	0.589285714285714	0.675	0.203571428571429	0.532142857142857	0.657142857142857	1	0.710714285714286	0.65	0.525	0.378571428571429	0.632142857142857	0.796428571428571	0.742857142857143	0.275	0.485714285714286	0.7	0.403571428571428	0.678571428571428	0.228571428571429	0.828571428571429	0.310714285714286	0.725	0.7	0.771428571428571	0.778571428571428	0.789285714285714	0.585714285714286	0.757142857142857	0.660714285714286	0.225	0.864285714285714	0.742857142857143	0.414285714285714	0.632142857142857	0.939285714285714	0.346428571428571	0.532142857142857	0.514285714285714	0.352100229962561	0.592857142857143	0.467857142857143	0.75	0.346428571428571	0.542857142857143	0.503571428571428	0.710714285714286	0.825	0.617857142857143	0.639285714285714	0.582142857142857	0.425	0.578571428571428	0.607142857142857
Bacteria_Streptomyces	0.7	0.0821428571428571	0.642857142857143	0.696428571428571	0.682142857142857	0.410714285714286	0.435714285714286	0.746428571428571	0.710714285714286	1	0.689285714285714	0.757142857142857	0.571428571428571	0.882142857142857	0.907142857142857	0.753571428571428	0.535714285714286	0.489285714285714	0.739285714285714	0.65	0.960714285714286	0.321428571428571	0.953571428571429	0.421428571428571	0.75	0.814285714285714	0.542857142857143	0.807142857142857	0.882142857142857	0.714285714285714	0.764285714285714	0.675	0.0428571428571429	0.903571428571428	0.928571428571428	0.464285714285714	0.489285714285714	0.846428571428571	0.667857142857143	0.639285714285714	0.728571428571428	0.680965419369217	0.660714285714286	0.471428571428571	0.832142857142857	0.55	0.439285714285714	0.621428571428571	0.707142857142857	0.925	0.607142857142857	0.575	0.678571428571428	0.164285714285714	0.489285714285714	0.646428571428571
Bacteria_Chryseobacterium	0.928571428571428	0.382142857142857	0.785714285714286	0.964285714285714	0.878571428571428	0.692857142857143	0.757142857142857	0.946428571428571	0.65	0.689285714285714	1	0.557142857142857	0.896428571428571	0.864285714285714	0.732142857142857	0.839285714285714	0.753571428571428	0.853571428571429	0.857142857142857	0.6	0.689285714285714	0.585714285714286	0.692857142857143	0.767857142857143	0.721428571428571	0.885714285714286	0.467857142857143	0.607142857142857	0.667857142857143	0.835714285714286	0.457142857142857	0.382142857142857	0.278571428571429	0.742857142857143	0.792857142857143	0.692857142857143	0.485714285714286	0.664285714285714	0.557142857142857	0.235714285714286	0.807142857142857	0.563002905777699	0.771428571428571	0.892857142857143	0.828571428571429	0.103571428571429	0.757142857142857	0.7	0.7	0.582142857142857	0.814285714285714	0.746428571428571	0.796428571428571	0.371428571428571	0.807142857142857	0.975
Bacteria_Actinoplanes	0.478571428571428	0.0464285714285714	0.296428571428571	0.485714285714286	0.496428571428571	0.282142857142857	0.346428571428571	0.539285714285714	0.525	0.757142857142857	0.557142857142857	1	0.471428571428571	0.685714285714286	0.689285714285714	0.489285714285714	0.346428571428571	0.321428571428571	0.610714285714286	0.207142857142857	0.653571428571428	0.121428571428571	0.689285714285714	0.289285714285714	0.457142857142857	0.682142857142857	0.5	0.692857142857143	0.539285714285714	0.657142857142857	0.689285714285714	0.285714285714286	0.360714285714286	0.642857142857143	0.664285714285714	0.2	0.496428571428571	0.6	0.757142857142857	0.682142857142857	0.457142857142857	0.568364838213677	0.360714285714286	0.478571428571428	0.507142857142857	0.678571428571428	0.196428571428571	0.625	0.471428571428571	0.685714285714286	0.482142857142857	0.242857142857143	0.317857142857143	-0.15	0.367857142857143	0.496428571428571
Bacteria_Pseudoxanthomonas	0.846428571428571	0.625	0.817857142857143	0.925	0.810714285714286	0.914285714285714	0.778571428571428	0.896428571428571	0.378571428571429	0.571428571428571	0.896428571428571	0.471428571428571	1	0.775	0.514285714285714	0.696428571428571	0.910714285714286	0.839285714285714	0.735714285714286	0.735714285714286	0.582142857142857	0.785714285714286	0.492857142857143	0.867857142857143	0.685714285714286	0.764285714285714	0.325	0.482142857142857	0.528571428571428	0.796428571428571	0.3	0.339285714285714	0.325	0.539285714285714	0.660714285714286	0.817857142857143	0.392857142857143	0.432142857142857	0.628571428571428	0.242857142857143	0.817857142857143	0.498659716545962	0.746428571428571	0.910714285714286	0.685714285714286	0.132142857142857	0.757142857142857	0.757142857142857	0.539285714285714	0.392857142857143	0.742857142857143	0.525	0.803571428571428	0.371428571428571	0.7	0.867857142857143
Bacteria_Devosia	0.814285714285714	0.260714285714286	0.8	0.857142857142857	0.789285714285714	0.564285714285714	0.539285714285714	0.860714285714286	0.632142857142857	0.882142857142857	0.864285714285714	0.685714285714286	0.775	1	0.860714285714286	0.864285714285714	0.660714285714286	0.685714285714286	0.871428571428571	0.653571428571428	0.903571428571428	0.396428571428571	0.871428571428571	0.657142857142857	0.714285714285714	0.939285714285714	0.503571428571428	0.65	0.771428571428571	0.896428571428571	0.564285714285714	0.417857142857143	0.167857142857143	0.792857142857143	0.917857142857143	0.653571428571428	0.489285714285714	0.710714285714286	0.7	0.45	0.796428571428571	0.761394405908888	0.660714285714286	0.653571428571428	0.814285714285714	0.360714285714286	0.578571428571428	0.678571428571428	0.614285714285714	0.735714285714286	0.642857142857143	0.617857142857143	0.732142857142857	0.185714285714286	0.603571428571428	0.832142857142857
Bacteria_Kribbella	0.792857142857143	-0.114285714285714	0.692857142857143	0.725	0.778571428571428	0.335714285714286	0.535714285714286	0.742857142857143	0.796428571428571	0.907142857142857	0.732142857142857	0.689285714285714	0.514285714285714	0.860714285714286	1	0.782142857142857	0.489285714285714	0.553571428571428	0.85	0.492857142857143	0.9	0.264285714285714	0.95	0.414285714285714	0.646428571428571	0.871428571428571	0.575	0.714285714285714	0.842857142857143	0.696428571428571	0.739285714285714	0.6	-0.0107142857142857	0.925	0.889285714285714	0.475	0.503571428571428	0.835714285714286	0.578571428571428	0.478571428571428	0.682142857142857	0.579088703085633	0.65	0.517857142857143	0.842857142857143	0.389285714285714	0.542857142857143	0.625	0.742857142857143	0.914285714285714	0.589285714285714	0.642857142857143	0.653571428571428	0.110714285714286	0.660714285714286	0.671428571428571
Bacteria_Mycobacterium	0.814285714285714	0.335714285714286	0.746428571428571	0.846428571428571	0.725	0.510714285714286	0.539285714285714	0.85	0.742857142857143	0.753571428571428	0.839285714285714	0.489285714285714	0.696428571428571	0.864285714285714	0.782142857142857	1	0.639285714285714	0.735714285714286	0.721428571428571	0.610714285714286	0.75	0.478571428571428	0.771428571428571	0.642857142857143	0.675	0.846428571428571	0.403571428571428	0.567857142857143	0.664285714285714	0.707142857142857	0.396428571428571	0.489285714285714	0.207142857142857	0.821428571428571	0.785714285714286	0.639285714285714	0.489285714285714	0.746428571428571	0.514285714285714	0.278571428571429	0.846428571428571	0.747095919412946	0.725	0.625	0.821428571428571	0.117857142857143	0.707142857142857	0.642857142857143	0.703571428571428	0.632142857142857	0.7	0.75	0.789285714285714	0.25	0.678571428571428	0.832142857142857
Bacteria_Lysobacter	0.803571428571428	0.589285714285714	0.821428571428571	0.853571428571429	0.785714285714286	0.957142857142857	0.767857142857143	0.796428571428571	0.275	0.535714285714286	0.753571428571428	0.346428571428571	0.910714285714286	0.660714285714286	0.489285714285714	0.639285714285714	1	0.732142857142857	0.628571428571428	0.767857142857143	0.571428571428571	0.857142857142857	0.414285714285714	0.785714285714286	0.625	0.678571428571428	0.196428571428571	0.432142857142857	0.453571428571428	0.617857142857143	0.232142857142857	0.460714285714286	0.132142857142857	0.525	0.560714285714286	0.842857142857143	0.282142857142857	0.346428571428571	0.632142857142857	0.203571428571429	0.839285714285714	0.475424675990057	0.735714285714286	0.803571428571428	0.617857142857143	0.139285714285714	0.778571428571428	0.821428571428571	0.510714285714286	0.364285714285714	0.614285714285714	0.467857142857143	0.828571428571429	0.321428571428571	0.660714285714286	0.721428571428571
