Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.375213786987797	0.000528284494222503	1.79227354456428e-05	0.000528284494222503	0.0190029099783984	0.00307224647077258	3.77682706406767e-05	0.0340314019199343	0.019798090940547	0.000200898497286662	0.137296296706195	0.00196291712324092	0.0037480218565945	0.00542878169081645	0.0037480218565945	0.00454213469900825	0.000734374283664764	0.0018268722850557	0.024211604981281	0.0224362059849204	0.0181690332698138	0.0167021629826981	0.00653824892672501	0.019798090940547	0.00247592085966143	0.192199470409862	0.0821242001089807	0.0153545359011559	0.0167021629826981	0.176668024950538	0.0914401352344668	0.778512823290795	0.00483642155376523	0.00761629988019037	0.0133231624940756	0.235743637989563	0.0261738497296051	0.147579756748994	0.650982513992175	0.00155905628966508	0.161656366915647	0.000599178097140622	0.00155905628966508	0.000424489293113829	0.905962493435886	0.00131286358735654	0.0174036629768273	0.00307224647077258	0.0391342866289244	0.00196291712324092	0.0133231624940756	0.00196291712324092	0.31707743005313	0.00046789699582611	0.000908994187393185
Bacteria_Pseudomonas	0.283355428434263	3.508982358555e-101	0.285559823925112	0.158196222800277	0.445824457540262	0.0340314019199343	0.306581568255756	0.192199470409862	0.953201135401786	0.818689626960268	0.245155094391582	0.898375758401619	0.0432575242481684	0.438925634188663	0.74620198136014	0.31186425244786	0.0596194449894394	0.208889767858539	0.794346103404669	0.0632374655214449	0.818689626960268	0.0391342866289244	0.921850951947512	0.0365522985187388	0.165279238146329	0.5149787999432	0.778512823290795	0.794346103404669	0.945444479901187	0.31707743005313	0.643270424326821	0.604135284622781	0.0775496895453017	0.866460374842199	0.730635097917081	0.101833988325997	0.604135284622781	0.929651197732072	0.363281969038939	0.890597683188917	0.127830541788776	0.269868851488646	0.184387582895818	0.107197852541397	0.559580783813834	0.866460374842199	0.204492654711008	0.260031233238964	0.574142554993463	0.698781936056909	0.151063569493179	0.581276855842084	0.121879695601304	0.154538862578989	0.619761478122761	0.188199735642716
Bacteria_Phyllobacterium	6.06614302172997e-06	0.196071678434199	3.508982358555e-101	0.000734374283664764	0.00577339049181561	0.0104928393651979	0.0146476608405744	0.00155905628966508	0.176668024950538	0.0365522985187388	0.00617679878094424	0.375213786987797	0.00351622102683186	0.00483642155376523	0.0214975918862241	0.0110255808029112	0.00329333126810713	0.00229061806996323	0.00725899927686504	0.00398895799423478	0.024211604981281	0.0115866123889853	0.0378568242586593	0.00511510053425611	0.0509678535247015	0.0121244090558353	0.438925634188663	0.264896932264474	0.029386947175091	0.024211604981281	0.381331265772079	0.124904592093974	0.961078242445115	0.0404590770862562	0.0181690332698138	0.00287884593685558	0.357164925429145	0.127830541788776	0.184387582895818	0.762448918585069	0.00329333126810713	0.135605193314587	0.00329333126810713	0.0174036629768273	0.0042567950140309	0.975993603481115	0.00268667175918049	0.0542627819677106	0.0316871952569813	0.099224308705166	0.0272378930107612	0.057811310824069	0.00351622102683186	0.381331265772079	0.00803530651691382	0.0127229698028804
Bacteria_Rhizobium	3.59653554093167e-09	0.0866781266241698	1.11998218512084e-05	3.508982358555e-101	0.000661805646764167	0.00725899927686504	0.00542878169081645	5.33992020900889e-06	0.0596194449894394	0.0206027875156452	2.26566278544864e-05	0.130879941474531	0.000214513578326203	0.00155905628966508	0.0146476608405744	0.00196291712324092	0.00166558139961903	0.000734374283664764	0.00268667175918049	0.0140000993121799	0.0206027875156452	0.0146476608405744	0.024211604981281	0.00155905628966508	0.00996313876692587	0.00119823802756073	0.200309175503345	0.0821242001089807	0.0283495055595677	0.00617679878094424	0.25498578379216	0.140626200253973	0.552016004881524	0.00996313876692587	0.00803530651691382	0.00761629988019037	0.196165659759028	0.0447598481674996	0.0775496895453017	0.604135284622781	0.000908994187393185	0.0711277184688948	0.000989366361180743	0.000528284494222503	0.00155905628966508	0.850560210669441	0.00229061806996323	0.0104928393651979	0.0110255808029112	0.0690736998717647	0.00215314103256335	0.0181690332698138	0.00109126285895311	0.264896932264474	0.00196291712324092	0.000125019015230244
Bacteria_Flavobacterium	6.06614302172997e-06	0.354860363650609	0.000467326756178175	9.19297475884227e-06	3.508982358555e-101	0.0121244090558353	0.000908994187393185	0.00247592085966143	0.0261738497296051	0.024211604981281	0.000908994187393185	0.121879695601304	0.00398895799423478	0.00577339049181561	0.00690470019808442	0.0146476608405744	0.00617679878094424	0.024211604981281	0.000280104421981513	0.0378568242586593	0.0121244090558353	0.06513932916258	0.0206027875156452	0.0316871952569813	0.00511510053425611	0.00046789699582611	0.0404590770862562	0.0251404612800049	0.0261738497296051	0.00329333126810713	0.049437189964635	0.0690736998717647	0.537096960854703	0.0104928393651979	0.0104928393651979	0.00398895799423478	0.047901425585576	0.0365522985187388	0.0316871952569813	0.231162921012315	0.0160095787683053	0.198194962220967	0.0140000993121799	0.00155905628966508	0.0127229698028804	0.40607381899367	0.00577339049181561	0.00268667175918049	0.0432575242481684	0.029386947175091	0.0327942572978152	0.0711277184688948	0.00329333126810713	0.208889767858539	0.00996313876692587	0.0042567950140309
Bacteria_Variovorax	0.00342433708908396	0.00871158362191229	0.00128089845093553	0.000689645393951437	0.00163551114354076	3.508982358555e-101	0.00577339049181561	0.0153545359011559	0.552016004881524	0.208889767858539	0.0214975918862241	0.399807937089885	0.000316015509773899	0.0733420727192486	0.31186425244786	0.109921279403785	3.77682706406767e-05	0.0214975918862241	0.0614880896004829	0.0104928393651979	0.158196222800277	0.00109126285895311	0.381331265772079	0.00761629988019037	0.0526032180283308	0.0614880896004829	0.5149787999432	0.22207078183736	0.250024582000375	0.0418728898645257	0.522401321754196	0.235743637989563	0.486750637843138	0.264896932264474	0.151063569493179	0.000989366361180743	0.31707743005313	0.473371221607522	0.0509678535247015	0.452686480211528	0.0174036629768273	0.301185397008871	0.0365522985187388	0.0042567950140309	0.127830541788776	0.658746380782773	0.0115866123889853	0.00725899927686504	0.274948693135757	0.445824457540262	0.0890155704661779	0.322707419055041	0.0104928393651979	0.213130596491233	0.0632374655214449	0.0327942572978152
Bacteria_Lentzea	0.000153235570905647	0.216028925341955	0.00222703231375422	0.000422077185192351	1.63152802865443e-05	0.000467326756178175	3.508982358555e-101	0.0110255808029112	0.0939564478217544	0.180445366680517	0.00945179386144927	0.295785882299672	0.00690470019808442	0.0890155704661779	0.0914401352344668	0.0890155704661779	0.00803530651691382	0.0251404612800049	0.00690470019808442	0.0671665259278618	0.172888695234212	0.0110255808029112	0.180445366680517	0.0447598481674996	0.0378568242586593	0.0378568242586593	0.147579756748994	0.0775496895453017	0.137296296706195	0.029386947175091	0.168948911330816	0.0914401352344668	0.522401321754196	0.099224308705166	0.151063569493179	0.00307224647077258	0.0690736998717647	0.158196222800277	0.176668024950538	0.473371221607522	0.0754615517540079	0.552016004881524	0.0140000993121799	0.000989366361180743	0.0560186503531404	0.762448918585069	0.000424489293113829	0.0133231624940756	0.0671665259278618	0.192199470409862	0.0378568242586593	0.25498578379216	0.0272378930107612	0.200309175503345	0.00761629988019037	0.0365522985187388
Bacteria_Sphingomonas	2.27367515562602e-08	0.114295475480522	4.44600444700478e-05	7.14370596522928e-10	0.000104446873277133	0.00239886807267334	0.00139141108906305	3.508982358555e-101	0.0316871952569813	0.0110255808029112	8.64775596304705e-05	0.0890155704661779	0.000528284494222503	0.00142587967641197	0.0115866123889853	0.0018268722850557	0.00511510053425611	0.000376409527443566	0.0037480218565945	0.0115866123889853	0.0160095787683053	0.0153545359011559	0.0115866123889853	0.00215314103256335	0.00761629988019037	0.00247592085966143	0.154538862578989	0.0509678535247015	0.00896573583045772	0.00803530651691382	0.184387582895818	0.112879435351709	0.604135284622781	0.00483642155376523	0.00329333126810713	0.0153545359011559	0.260031233238964	0.0160095787683053	0.112879435351709	0.473371221607522	0.000734374283664764	0.0939564478217544	0.000599178097140622	0.00215314103256335	0.000316015509773899	0.738316127502022	0.0042567950140309	0.0174036629768273	0.00511510053425611	0.0378568242586593	0.000661805646764167	0.0140000993121799	0.00196291712324092	0.226574376934251	0.00247592085966143	0.000214513578326203
Bacteria_Nocardioides	0.00871158362191229	0.939577904012878	0.101360571193473	0.0207943584831617	0.00576349921805083	0.466795072489112	0.0411585803869344	0.00777025135866845	3.508982358555e-101	0.0174036629768273	0.0340314019199343	0.099224308705166	0.250024582000375	0.0404590770862562	0.00511510053425611	0.0115866123889853	0.412587596969214	0.130879941474531	0.019798090940547	0.217618907229512	0.0251404612800049	0.500909386755868	0.00287884593685558	0.351314714044472	0.0146476608405744	0.019798090940547	0.00761629988019037	0.00690470019808442	0.00577339049181561	0.0614880896004829	0.00945179386144927	0.0304987065784317	0.507821340802831	0.00131286358735654	0.0115866123889853	0.204492654711008	0.0404590770862562	0.000125019015230244	0.295785882299672	0.0939564478217544	0.107197852541397	0.288067963648588	0.057811310824069	0.147579756748994	0.0104928393651979	0.295785882299672	0.0866668646340981	0.115855423285122	0.0174036629768273	0.00307224647077258	0.0463109443613041	0.0378568242586593	0.0632374655214449	0.192199470409862	0.06513932916258	0.0509678535247015
Bacteria_Streptomyces	0.0036660678988014	0.771028565288177	0.00973994469559527	0.00392119050687955	0.00508632646897725	0.128328646015749	0.104493357044066	0.00139141108906305	0.00297899488680274	3.508982358555e-101	0.0224362059849204	0.00945179386144927	0.0690736998717647	0.000822849454021349	0.000376409527443566	0.00996313876692587	0.0914401352344668	0.127830541788776	0.0121244090558353	0.0340314019199343	3.24601620609385e-05	0.3340067884467	5.11401572683981e-05	0.196165659759028	0.0104928393651979	0.0037480218565945	0.0866668646340981	0.0042567950140309	0.000822849454021349	0.0167021629826981	0.00850425465184351	0.0261738497296051	0.905962493435886	0.000424489293113829	0.000200898497286662	0.151063569493179	0.127830541788776	0.00196291712324092	0.0283495055595677	0.0378568242586593	0.0140000993121799	0.0245196581847551	0.0304987065784317	0.144083010658064	0.00268667175918049	0.0821242001089807	0.176668024950538	0.0447598481674996	0.0181690332698138	0.000214513578326203	0.0509678535247015	0.0671665259278618	0.0251404612800049	0.635428898787411	0.127830541788776	0.0353324126857558
