Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	1	0.0321428571428571	0.625	0.639285714285714	0.128571428571429	0.0357142857142857	0.0642857142857143	0.582142857142857	0.0678571428571429	-0.025	0.589285714285714	-0.153571428571429	0.157142857142857	0.0178571428571429	0.514285714285714	0.317857142857143	0.482142857142857	0.782142857142857	0.257142857142857	0.146428571428571	-0.0178571428571429	0.421428571428571	0.185714285714286	0.482142857142857	-0.278571428571429	0.178571428571429	-0.121428571428571	-0.242857142857143	0.557142857142857	-0.271428571428571	-0.00714285714285714	0.225	-0.0928571428571428	0.375	0.2	0.00357142857142857	-0.0571428571428571	0.264285714285714	-0.360714285714286	-0.453571428571428	0.382142857142857	0.0714924324797078	0.732142857142857	0.239285714285714	0.7	-0.460714285714286	0.546428571428571	-0.35	0.485714285714286	0.275	0.796428571428571	0.471428571428571	0.428571428571428	0.0964285714285714	0.421428571428571	0.368515795386104
Bacteria_Pseudomonas	0.0321428571428571	1	-0.0357142857142857	0.164285714285714	-0.228571428571429	0.514285714285714	0.25	0.217857142857143	-0.0857142857142857	-0.296428571428571	0.25	0.0428571428571429	0.553571428571428	-0.142857142857143	-0.425	0.175	0.164285714285714	0.325	-0.371428571428571	0.396428571428571	-0.278571428571429	0.485714285714286	-0.403571428571428	0.557142857142857	0.4	-0.160714285714286	0.107142857142857	0.0428571428571429	-0.410714285714286	0.185714285714286	-0.332142857142857	0.0428571428571429	0.542857142857143	-0.221428571428571	-0.307142857142857	0.296428571428571	-0.0392857142857143	-0.0464285714285714	0.235714285714286	0.0928571428571428	0.314285714285714	0.180518392011262	0.178571428571429	0.467857142857143	-0.285714285714286	0.107142857142857	0.475	0.371428571428571	0.0535714285714286	-0.471428571428571	0.128571428571429	-0.0678571428571429	-0.117857142857143	0.353571428571428	-0.117857142857143	0.0715564651235153
Bacteria_Phyllobacterium	0.625	-0.0357142857142857	1	0.657142857142857	0.371428571428571	0.225	-0.0571428571428571	0.239285714285714	-0.157142857142857	0.15	0.603571428571428	-0.367857142857143	0.325	0.321428571428571	0.410714285714286	0.196428571428571	0.478571428571428	0.403571428571428	0.385714285714286	0.417857142857143	0.257142857142857	0.378571428571429	0.289285714285714	0.542857142857143	-0.225	0.460714285714286	-0.189285714285714	-0.289285714285714	0.346428571428571	0.0178571428571429	-0.121428571428571	0.192857142857143	-0.214285714285714	-0.0857142857142857	0.235714285714286	0.446428571428571	-0.0714285714285714	-0.121428571428571	-0.0571428571428571	-0.342857142857143	0.0428571428571429	0.310992081286729	0.542857142857143	0.0535714285714286	0.521428571428571	-0.335714285714286	0.375	-0.328571428571429	-0.0464285714285714	0.125	0.45	0.3	0.492857142857143	0.0607142857142857	0.307142857142857	0.361360148873752
Bacteria_Rhizobium	0.639285714285714	0.164285714285714	0.657142857142857	1	0.278571428571429	0.321428571428571	-0.264285714285714	0.696428571428571	-0.375	0.0464285714285714	0.864285714285714	-0.0892857142857143	0.471428571428571	0.107142857142857	0.421428571428571	0.339285714285714	0.571428571428571	0.667857142857143	0.478571428571428	0.246428571428571	0.110714285714286	0.364285714285714	0.128571428571429	0.542857142857143	-0.382142857142857	0.6	-0.403571428571428	-0.0178571428571429	0.196428571428571	-0.0214285714285714	-0.182142857142857	-0.0892857142857143	-0.1	-0.05	0.257142857142857	0.175	-0.242857142857143	-0.0607142857142857	-0.0857142857142857	-0.292857142857143	0.196428571428571	0.505808959793933	0.253571428571429	0.121428571428571	0.578571428571428	-0.410714285714286	0.357142857142857	-0.417857142857143	-0.025	0.0821428571428571	0.696428571428571	0.507142857142857	0.453571428571428	0.0535714285714286	0.389285714285714	0.767443088449702
Bacteria_Flavobacterium	0.128571428571429	-0.228571428571429	0.371428571428571	0.278571428571429	1	0.364285714285714	0.321428571428571	0.325	0.00714285714285714	0.246428571428571	0.392857142857143	-0.025	0.164285714285714	0.0964285714285714	0.314285714285714	-0.0571428571428571	0.585714285714286	0.0535714285714286	0.625	0.196428571428571	0.482142857142857	0.289285714285714	0.253571428571429	0.1	0.114285714285714	0.632142857142857	0.192857142857143	0.478571428571428	0.321428571428571	0.25	0.360714285714286	0.217857142857143	-0.0892857142857143	0.153571428571429	0.35	0.289285714285714	0.125	0.075	0.289285714285714	0.157142857142857	0.139285714285714	0.0911528514116274	-0.0464285714285714	0.142857142857143	0.253571428571429	0.225	-0.128571428571429	0.235714285714286	-0.0857142857142857	0.382142857142857	0.178571428571429	0.396428571428571	0.496428571428571	0.303571428571428	0.425	0.540251311682541
Bacteria_Variovorax	0.0357142857142857	0.514285714285714	0.225	0.321428571428571	0.364285714285714	1	0.453571428571428	0.310714285714286	-0.289285714285714	-0.146428571428571	0.367857142857143	-0.075	0.792857142857143	-0.107142857142857	-0.325	-0.271428571428571	0.642857142857143	0.367857142857143	-0.00357142857142857	0.589285714285714	-0.0428571428571429	0.775	-0.3	0.664285714285714	0.135714285714286	0.15	-0.00714285714285714	0	-0.271428571428571	0.1	-0.235714285714286	-0.135714285714286	0.364285714285714	-0.264285714285714	-0.2	0.603571428571428	-0.214285714285714	-0.410714285714286	0.385714285714286	0.0678571428571429	0.271428571428571	-0.00893655405996347	0.0285714285714286	0.582142857142857	-0.103571428571429	0.0321428571428571	0.025	0.335714285714286	-0.239285714285714	-0.278571428571429	0.103571428571429	-0.0964285714285714	0.1	0.139285714285714	0.214285714285714	0.345259944220961
Bacteria_Lentzea	0.0642857142857143	0.25	-0.0571428571428571	-0.264285714285714	0.321428571428571	0.453571428571428	1	-0.0107142857142857	0.403571428571428	0.0428571428571429	-0.125	0.189285714285714	0.142857142857143	-0.05	-0.142857142857143	-0.160714285714286	0.221428571428571	0.178571428571429	0.0178571428571429	0.0964285714285714	-0.0535714285714286	0.467857142857143	-0.121428571428571	0.103571428571429	0.542857142857143	-0.289285714285714	0.510714285714286	0.228571428571429	0.175	0.278571428571429	0.353571428571428	0.4	0.385714285714286	0.271428571428571	-0.146428571428571	0.385714285714286	0.421428571428571	0.139285714285714	0.153571428571429	0.253571428571429	0.271428571428571	-0.452189635434152	0.296428571428571	0.728571428571428	-0.132142857142857	0.332142857142857	0.207142857142857	0.564285714285714	0.392857142857143	0.00714285714285714	-0.0392857142857143	-0.110714285714286	-0.0821428571428571	0.282142857142857	0.332142857142857	-0.0679786418673396
Bacteria_Sphingomonas	0.582142857142857	0.217857142857143	0.239285714285714	0.696428571428571	0.325	0.310714285714286	-0.0107142857142857	1	-0.1	-0.117857142857143	0.667857142857143	0.0607142857142857	0.303571428571428	-0.0678571428571429	0.303571428571428	0.114285714285714	0.464285714285714	0.760714285714286	0.367857142857143	0.239285714285714	0.0428571428571429	0.457142857142857	0.121428571428571	0.446428571428571	-0.171428571428571	0.421428571428571	-0.153571428571429	0.192857142857143	0.310714285714286	-0.132142857142857	-0.0821428571428571	-0.132142857142857	-0.05	0.285714285714286	0.360714285714286	-0.15	-0.260714285714286	0.185714285714286	-0.0428571428571429	-0.167857142857143	0.525	0.150134108207386	0.264285714285714	0.228571428571429	0.603571428571428	-0.285714285714286	0.164285714285714	-0.114285714285714	0.289285714285714	0.257142857142857	0.632142857142857	0.7	0.232142857142857	0.428571428571428	0.428571428571428	0.699464446582362
Bacteria_Nocardioides	0.0678571428571429	-0.0857142857142857	-0.157142857142857	-0.375	0.00714285714285714	-0.289285714285714	0.403571428571428	-0.1	1	0.496428571428571	-0.257142857142857	0.628571428571428	-0.339285714285714	0.489285714285714	0.403571428571428	0.360714285714286	-0.421428571428571	-0.05	0.228571428571429	-0.121428571428571	0.289285714285714	-0.289285714285714	0.603571428571428	-0.285714285714286	0.660714285714286	-0.0107142857142857	0.8	0.453571428571428	0.603571428571428	0.367857142857143	0.792857142857143	0.478571428571428	0.446428571428571	0.775	0.496428571428571	-0.00714285714285714	0.8	0.803571428571428	0.160714285714286	0.646428571428571	0.0821428571428571	-0.0518320135477881	0.271428571428571	0.153571428571429	0.192857142857143	0.575	0.0857142857142857	0.35	0.710714285714286	0.610714285714286	0.00714285714285714	0.228571428571429	0.0107142857142857	0.317857142857143	0.15	-0.200358102345843
Bacteria_Streptomyces	-0.025	-0.296428571428571	0.15	0.0464285714285714	0.246428571428571	-0.146428571428571	0.0428571428571429	-0.117857142857143	0.496428571428571	1	-0.0928571428571428	0.546428571428571	-0.189285714285714	0.785714285714286	0.760714285714286	0.282142857142857	-0.0607142857142857	-0.3	0.339285714285714	0.2	0.864285714285714	-0.296428571428571	0.846428571428571	-0.35	0.275	0.378571428571429	0.275	0.510714285714286	0.557142857142857	0.242857142857143	0.732142857142857	0.607142857142857	0.121428571428571	0.55	0.717857142857143	-0.0142857142857143	0.692857142857143	0.507142857142857	0.371428571428571	0.553571428571428	0.132142857142857	0.394995689450385	0.132142857142857	-0.25	0.503571428571428	0.539285714285714	-0.214285714285714	0.142857142857143	0.410714285714286	0.767857142857143	0.103571428571429	0.332142857142857	0.564285714285714	-0.1	0.0821428571428571	0.0429338790741092
