Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.959704859811124	0.126906689635134	0.114301915008372	0.828861273184428	0.954933189499648	0.919518081071894	0.165000177500375	0.914829804591764	0.968236856753671	0.157871160667859	0.790674394275085	0.784722747356769	0.97713002184541	0.242150321871218	0.52866707279192	0.282622985038576	0.0285736761829901	0.625707159527041	0.801054184138308	0.97713002184541	0.369044875846996	0.742028626905345	0.282622985038576	0.592532633995255	0.751875473175413	0.840574704339482	0.650501793399599	0.192217647641391	0.602835544012244	0.990399657782108	0.680967696982451	0.881538386203624	0.439198187827125	0.719804167950626	0.994177417228982	0.928193895427113	0.614869526876765	0.46088816133162	0.321564187277845	0.427894568106225	0.910488433736439	0.0502027018747153	0.656831938011051	0.0693768545406087	0.311830032601192	0.203867719579606	0.477984565585296	0.277260585801625	0.59816978588997	0.000380467678534635	0.0760704291503313	0.359682394449286	0.876247290554678	0.369044875846996	0.449919766726768
Bacteria_Pseudomonas	0.909462117094591	3.508982358555e-101	0.954933189499648	0.773654359273551	0.675634160249818	0.242150321871218	0.638322124807427	0.692484180544411	0.889979293654857	0.56459598228605	0.638322124807427	0.945282312153081	0.196216342017621	0.806764677023364	0.36404186383205	0.757593913693617	0.773654359273551	0.51736255312132	0.444360378112647	0.405859442584538	0.592532633995255	0.277260585801625	0.395993668673278	0.192217647641391	0.400873450655698	0.779183172029786	0.861296445761264	0.945282312153081	0.386148257216125	0.742028626905345	0.506520640020046	0.945282312153081	0.206108463773288	0.686675268395053	0.54616742908743	0.56459598228605	0.95000476163646	0.941267075083212	0.662779750199008	0.881538386203624	0.53460358699278	0.750317661624684	0.751875473175413	0.302631585623785	0.580846073467287	0.861296445761264	0.292108105768345	0.444360378112647	0.932803076241755	0.297175130577862	0.647916329466507	0.810108818710513	0.845936136373356	0.471821803722171	0.845936136373356	0.910488433736439
Bacteria_Phyllobacterium	0.0127274535112337	0.899446993472087	3.508982358555e-101	0.00777025135866845	0.17284974708034	0.420104686907635	0.839699868741576	0.656831938011051	0.784722747356769	0.79620546646147	0.145305366808339	0.449919766726768	0.51736255312132	0.523539135721388	0.386148257216125	0.725016545740501	0.287432809285985	0.395993668673278	0.422469503521385	0.375161413818946	0.625707159527041	0.433471172763638	0.575072268573935	0.206108463773288	0.680967696982451	0.311830032601192	0.736480295742623	0.575072268573935	0.483503599423832	0.97713002184541	0.840574704339482	0.730344363024184	0.697021495645459	0.889979293654857	0.662779750199008	0.331335809747706	0.910488433736439	0.840574704339482	0.928193895427113	0.489062303399247	0.945282312153081	0.540045572481995	0.206108463773288	0.932803076241755	0.23299231947443	0.501254860967199	0.439198187827125	0.512428651963934	0.941267075083212	0.834530094717324	0.0923573749481227	0.277316780368384	0.0619510067141686	0.829812095442519	0.265472685710278	0.46088816133162
Bacteria_Rhizobium	0.0102884466195942	0.558497373248601	0.0998555224745788	3.508982358555e-101	0.314709473230791	0.242719046801668	0.341173757990082	0.070999351729329	0.439198187827125	0.941267075083212	0.00855678149877085	0.885679707943462	0.297175130577862	0.861296445761264	0.369044875846996	0.49572255316381	0.176123884726514	0.0909852158797094	0.287432809285985	0.644474282055772	0.856736342380368	0.455810591115077	0.828861273184428	0.206108463773288	0.427894568106225	0.148731663453293	0.395993668673278	0.97713002184541	0.725016545740501	0.972627729192115	0.747449311082562	0.885679707943462	0.87141711118552	0.936462403792339	0.625707159527041	0.757593913693617	0.650501793399599	0.924489952133333	0.889979293654857	0.570572394940502	0.725016545740501	0.253073945972152	0.631664159445023	0.840574704339482	0.168667819826589	0.386148257216125	0.466485760734438	0.375161413818946	0.968236856753671	0.894828080040749	0.00392119050687955	0.0536636637808059	0.0894859001430274	0.849609936777607	0.151511936790394	0.0349655303887064
Bacteria_Flavobacterium	0.647916329466507	0.41256617049636	0.444360378112647	0.592532633995255	3.508982358555e-101	0.181910259045814	0.523539135721388	0.51736255312132	0.990399657782108	0.644474282055772	0.41107965211556	0.968236856753671	0.773654359273551	0.876247290554678	0.53460358699278	0.928193895427113	0.161327521508766	0.932803076241755	0.126906689635134	0.725016545740501	0.282622985038576	0.575072268573935	0.631664159445023	0.87141711118552	0.851490950425725	0.120429045716555	0.730344363024184	0.287432809285985	0.523539135721388	0.638322124807427	0.46088816133162	0.692484180544411	0.885679707943462	0.790674394275085	0.477984565585296	0.575072268573935	0.834530094717324	0.905280592326212	0.575072268573935	0.784722747356769	0.812645761215586	0.885138955709689	0.941267075083212	0.806764677023364	0.631664159445023	0.680967696982451	0.828861273184428	0.662779750199008	0.889979293654857	0.427894568106225	0.524284360046553	0.143494531442354	0.059797413749924	0.271355836003868	0.114295475480522	0.210360974910543
Bacteria_Variovorax	0.899446993472087	0.0498392334714206	0.680967696982451	0.523539135721388	0.455810591115077	3.508982358555e-101	0.321564187277845	0.540045572481995	0.575072268573935	0.801054184138308	0.449919766726768	0.905280592326212	0.0243543713417782	0.861296445761264	0.51736255312132	0.602835544012244	0.110956697891148	0.449919766726768	0.994177417228982	0.157871160667859	0.945282312153081	0.0318216007394259	0.558543991356298	0.0939794214237978	0.817913883214938	0.79620546646147	0.990399657782108	1	0.602835544012244	0.87141711118552	0.662779750199008	0.817913883214938	0.455810591115077	0.614869526876765	0.719804167950626	0.145305366808339	0.697021495645459	0.386148257216125	0.422469503521385	0.914829804591764	0.602835544012244	0.98941015570143	0.964048960678426	0.165000177500375	0.866746395234829	0.959704859811124	0.968236856753671	0.501254860967199	0.656831938011051	0.592532633995255	0.713379630628729	0.732452863386731	0.722897325279118	0.620546087627902	0.443140934823514	0.48663355659815
Bacteria_Lentzea	0.819947965319638	0.368846291783931	0.928193895427113	0.614869526876765	0.242719046801668	0.0894859001430274	3.508982358555e-101	0.985904863213628	0.395993668673278	0.945282312153081	0.834530094717324	0.736480295742623	0.806764677023364	0.936462403792339	0.806764677023364	0.779183172029786	0.686675268395053	0.751875473175413	0.97713002184541	0.876247290554678	0.932803076241755	0.302631585623785	0.840574704339482	0.866746395234829	0.206108463773288	0.575072268573935	0.246168145354083	0.675634160249818	0.757593913693617	0.592532633995255	0.471821803722171	0.400873450655698	0.422469503521385	0.602835544012244	0.801054184138308	0.422469503521385	0.369044875846996	0.812645761215586	0.790674394275085	0.631664159445023	0.602835544012244	0.3244633095904	0.56459598228605	0.0521829053799336	0.823019944178074	0.506520640020046	0.709110637214832	0.184330531709971	0.41107965211556	0.990399657782108	0.889445929673949	0.694462647207096	0.771028565288177	0.308284456820055	0.226471759070724	0.914829804591764
Bacteria_Sphingomonas	0.0227936871264143	0.435392673515537	0.390379311920236	0.00392119050687955	0.237225438237234	0.259667397337218	0.969769876154569	3.508982358555e-101	0.722897325279118	0.845936136373356	0.0909852158797094	0.924489952133333	0.552158043488734	0.914829804591764	0.552158043488734	0.851490950425725	0.306846285524078	0.0376712866503469	0.449919766726768	0.656831938011051	0.945282312153081	0.316642419049063	0.840574704339482	0.331335809747706	0.763158035148335	0.369044875846996	0.790674394275085	0.730344363024184	0.540045572481995	0.823019944178074	0.894828080040749	0.823019944178074	0.936462403792339	0.580846073467287	0.46088816133162	0.79620546646147	0.620083387295732	0.742028626905345	0.945282312153081	0.767873384204662	0.228822476790317	0.79620546646147	0.614869526876765	0.675634160249818	0.145305366808339	0.580846073467287	0.773654359273551	0.851490950425725	0.575072268573935	0.625707159527041	0.0114575415400789	0.0036660678988014	0.405098740693649	0.110960214260877	0.110960214260877	0.069614465258921
Bacteria_Nocardioides	0.810108818710513	0.761334126190767	0.575952600603795	0.168432749846746	0.979844227761598	0.295665361004378	0.135767996503656	0.87141711118552	3.508982358555e-101	0.262279010890613	0.625707159527041	0.123744905572242	0.49572255316381	0.271778742558287	0.395993668673278	0.46088816133162	0.369044875846996	0.936462403792339	0.675634160249818	0.840574704339482	0.575072268573935	0.575072268573935	0.145305366808339	0.580846073467287	0.0968412538779067	0.985904863213628	0.0223772624076543	0.321564187277845	0.145305366808339	0.449919766726768	0.0243543713417782	0.287432809285985	0.331335809747706	0.0318216007394259	0.262279010890613	0.990399657782108	0.0223772624076543	0.0217021050028205	0.779183172029786	0.108385155637451	0.894828080040749	0.936299953890669	0.602835544012244	0.790674394275085	0.730344363024184	0.172033506110572	0.889979293654857	0.477984565585296	0.0622590497078765	0.139322988327278	0.979844227761598	0.41256617049636	0.969769876154569	0.248290565817018	0.593630202742588	0.719804167950626
Bacteria_Streptomyces	0.929528970819238	0.283355428434263	0.593630202742588	0.869491525545095	0.375950515973805	0.602549920983054	0.8794603130259	0.675711529221304	0.059797413749924	3.508982358555e-101	0.881538386203624	0.0350666602167099	0.736480295742623	0.0271866143527475	0.0376712866503469	0.586886376535256	0.924489952133333	0.558543991356298	0.49572255316381	0.719804167950626	0.00855678149877085	0.56459598228605	0.0119912248840952	0.477984565585296	0.59816978588997	0.433471172763638	0.59816978588997	0.246168145354083	0.192217647641391	0.650501793399599	0.0502027018747153	0.141798312825793	0.840574704339482	0.200032175722643	0.0582906667037339	0.98205604604857	0.0733822523503988	0.250560764755226	0.444360378112647	0.196216342017621	0.823019944178074	0.409233444168376	0.823019944178074	0.638322124807427	0.254496848967981	0.210371488208805	0.697021495645459	0.806764677023364	0.386148257216125	0.0347946060493864	0.713379630628729	0.226471759070724	0.0284325221487085	0.722897325279118	0.771028565288177	0.945282312153081
